measured_on,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2003-01-01,377.69800000000004,6435.0,7501.0,37.242000000000004,580.0,580.0
2003-02-01,312.095,5317.0,6198.0,30.773000000000003,479.0,479.0
2003-03-01,331.447,5647.0,6582.0,32.681000000000004,509.0,509.0
2003-04-01,315.704,5379.0,6270.0,31.129,485.0,485.0
2003-05-01,325.153,5540.0,6457.0,32.061,499.0,499.0
2003-06-01,343.026,5844.0,6812.0,33.823,527.0,527.0
2003-07-01,412.955,7036.0,8201.0,40.718,634.0,634.0
2003-08-01,399.168,6801.0,7927.0,39.359,613.0,613.0
2003-09-01,321.39,5476.0,6382.0,31.69,494.0,494.0
2003-10-01,307.14300000000003,5233.0,6100.0,30.285,472.0,472.0
2003-11-01,257.302,4384.0,5110.0,25.37,395.0,395.0
2003-12-01,373.91900000000004,6371.0,7426.0,36.869,574.0,574.0
2004-01-01,57.258,689.85,1197.6,33.402,520.21,546.17
2004-02-01,76.781,925.08,1605.95,33.402,520.21,546.17
2004-03-01,343.546,4139.14,7185.58,33.402,520.21,546.17
2004-04-01,118.455,1427.17,2477.6,33.402,520.21,546.17
2004-05-01,517.595,6236.13,10825.97,33.402,520.21,546.17
2004-06-01,515.494,6210.81,10782.03,33.402,520.21,546.17
2004-07-01,753.28,9075.73,15755.53,33.402,520.21,546.17
2004-08-01,990.9780000000001,11939.58,20727.2,33.402,520.21,546.17
2004-09-01,361.319,4353.26,7557.31,33.402,520.21,546.17
2004-10-01,20.749000000000002,250.0,433.99,33.402,520.21,546.17
2004-11-01,72.141,869.17,1508.9,33.402,520.21,546.17
2004-12-01,69.865,841.76,1461.29,33.402,520.21,546.17
2005-01-01,327.81600000000003,3949.62,9556.24,33.176,516.7,857.99
2005-02-01,295.88800000000003,3564.95,8625.5,29.945,466.38,774.42
2005-03-01,319.32300000000004,3847.3,9308.66,32.316,503.32,835.76
2005-04-01,320.857,3865.77,9353.37,32.472,505.73,839.77
2005-05-01,352.399,4245.8,10272.86,35.664,555.46,922.33
2005-06-01,452.636,5453.48,13194.89,45.808,713.45,1184.68
2005-07-01,579.609,6983.28,16896.3,58.658,913.58,1517.0
2005-08-01,600.659,7236.9,17509.95,60.788000000000004,946.76,1572.1
2005-09-01,453.025,5458.18,13206.24,45.847,714.06,1185.7
2005-10-01,351.635,4236.59,10250.59,35.586,554.25,920.33
2005-11-01,313.742,3780.05,9145.98,31.752000000000002,494.53,821.15
2005-12-01,357.971,4312.93,10435.29,36.228,564.23,936.91
2006-01-01,269.979,3252.79,8133.06,139.082,2166.16,4436.1
2006-02-01,238.03400000000002,2867.89,7170.71,122.625,1909.85,3911.2
2006-03-01,263.654,3176.58,7942.53,135.824,2115.41,4332.18
2006-04-01,251.21,3026.65,7567.66,129.41400000000002,2015.58,4127.71
2006-05-01,292.807,3527.81,8820.73,150.842,2349.32,4811.19
2006-06-01,310.361,3739.32,9349.55,159.885,2490.16,5099.63
2006-07-01,349.45300000000003,4210.3,10527.18,180.024,2803.81,5741.95
2006-08-01,361.00600000000003,4349.5,10875.22,185.976,2896.51,5931.79
2006-09-01,293.944,3541.52,8855.0,151.428,2358.45,4829.88
2006-10-01,308.13800000000003,3712.53,9282.58,158.74,2472.33,5063.1
2006-11-01,260.289,3136.03,7841.15,134.091,2088.41,4276.88
2006-12-01,291.886,3516.73,8792.99,150.368,2341.94,4796.06
2007-01-01,49.774,600.0,907.0,13.789000000000001,115.0,115.0
2007-02-01,147.166,1773.0,2681.0,40.77,339.0,339.0
2007-03-01,88.778,1070.0,1617.0,24.595,205.0,205.0
2007-04-01,41.518,500.0,756.0,11.502,96.0,96.0
2007-05-01,381.53900000000004,4597.0,6951.0,105.7,879.0,879.0
2007-06-01,656.738,7913.0,11965.0,181.94,1514.0,1514.0
2007-07-01,1223.276,14738.0,22287.0,338.891,2820.0,2820.0
2007-08-01,2212.757,26660.0,40314.0,613.013,5100.0,5100.0
2007-09-01,583.975,7036.0,10639.0,161.782,1346.0,1346.0
2007-10-01,352.86,4251.0,6429.0,97.755,813.0,813.0
2007-11-01,47.464000000000006,572.0,865.0,13.149000000000001,109.0,109.0
2007-12-01,376.39300000000003,4535.0,6858.0,104.274,868.0,868.0
