measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Gaseous Propane Generation,Gaseous Propane Quantity Consumed For Electricity,Gaseous Propane Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,0.0,0.0,0.0,,,,-43.0,0.0,0.0
2001-02-01,-39.0,0.0,0.0,,,,0.0,0.0,0.0
2001-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-09-01,0.0,0.0,0.0,,,,-40.0,0.0,0.0
2001-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2001-12-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2002-01-01,0.0,0.0,0.0,,,,-42.0,84.0,84.0
2002-02-01,0.0,0.0,0.0,,,,-38.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,,,,-42.0,161.0,161.0
2002-04-01,0.0,0.0,0.0,,,,-20.0,17.0,17.0
2002-05-01,0.0,0.0,0.0,,,,-24.0,0.0,0.0
2002-06-01,0.0,0.0,0.0,,,,-26.0,0.0,0.0
2002-07-01,1.0,6.0,6.0,,,,94.0,3200.0,3200.0
2002-08-01,0.0,0.0,0.0,,,,95.0,361.0,361.0
2002-09-01,0.0,0.0,0.0,,,,-61.0,81.0,81.0
2002-10-01,0.0,0.0,0.0,,,,-20.0,393.0,393.0
2002-11-01,-2.0,6.0,6.0,,,,-35.0,137.0,137.0
2002-12-01,0.0,0.0,0.0,,,,-55.0,0.0,0.0
2003-01-01,0.0,0.0,0.0,,,,-49.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,,,,-38.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,-43.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,352.0,8362.0,8362.0
2003-07-01,1.0,6.0,6.0,,,,,,
2003-08-01,4.0,29.0,29.0,,,,268.0,1839.0,1839.0
2003-09-01,0.0,0.0,0.0,,,,-33.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,-20.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,-36.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,-9.0,0.0,0.0
2004-01-01,0.0,1.0,1.0,,,,-5.4030000000000005,1199.0,1199.0
2004-02-01,0.0,1.0,1.0,,,,-2.415,536.0,536.0
2004-03-01,0.0,1.0,1.0,,,,-1.127,250.0,250.0
2004-04-01,0.0,1.0,1.0,,,,-0.254,56.0,56.0
2004-05-01,0.0,1.0,1.0,,,,-3.1620000000000004,702.0,702.0
2004-06-01,0.0,1.0,1.0,,,,-4.614,1024.0,1024.0
2004-07-01,0.0,1.0,1.0,,,,-7.4510000000000005,1653.0,1653.0
2004-08-01,0.0,1.0,1.0,,,,-4.521,1003.0,1003.0
2004-09-01,0.0,1.0,1.0,,,,-2.168,481.0,481.0
2004-10-01,0.0,1.0,1.0,,,,-1.9560000000000002,434.0,434.0
2004-11-01,0.0,1.0,1.0,,,,-0.751,167.0,167.0
2004-12-01,0.0,1.0,1.0,,,,-0.17800000000000002,40.0,40.0
2005-01-01,,,,0.0,0.0,0.0,-20.33,157.58,157.58
2005-02-01,,,,0.0,0.0,0.0,-16.877000000000002,130.82,130.82
2005-03-01,,,,0.0,0.0,0.0,-20.901,162.01,162.01
2005-04-01,,,,0.0,0.0,0.0,-20.594,159.63,159.63
2005-05-01,,,,0.0,0.0,0.0,-24.277,188.17,188.17
2005-06-01,,,,0.0,0.0,0.0,-30.638,237.48,237.48
2005-07-01,,,,0.0,0.0,0.0,-38.398,297.63,297.63
2005-08-01,,,,0.0,0.0,0.0,-39.776,308.32,308.32
2005-09-01,,,,0.0,0.0,0.0,-30.267000000000003,234.61,234.61
2005-10-01,,,,0.0,0.0,0.0,-24.18,187.42,187.42
2005-11-01,,,,0.0,0.0,0.0,-20.63,159.9,159.9
2005-12-01,,,,0.0,0.0,0.0,-20.132,156.05,156.05
2006-01-01,0.0,1.0,1.0,,,,-6.132000000000001,200.0,200.0
