measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2020-12-01,-2.0,0.0,0.0
2022-01-01,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-12-01,-6.0,0.0,0.0
2023-01-01,-3.0,0.0,0.0
2023-02-01,-4.0,0.0,0.0
2023-03-01,-4.0,0.0,0.0
2023-04-01,-14.0,0.0,0.0
2023-05-01,-10.0,0.0,0.0
2023-06-01,-5.0,0.0,0.0
2023-07-01,6.0,0.0,0.0
2023-08-01,-24.0,0.0,0.0
2023-09-01,-15.0,0.0,0.0
2023-10-01,-12.0,0.0,0.0
2023-11-01,-13.0,0.0,0.0
2023-12-01,-6.0,0.0,0.0
2024-01-01,-16.0,0.0,0.0
2024-02-01,-12.0,0.0,0.0
2024-03-01,-12.0,0.0,0.0
2024-04-01,-7.0,0.0,0.0
2024-05-01,-9.0,0.0,0.0
2024-06-01,-28.0,0.0,0.0
2024-07-01,-3.0,0.0,0.0
2024-08-01,-25.0,0.0,0.0
2024-09-01,-18.0,0.0,0.0
2024-10-01,-20.0,0.0,0.0
2024-11-01,-10.0,0.0,0.0
2024-12-01,-25.0,0.0,0.0
