measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-03-01,13822.0,108333.0,887952.0,,,,8909.0,69829.0,572351.0,10418.0,81654.0,669271.0
2003-04-01,13602.0,107460.0,848256.0,,,,8368.0,66112.0,521867.0,7654.0,60469.0,477333.0
2003-05-01,13003.0,153049.0,843228.0,,,,6688.0,78717.0,433691.0,9934.0,116921.0,644176.0
2003-06-01,12622.0,63994.0,758304.0,,,,5919.0,30008.0,355582.0,10639.0,53937.0,639130.0
2003-07-01,12609.699,132553.0,826488.0,,,,5859.751,61594.0,384045.0,10364.518,108950.0,679318.0
2003-08-01,13072.564,96777.0,842340.0,,,,6367.0,45261.0,393947.0,9812.0,69752.0,607118.0
2003-09-01,11201.9,88252.0,670848.0,,,,6731.703,53036.0,403157.0,9491.605,74775.0,568404.0
2003-10-01,14478.0,153062.0,870084.0,,,,6739.0,71242.0,404981.0,8704.0,92015.0,523062.0
2003-11-01,12893.0,166123.0,835008.0,,,,6936.0,89366.0,449191.0,8566.0,110370.0,554770.0
2003-12-01,13076.405,213877.0,873696.0,,,,6925.684,113275.0,462730.0,10817.78,176929.0,722760.0
2006-01-01,12846.06635,62919.3,808717.95,,,,7673.25123,37583.15,483065.86,6192.38742,30329.96,389838.78
2006-02-01,11271.88589,55209.06,836316.0,,,,7130.14018,34923.02,529019.76,5036.97693,24670.83,373717.8
2006-03-01,11115.15122,54441.38,758684.68,,,,7732.61533,37873.91,527803.6,6411.96445,31405.44,437660.19
2006-04-01,13590.286,66564.45,824945.12,,,,7708.74776,37757.01,467929.36,7556.06124,37009.16,458661.12
2006-05-01,15176.40608,74333.18,1073385.33,,,,6705.28474,32842.11,474246.29,4299.92817,21060.81,304122.06
2006-06-01,14059.07406,68860.55,876515.33,,,,6452.36986,31603.34,402274.08,5693.22209,27885.08,354944.89
2006-07-01,14686.38955,71933.11,937944.69,,,,5941.12093,29099.27,379429.05,5922.86452,29009.86,378263.11
2006-08-01,13947.23221,68312.76,931741.61,,,,7230.79823,35416.04,483051.8,2975.43456,14573.51,198773.21
2006-09-01,14482.2972,70933.47,907197.57,,,,6336.78816,31037.23,396947.99,5593.00664,27394.23,350356.16
2006-10-01,9624.12564,47138.42,610590.96,,,,6406.37044,31378.04,406444.39,6394.42992,31319.56,405686.84
2006-11-01,13087.61722,64102.41,796678.58,,,,7555.17558,37004.82,459903.92,7129.0842,34917.85,433966.59
2006-12-01,13515.82702,66199.76,854396.1,,,,7436.53228,36423.71,470096.59,8202.3487,40174.64,518507.28
2007-01-01,12648.404,61956.0,793536.0,,,,8042.765,39393.0,504587.0,7380.321,36150.0,463027.0
2007-02-01,11459.382,56129.0,601968.0,,,,8330.682,40803.0,437616.0,6739.185,33007.0,354013.0
2007-03-01,13593.397,66577.0,704830.0,,,,6867.711,33638.0,356097.0,8202.887,40174.0,425327.0
2007-04-01,10699.957,52405.0,702167.0,,,,5370.68,26305.0,352442.0,9235.188,45231.0,606044.0
2007-05-01,12669.98,62056.0,791904.0,,,,7113.787,34843.0,444629.0,6264.372,30678.0,391538.0
2007-06-01,9973.418,48844.0,678444.0,,,,5306.669,25992.0,360987.0,8366.338,40982.0,569122.0
2007-07-01,10048.342,49219.0,704473.0,,,,6097.523,29865.0,427488.0,7485.195000000001,36663.0,524775.0
2007-08-01,11927.21,58420.0,733289.0,,,,6356.341,31133.0,390790.0,7340.135,35948.0,451274.0
2007-09-01,9741.094000000001,47715.0,622663.0,,,,5650.054,27674.0,361158.0,9901.232,48494.0,632899.0
2007-10-01,8022.251,39297.0,529658.0,,,,5589.896000000001,27379.0,369065.0,11054.119,54148.0,729833.0
2007-11-01,12522.645,61339.0,739414.0,,,,7467.956,36578.0,440954.0,9360.968,45853.0,552729.0
2007-12-01,12267.565,60084.0,784388.0,,,,6809.711,33354.0,435413.0,10931.139,53539.0,698937.0
2008-01-01,34.729,170.0,732.0,,,,8878.536,43487.0,187033.0,22047.766,107989.0,464452.0
2008-02-01,24.853,122.0,684.0,,,,12178.463,59649.0,335372.0,16539.425,81009.0,455465.0
2008-03-01,25.385,124.0,673.0,,,,10148.492,49707.0,268896.0,17796.784,87168.0,471547.0
2008-04-01,24.709,121.0,649.0,,,,14316.071,70119.0,376022.0,11193.595,54826.0,294008.0
2008-05-01,28.642000000000003,140.0,720.0,,,,7629.178000000001,37367.0,191729.0,21573.71,105667.0,542170.0
2008-06-01,27.121000000000002,133.0,637.0,,,,5718.192,28007.0,134348.0,18980.492,92965.0,445944.0
2008-07-01,30.758000000000003,151.0,696.0,,,,5756.834,28197.0,130303.0,21873.847,107137.0,495102.0
2008-08-01,32.392,159.0,625.0,,,,5672.482,27783.0,109519.0,24329.471,119164.0,469732.0
2008-09-01,22.787000000000003,112.0,614.0,,,,6187.039000000001,30304.0,166604.0,17354.014,84999.0,467307.0
2008-10-01,16.878,83.0,437.0,,,,6680.959000000001,32723.0,172825.0,16211.079000000002,79401.0,419353.0
2008-11-01,21.978,108.0,555.0,,,,6831.089,33458.0,172380.0,18864.728000000003,92398.0,476044.0
2008-12-01,19.624000000000002,96.0,566.0,,,,8641.58,42326.0,249416.0,16740.651,81995.0,483174.0
2009-01-01,9.688,47.0,283.0,,,,7528.903,36876.0,220088.0,17062.374,83571.0,498774.0
2009-02-01,11.121,54.0,325.0,,,,4752.779,23279.0,138677.0,18523.375,90726.0,540476.0
2009-03-01,10.397,51.0,283.0,,,,4943.205,24212.0,134642.0,19447.623,95253.0,529708.0
2009-04-01,10.83,53.0,289.0,,,,6404.511,31369.0,170961.0,17296.386,84717.0,461708.0
2009-05-01,13.588000000000001,67.0,336.0,,,,6600.635,32330.0,163366.0,17837.897,87369.0,441490.0
2009-06-01,14.079,69.0,330.0,,,,3973.3140000000003,19461.0,93246.0,20075.805,98330.0,471142.0
2009-07-01,15.475,76.0,354.0,,,,1869.145,9155.0,42758.0,21753.165,106546.0,497613.0
2009-08-01,14.255,70.0,354.0,,,,2705.108,13249.0,67176.0,20397.94,99908.0,506540.0
2009-09-01,16.903000000000002,83.0,348.0,,,,4791.117,23467.0,98668.0,22126.475,108374.0,455671.0
2009-10-01,12.704,62.0,319.0,,,,6353.304,31118.0,159335.0,17846.997,87414.0,447587.0
2009-11-01,12.958,63.0,348.0,,,,5745.712,28142.0,154350.0,21056.749,103135.0,565656.0
2009-12-01,14.683,72.0,395.0,,,,7930.718000000001,38844.0,213515.0,21771.084,106634.0,586133.0
2010-01-01,17.104,80.0,378.0,,,,7956.869000000001,37425.0,175662.0,23507.027000000002,110565.0,518960.0
2010-02-01,15.030000000000001,71.0,325.0,,,,11587.453,54502.0,250176.0,14730.517,69285.0,318036.0
2010-03-01,12.592,59.0,319.0,,,,7373.073,34679.0,186546.0,18143.335,85337.0,459044.0
2010-04-01,15.953000000000001,75.0,354.0,,,,6178.4890000000005,29060.0,137100.0,20954.558,98560.0,464980.0
2010-05-01,14.034,66.0,348.0,,,,9740.328000000001,45814.0,241592.0,14736.637999999999,69314.0,365517.0
2010-06-01,13.727,65.0,330.0,,,,4896.214,23029.0,117851.0,19656.059,92452.0,473116.0
2010-07-01,15.539000000000001,73.0,366.0,,,,3382.1510000000003,15908.0,79620.0,21463.31,100953.0,505275.0
2010-08-01,16.111,76.0,372.0,,,,3540.496,16653.0,81684.0,22471.393,105694.0,518443.0
2010-09-01,14.779,70.0,360.0,,,,4320.714,20322.0,105216.0,21962.507,103301.0,534819.0
2010-10-01,9.790000000000001,46.0,289.0,,,,4199.2970000000005,19751.0,124012.0,17426.913,81967.0,514644.0
2010-11-01,16.366,77.0,360.0,,,,5559.148,26147.0,122249.0,24696.486,116160.0,543090.0
2010-12-01,15.493,73.0,366.0,,,,8846.519,41610.0,208874.0,22747.988,106995.0,537099.0
2011-01-01,12834.371,60366.0,692754.0,,,,1917.131,9017.0,103480.0,9538.498,44864.0,514855.0
2011-02-01,13922.221,65483.0,692754.0,,,,2079.628,9782.0,103480.0,8288.151,38983.0,412409.0
2011-03-01,13405.552,63053.0,692754.0,,,,2002.451,9419.0,103480.0,8881.997,41776.0,458992.0
2011-04-01,13749.14,64669.0,692754.0,,,,2053.774,9660.0,103480.0,8487.086,39919.0,427624.0
2011-05-01,14857.128,69880.0,692754.0,,,,2219.28,10438.0,103480.0,7213.592,33929.0,336354.0
2011-06-01,13780.128,64815.0,692754.0,,,,2058.403,9682.0,103480.0,8451.469,39751.0,424872.0
2011-07-01,13814.334,64976.0,692754.0,,,,2063.512,9706.0,103480.0,8412.154,39567.0,421849.0
2011-08-01,12759.25,60013.0,692754.0,,,,1905.91,8964.0,103480.0,9624.84,45270.0,522574.0
2011-09-01,12572.07,59133.0,692754.0,,,,1877.949,8833.0,103480.0,9839.981,46282.0,542209.0
2011-10-01,12649.923,59499.0,692754.0,,,,1889.579,8888.0,103480.0,9750.498,45861.0,533972.0
2011-11-01,12744.306,59943.0,692754.0,,,,1903.677,8954.0,103480.0,9642.017,45351.0,524120.0
2011-12-01,13679.694,64342.0,692754.0,,,,2043.401,9611.0,103480.0,8566.905,40294.0,433837.0
2012-01-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-02-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-03-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-04-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-05-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-06-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-07-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-08-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-09-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-10-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-11-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2012-12-01,13767.85,64757.0,739680.0,,,,3722.443,17508.0,199989.0,6809.707,32029.0,365853.0
2013-01-01,15912.394,74844.0,944438.0,,,,3670.908,17266.0,217877.0,6493.698,30543.0,385416.0
2013-02-01,14160.57,66604.0,740600.0,,,,3540.404,16652.0,185164.0,8299.026,39034.0,434040.0
2013-03-01,12893.898,60646.0,819950.0,,,,2718.597,12787.0,172881.0,5667.505,26657.0,360408.0
2013-04-01,13394.501,63001.0,793500.0,,,,2748.663,12928.0,162833.0,6956.836,32721.0,412128.0
2013-05-01,16866.198,79330.0,609500.0,,,,4193.946,19726.0,151558.0,10939.856,51456.0,395338.0
2013-06-01,19135.591,90004.0,759000.0,,,,4096.987,19270.0,162504.0,8267.422,38886.0,327922.0
2013-07-01,12579.639,59168.0,805000.0,,,,2503.045,11773.0,160176.0,5947.316,27973.0,380582.0
2013-08-01,12626.811,59390.0,776250.0,,,,2633.194,12385.0,161879.0,5689.995,26763.0,349800.0
2013-09-01,12845.794,60420.0,807956.0,,,,1503.19,7070.0,94545.0,6601.016,31048.0,415181.0
2013-10-01,16977.743,79855.0,684250.0,,,,3737.318,17578.0,150624.0,9884.939,46494.0,398390.0
2013-11-01,12357.645,58124.0,776250.0,,,,3551.476,16704.0,223087.0,8095.879,38079.0,508546.0
2013-12-01,11507.088,54124.0,765797.0,,,,3505.262,16487.0,233275.0,8027.65,37758.0,534240.0
2014-01-01,14617.328,68753.0,882395.0,,,,3258.271,15325.0,196690.0,6262.401,29455.0,378038.0
2014-02-01,14175.165,66673.0,915285.0,,,,3263.029,15348.0,210693.0,6768.806,31837.0,437059.0
2014-03-01,11103.397,52225.0,881475.0,,,,3057.727,14382.0,242746.0,4165.876,19594.0,330720.0
2014-04-01,13660.793,64253.0,943575.0,,,,2840.135,13359.0,196173.0,5834.072,27441.0,402970.0
2014-05-01,13824.614,65024.0,936675.0,,,,1790.901,8423.0,121341.0,5519.485,25961.0,373968.0
2014-06-01,14865.493,69920.0,936675.0,,,,1648.451,7753.0,103869.0,5935.056,27916.0,373968.0
2014-07-01,14169.539,66646.0,917010.0,,,,1339.56,6301.0,86692.0,7122.901,33503.0,460973.0
2014-08-01,14060.047,66131.0,983250.0,,,,1552.589,7303.0,108576.0,6635.364,31209.0,464026.0
2014-09-01,13840.23,65097.0,977385.0,,,,1587.853,7468.0,112133.0,6714.917,31584.0,474202.0
2014-10-01,11245.872,52895.0,875610.0,,,,1419.391,6676.0,110515.0,5214.737,24527.0,406022.0
2014-11-01,14130.128,66461.0,947715.0,,,,1610.987,7577.0,108050.0,8651.885,40694.0,580286.0
2014-12-01,14612.697,68731.0,914595.0,,,,2015.444,9480.0,126145.0,8043.859,37834.0,503458.0
2016-01-01,15893.976,180767.0,770040.0,,,,4463.613,50766.0,216256.0,11329.411,128853.0,548893.0
2016-02-01,12189.108,138631.0,708688.0,21665.327,216468.0,216468.0,874.307,9944.0,50833.0,5809.585,66074.0,337775.0
2016-03-01,16829.157,191404.0,775388.0,22145.459,221265.0,221265.0,4170.243,47430.0,192140.0,9174.6,104346.0,422711.0
2016-04-01,12295.009,139835.0,508875.0,21133.269,211151.0,211151.0,5151.033,58584.0,213195.0,1666.958,18959.0,68993.0
2016-05-01,15414.277,175312.0,745085.0,23993.677,239731.0,239731.0,3278.655,37289.0,158481.0,9006.068,102429.0,435329.0
2016-06-01,16647.875,189342.0,781425.0,25277.929,252563.0,252563.0,1322.644,15043.0,62083.0,7301.481,83042.0,342720.0
2016-07-01,15822.656,202278.0,794995.0,25891.299,258691.0,258691.0,1532.302,19589.0,76989.0,6831.042,87329.0,343220.0
2016-08-01,17091.327,194385.0,770753.0,25000.853,249794.0,249794.0,1760.864,20027.0,79408.0,7708.809,87675.0,347638.0
2016-09-01,17194.943,195564.0,764175.0,23082.899,230631.0,230631.0,1239.922,14102.0,55104.0,8133.135,92501.0,361452.0
2016-10-01,18863.074,214536.0,791315.0,19728.475,197115.0,197115.0,1294.469,14722.0,54304.0,8211.457,93392.0,344475.0
2016-11-01,18501.379,210422.0,805690.0,19345.524,193289.0,193289.0,1827.087,20780.0,79565.0,9431.534,107268.0,410720.0
2016-12-01,18580.906,211327.0,825298.0,18687.289,186712.0,186712.0,3101.379,35273.0,137752.0,9968.715,113378.0,442775.0
2017-01-01,18980.07,215867.0,798773.0,20161.896,189570.0,189570.0,3254.326,37013.0,136958.0,9533.604,108429.0,401220.0
2017-02-01,10372.136,117966.0,490907.0,19170.352,180248.0,180248.0,1272.859,14477.0,60244.0,5827.005,66272.0,275789.0
2017-03-01,11641.839,132407.0,702341.0,21588.449,202984.0,202984.0,1436.77,16341.0,86679.0,5297.391,60249.0,319586.0
2017-04-01,17438.016,198328.0,736064.0,22881.522,215141.0,215141.0,3089.411,35137.0,130405.0,8056.573,91630.0,340070.0
2017-05-01,20597.725,234265.0,820792.0,24170.761,227263.0,227263.0,2585.404,29405.0,103025.0,6129.871,69717.0,244267.0
2017-06-01,13714.393,155978.0,617904.0,24861.338,233756.0,233756.0,3692.941,42001.0,166386.0,5200.666,59149.0,234317.0
2017-07-01,19660.075,223601.0,764792.0,26978.577,253664.0,253664.0,1323.735,15055.0,51494.0,7064.19,80343.0,274802.0
2017-08-01,20026.279,227766.0,761387.0,25481.691,239589.0,239589.0,2678.956,30469.0,101852.0,6086.765,69227.0,231415.0
2017-09-01,19126.36,217530.0,745651.0,23679.348,222642.0,222642.0,2197.346,24991.0,85665.0,7260.294,82574.0,283046.0
2017-10-01,20103.337,245458.0,807565.0,23146.466,217633.0,217633.0,1730.698,21131.0,69523.0,7480.919,91341.0,300514.0
2017-11-01,17773.22,217008.0,768611.0,18942.128,178101.0,178101.0,3928.391,47965.0,169885.0,7204.418,87965.0,311558.0
2017-12-01,19565.316,222523.0,786531.0,22962.472,215903.0,215903.0,5117.263,58200.0,205715.0,8128.421,92447.0,326765.0
2018-01-01,12809.034,145681.0,769880.0,21637.948,220341.0,220341.0,14638.859,166493.0,879861.0,6262.107,71221.0,376381.0
2018-02-01,14603.452,166090.0,670178.0,17692.846,180166.0,180166.0,6768.542,76981.0,310620.0,7591.006,86335.0,348365.0
2018-03-01,15161.253,172434.0,689954.0,16872.481,171813.0,171813.0,7392.943,84082.0,336436.0,8246.804,93794.0,375293.0
2018-04-01,15954.109,181451.0,772133.0,18313.407,186485.0,186485.0,7161.729,81453.0,346607.0,6836.162,77750.0,330851.0
2018-05-01,14620.96,166289.0,752921.0,20812.249,211931.0,211931.0,7263.605,82611.0,374047.0,3538.435,40244.0,182215.0
2018-06-01,14425.015,164061.0,737760.0,22618.112,230321.0,230321.0,5627.703,64006.0,287826.0,6731.282,76557.0,344268.0
2018-07-01,16245.697,184768.0,776179.0,25242.215,257042.0,257042.0,4174.395,47477.0,199442.0,7479.908,85071.0,357372.0
2018-08-01,18363.275,208852.0,835743.0,23832.529,242687.0,242687.0,4329.67,49243.0,197050.0,6993.055,79534.0,318265.0
2018-09-01,15524.958,176571.0,714461.0,22343.577,227525.0,227525.0,6706.931,76280.0,308654.0,6712.111,76339.0,308892.0
2018-10-01,12874.75,146429.0,657470.0,21911.288,223123.0,223123.0,7739.201,88021.0,395215.0,5541.049,63020.0,282963.0
2018-11-01,16537.9,188091.0,786123.0,16526.008,168285.0,168285.0,8615.258,97984.0,409523.0,7894.842,89791.0,375278.0
