measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,,,,-1853.0,0.0,0.0,0.0,0.0,0.0,,,
2003-02-01,,,,,,,-1450.0,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,,,,,,,898.0,18809.0,18809.0,0.0,0.0,0.0,,,
2003-04-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-05-01,,,,,,,3092.0,78313.0,78313.0,0.0,0.0,0.0,,,
2003-06-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-07-01,,,,,,,70687.0,618557.0,618557.0,0.0,0.0,0.0,,,
2003-08-01,,,,,,,53146.0,473521.0,473521.0,0.0,0.0,0.0,,,
2003-09-01,,,,,,,-751.0,0.0,0.0,0.0,0.0,0.0,,,
2003-10-01,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
2003-11-01,,,,,,,520.89,9732.0,9732.0,0.0,0.0,0.0,,,
2003-12-01,,,,,,,-2175.0,0.0,0.0,0.0,0.0,0.0,,,
2004-01-01,,,,,,,8366.0,89700.0,89700.0,0.0,0.0,0.0,,,
2004-02-01,,,,,,,43230.0,365067.0,365067.0,0.0,0.0,0.0,,,
