measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,21.0,461.0,960.0,14510.0,315398.0,656560.0,553.0,12026.0,25034.0,5609.0,121918.0,253795.0
2003-02-01,81.0,1964.0,3840.0,11959.0,289917.0,566892.0,893.0,21636.0,42307.0,5581.0,135308.0,264576.0
2003-03-01,17.0,319.0,720.0,14660.0,276306.0,622996.0,72.0,1364.0,3075.0,5464.0,102988.0,232209.0
2003-04-01,11.0,210.0,480.0,14183.0,273091.0,622792.0,226.0,4359.0,9939.0,4479.0,86247.0,196687.0
2003-05-01,16.0,306.0,720.0,9612.0,181465.0,426149.0,1094.0,20658.0,48515.0,4942.0,93296.0,219093.0
2003-06-01,18.0,383.0,840.0,13347.0,278630.0,611401.0,647.0,13497.0,29617.0,3723.0,77715.0,170530.0
2003-07-01,57.0,1254.0,2640.0,14056.0,310223.0,652941.0,176.0,3883.0,8172.0,3643.0,80401.0,169225.0
2003-08-01,19.0,465.0,960.0,11953.0,285676.0,589187.0,363.0,8666.0,17873.0,3561.0,85107.0,175527.0
2003-09-01,140.0,2811.0,6216.0,14166.0,284837.0,629752.0,940.0,18900.0,41787.0,3179.0,63914.0,141311.0
2003-10-01,0.0,0.0,0.0,13545.0,306673.0,635645.0,400.0,9066.0,18793.0,4581.0,103716.0,214975.0
2003-11-01,10.0,228.0,480.0,13190.0,297839.0,627119.0,246.0,5559.0,11704.0,4849.0,109500.0,230560.0
2003-12-01,16.0,338.0,720.0,13889.0,288405.0,616053.0,709.0,14728.0,31460.0,5569.0,115637.0,247007.0
2004-01-01,223.41456,1574.1,10858.8,13696.97109,96503.95,665725.04,952.68379,6712.27,46304.07,4520.64556,31850.85,219720.62
