measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,639.0,7189.0,7189.0,145588.0,1637280.0,1637280.0
2003-02-01,1061.0,12457.0,12457.0,105496.0,1238820.0,1238820.0
2003-03-01,759.0,7770.0,7770.0,142497.0,1459110.0,1459110.0
2003-04-01,612.0,6155.0,6155.0,129793.0,1305990.0,1305990.0
2003-05-01,641.0,6375.0,6375.0,121496.0,1208040.0,1208040.0
2003-06-01,556.0,5670.0,5670.0,134725.0,1373130.0,1373130.0
2003-07-01,250.0,2672.0,2672.0,169551.0,1811220.0,1811220.0
2003-08-01,466.0,4003.0,4003.0,167947.0,1443912.0,1443912.0
2003-09-01,518.0,5597.0,5597.0,122754.0,1327501.0,1327501.0
2003-10-01,378.0,3896.0,3896.0,179371.0,1846151.0,1846151.0
2003-11-01,515.0,5279.0,5279.0,171918.0,1761315.0,1761315.0
2003-12-01,403.0,4375.0,4375.0,175616.0,1906781.0,1906781.0
