measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2011-01-01,2.14,25.0,25.0,114.412,1755.0,1755.0,,,
2011-02-01,2.002,19.0,19.0,109.502,1680.0,1680.0,,,
2011-03-01,2.527,25.0,25.0,96.045,1473.0,1473.0,,,
2011-04-01,2.58,25.0,25.0,95.482,1464.0,1464.0,,,
2011-05-01,3.519,37.0,37.0,99.534,1527.0,1527.0,,,
2011-06-01,2.613,25.0,25.0,68.598,1053.0,1053.0,,,
2011-07-01,1.884,19.0,19.0,133.515,2048.0,2048.0,,,
2011-08-01,0.97,12.0,12.0,137.247,2105.0,2105.0,,,
2011-09-01,2.096,25.0,25.0,120.205,1844.0,1844.0,,,
2011-10-01,0.892,6.0,6.0,109.035,1672.0,1672.0,,,
2011-11-01,3.459,37.0,37.0,101.935,1563.0,1563.0,,,
2011-12-01,3.318,37.0,37.0,130.49,2002.0,2002.0,,,
2012-01-01,3.282,43.0,43.0,229.382,3297.0,3297.0,,,
2012-02-01,2.275,25.0,25.0,232.41,3343.0,3343.0,,,
2012-03-01,1.457,12.0,12.0,241.614,3475.0,3475.0,,,
2012-04-01,5.703,62.0,62.0,203.307,2924.0,2924.0,,,
2012-05-01,2.587,25.0,25.0,248.65,3576.0,3576.0,,,
2012-06-01,3.254,37.0,37.0,254.595,3662.0,3662.0,,,
2012-07-01,3.113,31.0,31.0,262.978,3782.0,3782.0,,,
2012-08-01,4.967,50.0,50.0,273.978,3940.0,3940.0,,,
2012-09-01,3.332,37.0,37.0,230.777,3319.0,3319.0,,,
2012-10-01,3.744,37.0,37.0,154.773,2226.0,2226.0,,,
2012-11-01,3.659,37.0,37.0,188.811,2716.0,2716.0,,,
2012-12-01,3.627,37.0,37.0,207.725,2988.0,2988.0,,,
2013-01-01,4.502,56.0,56.0,332.856,4890.0,4890.0,,,
2013-02-01,3.255,31.0,31.0,288.023,4232.0,4232.0,,,
2013-03-01,0.864,6.0,6.0,296.399,4355.0,4355.0,,,
2013-04-01,3.728,37.0,37.0,299.029,4393.0,4393.0,,,
2013-05-01,3.645,37.0,37.0,202.658,2978.0,2978.0,,,
