measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2023-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,-38.0,0.0,0.0,1892.0,6456.0,6456.0
2023-08-01,-33.0,0.0,0.0,1591.0,5428.0,5428.0
2023-09-01,-32.0,0.0,0.0,1482.0,5057.0,5057.0
2023-10-01,-33.0,0.0,0.0,1386.0,4729.0,4729.0
2023-11-01,-37.0,0.0,0.0,969.0,3306.0,3306.0
2023-12-01,-34.0,0.0,0.0,828.0,2825.0,2825.0
2024-01-01,-46.0,0.0,0.0,678.0,2313.0,2313.0
2024-02-01,-36.0,0.0,0.0,856.0,2921.0,2921.0
2024-03-01,-24.0,0.0,0.0,1103.0,3763.0,3763.0
2024-04-01,-25.0,0.0,0.0,1679.0,5729.0,5729.0
2024-05-01,-25.0,0.0,0.0,1673.0,5708.0,5708.0
2024-06-01,-30.0,0.0,0.0,1651.0,5633.0,5633.0
2024-07-01,-39.0,0.0,0.0,1605.0,5476.0,5476.0
2024-08-01,-38.0,0.0,0.0,1420.0,4845.0,4845.0
2024-09-01,-36.0,0.0,0.0,1348.0,4599.0,4599.0
2024-10-01,-35.0,0.0,0.0,1171.0,3995.0,3995.0
2024-11-01,-36.0,0.0,0.0,645.0,2201.0,2201.0
2024-12-01,-40.0,0.0,0.0,721.0,2460.0,2460.0
