measured_on,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,8871.492,109804.0,153054.0
2003-02-01,8185.236000000001,101310.0,141214.0
2003-03-01,9023.235,111682.0,155672.0
2003-04-01,8533.143,105617.0,147216.0
2003-05-01,9770.303,120929.0,168560.0
2003-06-01,10179.679,125996.0,175623.0
2003-07-01,13069.783,161767.0,225484.0
2003-08-01,12278.603,151975.0,211834.0
2003-09-01,11220.317,138876.0,193576.0
2003-10-01,10559.307,130695.0,182172.0
2003-11-01,8938.452000000001,110633.0,154209.0
2003-12-01,9490.451000000001,117465.0,163732.0
2004-01-01,10804.455,125390.48,189559.01
2004-02-01,9772.98,113419.75,171462.27
2004-03-01,9688.683,112441.45,169983.33
2004-04-01,9152.255000000001,106215.97,160571.95
2004-05-01,10058.382,116731.97,176469.53
2004-06-01,9165.421,106368.76,160802.94
2004-07-01,10312.138,119676.91,180921.54
2004-08-01,10287.744,119393.82,180493.56
2004-09-01,10020.305,116290.07,175801.48
2004-10-01,9058.521,105128.13,158927.42
2004-11-01,9792.755000000001,113649.25,171809.22
2004-12-01,9980.282000000001,115825.58,175099.29
2005-01-01,6914.727000000001,80248.47,135115.87
2005-02-01,6241.262000000001,72432.61,121956.17
2005-03-01,6735.586,78169.45,131615.41
2005-04-01,6767.936000000001,78544.89,132247.53
2005-05-01,7433.264,86266.31,145248.24
2005-06-01,9547.595000000001,110804.05,186562.92
2005-07-01,12225.873,141886.66,238897.28
2005-08-01,12669.895,147039.74,247573.62
2005-09-01,9555.806,110899.35,186723.36
2005-10-01,7417.152,86079.32,144933.41
2005-11-01,6617.87,76803.31,129315.2
2005-12-01,7550.795,87630.32,147544.84
2006-01-01,2116.8,24566.4,66416.7
