measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed"
2003-01-01,,,,505.0,8658.0,8658.0,0.0,0.0,0.0
2003-02-01,,,,1993.0,26480.0,26480.0,406.0,5322.0,5322.0
2003-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,,,,13666.0,163955.0,163955.0,0.0,0.0,0.0
2003-06-01,,,,8682.0,105031.0,105031.0,0.0,0.0,0.0
2003-07-01,,,,34623.0,424791.0,424791.0,0.0,0.0,0.0
2003-08-01,,,,28092.0,338547.0,338547.0,0.0,0.0,0.0
2003-09-01,,,,5475.0,68799.0,68799.0,0.0,0.0,0.0
2003-10-01,,,,7896.0,92519.0,92519.0,0.0,0.0,0.0
2003-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,,,,8933.0,108775.0,108775.0,80.0,978.0,978.0
2004-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-06-01,,,,1320.0,18072.0,18072.0,0.0,0.0,0.0
2004-07-01,,,,1735.0,24025.0,24025.0,0.0,0.0,0.0
2004-08-01,,,,10521.0,171201.0,171201.0,0.0,0.0,0.0
2004-09-01,,,,9490.0,145584.0,145584.0,0.0,0.0,0.0
2004-10-01,,,,3815.0,45479.0,45479.0,0.0,0.0,0.0
2004-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2004-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-03-01,0.0,0.0,0.0,8865.0,114263.49,114263.49,0.0,0.0,0.0
2005-04-01,0.0,0.0,0.0,9573.0,115445.53,115445.53,0.0,0.0,0.0
2005-05-01,0.0,0.0,0.0,12521.0,155568.52,155568.52,0.0,0.0,0.0
2005-06-01,0.0,0.0,0.0,24809.0,325923.66,325923.66,0.0,0.0,0.0
2005-07-01,0.0,0.0,0.0,16674.0,219008.45,219008.45,0.0,0.0,0.0
2005-08-01,0.0,0.0,0.0,21601.0,286179.73,286179.73,0.0,0.0,0.0
2005-09-01,0.0,0.0,0.0,9704.0,128261.0,128261.0,0.0,0.0,0.0
