measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Generation","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Quantity Consumed For Electricity","Jet Fuel - Internal Combustion Engine (diesel, piston, reciprocating) - Waste Oil - Total Fuel Consumed"
2003-01-01,246.031,2535.0,2535.0,,,
2003-02-01,217.95600000000002,2246.0,2246.0,,,
2003-03-01,225.11700000000002,2320.0,2320.0,,,
2003-04-01,197.67700000000002,2037.0,2037.0,,,
2003-05-01,194.001,1999.0,1999.0,,,
2003-06-01,184.602,1902.0,1902.0,,,
2003-07-01,197.57,2036.0,2036.0,,,
2003-08-01,189.154,1949.0,1949.0,,,
2003-09-01,202.328,2085.0,2085.0,,,
2003-10-01,218.10600000000002,2247.0,2247.0,,,
2003-11-01,228.857,2358.0,2358.0,,,
2003-12-01,255.601,2634.0,2634.0,,,
2004-01-01,226.104,2319.0,2319.0,,,
2004-02-01,292.47200000000004,3000.0,3000.0,,,
2004-03-01,262.482,2693.0,2693.0,,,
2004-04-01,177.977,1826.0,1826.0,,,
2004-05-01,193.008,1980.0,1980.0,,,
2004-06-01,185.39700000000002,1902.0,1902.0,,,
2004-07-01,295.254,3029.0,3029.0,,,
2004-08-01,312.567,3206.0,3206.0,,,
2004-09-01,254.54700000000003,2611.0,2611.0,,,
2004-10-01,186.175,1910.0,1910.0,,,
2004-11-01,108.208,1110.0,1110.0,,,
2004-12-01,104.807,1075.0,1075.0,,,
2005-01-01,349.031,3320.8,3320.8,,,
2005-02-01,119.91600000000001,1140.92,1140.92,,,
2005-03-01,132.912,1264.57,1264.57,,,
2005-04-01,160.994,1531.75,1531.75,,,
2005-05-01,149.52200000000002,1422.61,1422.61,,,
2005-06-01,194.066,1846.41,1846.41,,,
2005-07-01,197.535,1879.42,1879.42,,,
2005-08-01,232.056,2207.86,2207.86,,,
2005-09-01,151.906,1445.29,1445.29,,,
2005-10-01,168.69400000000002,1605.01,1605.01,,,
2005-11-01,135.615,1290.29,1290.29,,,
2005-12-01,286.755,2728.28,2728.28,,,
2006-01-01,268.425,2835.0,2835.0,,,
2006-02-01,140.458,1484.0,1484.0,,,
2006-03-01,117.986,1246.0,1246.0,,,
2006-04-01,226.008,2387.0,2387.0,,,
2006-05-01,211.26100000000002,2231.0,2231.0,,,
2006-06-01,192.02100000000002,2028.0,2028.0,,,
2006-07-01,278.148,2938.0,2938.0,,,
2006-08-01,269.802,2850.0,2850.0,,,
2006-09-01,123.95100000000001,1309.0,1309.0,,,
2006-10-01,130.93200000000002,1383.0,1383.0,,,
2006-11-01,154.17700000000002,1628.0,1628.0,,,
2006-12-01,170.83,1804.0,1804.0,,,
2007-01-01,157.416,1638.0,1638.0,,,
2007-02-01,121.90700000000001,1268.0,1268.0,,,
2007-03-01,241.071,2508.0,2508.0,,,
2007-04-01,146.63400000000001,1526.0,1526.0,,,
2007-05-01,135.28400000000002,1408.0,1408.0,,,
2007-06-01,132.258,1375.0,1375.0,,,
2007-07-01,195.294,2031.0,2031.0,,,
2007-08-01,246.51600000000002,2564.0,2564.0,,,
2007-09-01,204.779,2132.0,2132.0,,,
2007-10-01,247.305,2575.0,2575.0,,,
2007-11-01,181.425,1891.0,1891.0,,,
2007-12-01,260.11,2710.0,2710.0,,,
2008-01-01,0.0,0.0,0.0,293.201,3114.0,3114.0
2008-02-01,0.0,0.0,0.0,268.373,2845.0,2845.0
2008-03-01,0.0,0.0,0.0,179.579,1902.0,1902.0
2008-04-01,0.0,0.0,0.0,181.216,1919.0,1919.0
2008-05-01,0.0,0.0,0.0,189.56400000000002,2009.0,2009.0
2008-06-01,0.0,0.0,0.0,126.98700000000001,1347.0,1347.0
2008-07-01,0.0,0.0,0.0,131.949,1397.0,1397.0
2008-08-01,0.0,0.0,0.0,130.58,1386.0,1386.0
2008-09-01,0.0,0.0,0.0,136.24800000000002,1442.0,1442.0
2008-10-01,0.0,0.0,0.0,155.108,1644.0,1644.0
2008-11-01,0.0,0.0,0.0,189.16400000000002,2003.0,2003.0
2008-12-01,0.0,0.0,0.0,321.031,3406.0,3406.0
2009-01-01,0.0,0.0,0.0,395.40700000000004,4175.0,4175.0
2009-02-01,0.0,0.0,0.0,290.201,3064.0,3064.0
