measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,0.08700000000000001,1.0,1.0,,,,,,,3958.717,132665.0,132665.0,0.17300000000000001,7.0,7.0
2003-02-01,,,,0.081,1.0,1.0,,,,,,,3706.002,124196.0,124196.0,0.162,6.0,6.0
2003-03-01,,,,0.078,1.0,1.0,,,,,,,3580.317,119984.0,119984.0,0.157,6.0,6.0
2003-04-01,,,,0.075,1.0,1.0,,,,,,,3428.134,114884.0,114884.0,0.15,6.0,6.0
2003-05-01,,,,0.076,1.0,1.0,,,,,,,3478.045,116557.0,116557.0,0.152,6.0,6.0
2003-06-01,,,,0.079,1.0,1.0,,,,,,,3629.398,121629.0,121629.0,0.159,6.0,6.0
2003-07-01,,,,0.092,1.0,1.0,,,,,,,4185.377,140261.0,140261.0,0.183,7.0,7.0
2003-08-01,,,,0.093,1.0,1.0,,,,,,,4243.442,142207.0,142207.0,0.186,7.0,7.0
2003-09-01,,,,0.08,1.0,1.0,,,,,,,3677.0370000000003,123225.0,123225.0,0.161,6.0,6.0
2003-10-01,,,,0.083,1.0,1.0,,,,,,,3812.703,127772.0,127772.0,0.167,7.0,7.0
2003-11-01,,,,0.08600000000000001,1.0,1.0,,,,,,,3913.288,131143.0,131143.0,0.171,7.0,7.0
2003-12-01,,,,0.08900000000000001,1.0,1.0,,,,,,,4084.54,136882.0,136882.0,0.17900000000000002,7.0,7.0
2004-01-01,,,,0.058,1.0,1.0,,,,,,,5072.071,160064.0,160064.0,0.158,6.0,6.0
2004-02-01,,,,0.066,1.0,1.0,,,,,,,4229.861,133486.0,133486.0,0.14600000000000002,6.0,6.0
2004-03-01,,,,0.039,0.0,0.0,,,,,,,3839.7070000000003,121173.0,121173.0,0.186,7.0,7.0
2004-04-01,,,,0.105,1.0,1.0,,,,,,,3553.4390000000003,112139.0,112139.0,0.169,7.0,7.0
