measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2004-01-01,3694.90505,17469.82,140437.63,4.723949999999999,22.34,179.55,,,
2004-02-01,3218.42439,15216.99,122296.17,3.29261,15.57,125.12,,,
2004-03-01,2880.91371,13621.2,109424.67,1.7242899999999999,8.15,65.49,,,
2004-04-01,2379.41831,11250.09,90462.33,3.6776899999999997,17.39,139.82,,,
2004-05-01,2757.7103,13038.69,104848.3,4.3657,20.64,165.98,,,
2004-06-01,3067.30632,14502.48,116604.92,4.48168,21.19,170.37,,,
2004-07-01,3237.78911,15308.54,123019.77,2.98989,14.14,113.6,,,
2004-08-01,3443.56714,16281.48,130875.66,4.16486,19.69,158.29,,,
2004-09-01,3121.60115,14759.2,118567.76,1.89685,8.97,72.05,,,
2004-10-01,3199.0029,15125.16,121558.37,3.2731000000000003,15.48,124.37,,,
2004-11-01,3400.44505,16077.59,129198.24,3.09795,14.65,117.71,,,
2004-12-01,3523.25328,16658.24,133849.12,2.80572,13.27,106.59,,,
2005-01-01,3352.384,15850.36,127921.95,0.0,0.0,0.0,,,
2005-02-01,3043.8120000000004,14391.41,116147.25,0.0,0.0,0.0,,,
2005-03-01,3262.771,15426.66,124502.4,0.0,0.0,0.0,,,
2005-04-01,2684.2270000000003,12691.25,102426.12,0.0,0.0,0.0,,,
2005-05-01,2550.0860000000002,12057.02,97307.46,0.0,0.0,0.0,,,
2005-06-01,3268.67,15454.55,124727.58,0.0,0.0,0.0,,,
2005-07-01,3646.882,17242.77,139159.62,0.0,0.0,0.0,,,
2005-08-01,3612.18,17078.7,137835.54,0.0,0.0,0.0,,,
2005-09-01,3254.0170000000003,15385.27,124168.41,0.0,0.0,0.0,,,
2005-10-01,3047.246,14407.64,116278.47,0.0,0.0,0.0,,,
2005-11-01,2992.509,14148.84,114189.75,0.0,0.0,0.0,,,
2005-12-01,3451.8050000000003,16320.43,131715.72,0.0,0.0,0.0,,,
2006-01-01,3403.039,16089.86,120225.87,,,,,,
2006-02-01,3199.618,15128.07,113039.28,,,,,,
2006-03-01,3124.482,14772.82,110384.91,,,,,,
2006-04-01,3127.458,14786.89,110489.94,,,,,,
2006-05-01,3289.139,15551.33,116202.06,,,,,,
2006-06-01,3364.7070000000003,15908.62,118871.82,,,,,,
2006-07-01,3533.3880000000004,16706.16,124830.99,,,,,,
2006-08-01,3531.8410000000003,16698.85,124776.45,,,,,,
2006-09-01,3189.625,15080.82,112686.12,,,,,,
2006-10-01,3122.827,14765.0,110326.32,,,,,,
2006-11-01,3165.9990000000003,14969.12,111851.55,,,,,,
2006-12-01,3374.496,15954.91,119217.69,,,,,,
2007-01-01,2208.003,11178.0,102654.0,,,,,,
2007-02-01,2050.5,10368.0,95337.0,,,,,,
2007-03-01,1855.412,9396.0,86265.0,,,,,,
2007-04-01,1969.5910000000001,9963.0,91584.0,,,,,,
2007-05-01,2013.4820000000002,10179.0,93609.0,,,,,,
2007-06-01,2108.018,10665.0,98010.0,,,,,,
2007-07-01,2367.922,11988.0,110106.0,,,,,,
2007-08-01,2377.643,12042.0,110538.0,,,,,,
2007-09-01,2244.7490000000003,11367.0,104355.0,,,,,,
2007-10-01,2333.41,11799.0,108486.0,,,,,,
2007-11-01,2167.322,10962.0,100764.0,,,,,,
2007-12-01,2115.9480000000003,10692.0,98388.0,,,,,,
2008-01-01,3295.702,10098.0,10098.0,,,,42.691,130.0,130.0
2008-02-01,2737.663,8343.0,8343.0,,,,32.191,98.0,98.0
2008-03-01,2877.212,8775.0,8775.0,,,,39.186,120.0,120.0
2008-04-01,2834.1980000000003,8640.0,8640.0,,,,19.023,58.0,58.0
2008-05-01,2784.0820000000003,8505.0,8505.0,,,,15.625,48.0,48.0
2008-06-01,3073.367,9369.0,9369.0,,,,42.765,131.0,131.0
2008-07-01,3194.525,9747.0,9747.0,,,,51.501000000000005,157.0,157.0
2008-08-01,3028.685,9234.0,9234.0,,,,47.51,145.0,145.0
2008-09-01,2757.406,8424.0,8424.0,,,,25.51,78.0,78.0
2008-10-01,2665.378,8127.0,8127.0,,,,16.195,49.0,49.0
2008-11-01,2887.371,8802.0,8802.0,,,,17.072,52.0,52.0
2008-12-01,3034.5330000000004,9261.0,9261.0,,,,25.289,77.0,77.0
2009-01-01,3517.9410000000003,16633.0,105084.0,,,,27.184,129.0,813.0
2009-02-01,2877.856,13607.0,85941.0,,,,19.7,93.0,588.0
2009-03-01,2910.38,13761.0,86913.0,,,,22.255,105.0,665.0
2009-04-01,3061.665,14476.0,91449.0,,,,13.451,64.0,402.0
2009-05-01,2591.535,12253.0,77409.0,,,,11.016,52.0,329.0
