measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2019-01-01,,,,0.0,0.0,0.0,136.587,1553.0,2313.0
2019-02-01,,,,0.0,0.0,0.0,135.506,1541.0,2295.0
2019-03-01,,,,0.0,0.0,0.0,129.024,1467.0,2185.0
2019-04-01,,,,0.0,0.0,0.0,149.767,1703.0,2536.0
2019-05-01,,,,0.0,0.0,0.0,132.03,1502.0,2236.0
2019-06-01,,,,0.0,0.0,0.0,162.826,1852.0,2757.0
2019-07-01,,,,0.0,0.0,0.0,217.979,2479.0,3690.0
2019-08-01,,,,0.0,0.0,0.0,204.224,2323.0,3458.0
2019-09-01,,,,0.0,0.0,0.0,162.36,1847.0,2749.0
2019-10-01,,,,0.0,0.0,0.0,158.333,1801.0,2681.0
2019-11-01,,,,0.0,0.0,0.0,154.042,1752.0,2608.0
2019-12-01,,,,0.0,0.0,0.0,152.322,1732.0,2579.0
2020-01-01,,,,0.0,0.0,0.0,205.624,1953.0,1953.0
2020-02-01,,,,0.0,0.0,0.0,180.29,1713.0,1713.0
2020-03-01,,,,0.0,0.0,0.0,182.958,1739.0,1739.0
2020-04-01,,,,0.0,0.0,0.0,166.307,1580.0,1580.0
2020-05-01,,,,0.0,0.0,0.0,140.511,1335.0,1335.0
2020-06-01,,,,0.0,0.0,0.0,233.525,2219.0,2219.0
2020-07-01,,,,0.0,0.0,0.0,356.104,3384.0,3384.0
2020-08-01,,,,0.0,0.0,0.0,311.914,2963.0,2963.0
2020-09-01,,,,0.0,0.0,0.0,197.262,1875.0,1875.0
2020-10-01,,,,0.0,0.0,0.0,217.574,2067.0,2067.0
2020-11-01,,,,0.0,0.0,0.0,191.119,1816.0,1816.0
2020-12-01,,,,0.0,0.0,0.0,138.812,1318.0,1318.0
2021-01-01,,,,0.0,0.0,0.0,117.534,1105.0,1105.0
2021-02-01,,,,0.0,0.0,0.0,135.178,1269.0,1269.0
2021-03-01,,,,0.0,0.0,0.0,121.015,1136.0,1136.0
2021-04-01,,,,0.0,0.0,0.0,143.338,1346.0,1346.0
2021-05-01,,,,0.0,0.0,0.0,150.356,1412.0,1412.0
2021-06-01,,,,0.0,0.0,0.0,216.209,2030.0,2030.0
2021-07-01,,,,0.0,0.0,0.0,263.701,2476.0,2476.0
2021-08-01,,,,0.0,0.0,0.0,276.527,2597.0,2597.0
2021-09-01,,,,0.0,0.0,0.0,197.538,1855.0,1855.0
2021-10-01,,,,0.0,0.0,0.0,234.444,2201.0,2201.0
2021-11-01,,,,0.0,0.0,0.0,191.642,1799.0,1799.0
2021-12-01,,,,0.0,0.0,0.0,144.518,1358.0,1358.0
2022-01-01,98.719,1286.0,1414.0,1847.113,24070.0,26492.0,122.109,1389.0,13684.0
2022-02-01,14.216,185.0,204.0,2413.638,31452.0,34616.0,159.56,1815.0,17883.0
2022-03-01,3.222,42.0,47.0,2471.792,32210.0,35451.0,163.404,1858.0,18313.0
2022-04-01,3.602,47.0,52.0,2748.54,35816.0,39419.0,181.699,2067.0,20364.0
2022-05-01,2.512,33.0,35.0,3055.013,39810.0,43815.0,201.959,2297.0,22634.0
2022-06-01,2.735,36.0,41.0,3989.874,51992.0,57223.0,263.761,3000.0,29561.0
2022-07-01,1.585,21.0,23.0,5714.376,74464.0,81955.0,377.763,4296.0,42337.0
2022-08-01,1.776,23.0,23.0,5538.729,72175.0,79437.0,366.152,4164.0,41036.0
2022-09-01,1.514,20.0,23.0,3805.945,49595.0,54585.0,251.602,2862.0,28198.0
2022-10-01,5.711,74.0,81.0,3183.833,41488.0,45662.0,210.475,2394.0,23589.0
2022-11-01,4.131,54.0,58.0,2981.098,38846.0,42755.0,197.073,2241.0,22087.0
