measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,50.489000000000004,923.0,923.0
2003-02-01,0.0,0.0,0.0,41.72,763.0,763.0
2003-03-01,0.0,0.0,0.0,44.307,810.0,810.0
2003-04-01,0.0,0.0,0.0,42.202000000000005,772.0,772.0
2003-05-01,0.0,0.0,0.0,43.465,795.0,795.0
2003-06-01,0.0,0.0,0.0,45.855,838.0,838.0
2003-07-01,0.0,0.0,0.0,55.202000000000005,1009.0,1009.0
2003-08-01,0.0,0.0,0.0,53.359,975.0,975.0
2003-09-01,0.0,0.0,0.0,42.962,785.0,785.0
2003-10-01,0.0,0.0,0.0,41.058,751.0,751.0
2003-11-01,0.0,0.0,0.0,34.395,629.0,629.0
2003-12-01,0.0,0.0,0.0,49.984,914.0,914.0
2004-01-01,4.902,82.0,82.0,10.695,163.0,163.0
2004-02-01,16.833000000000002,282.0,282.0,14.342,218.0,218.0
2004-03-01,2.185,37.0,37.0,64.17,975.0,975.0
2004-04-01,13.466000000000001,226.0,226.0,22.126,336.0,336.0
2004-05-01,25.397000000000002,426.0,426.0,96.68100000000001,1469.0,1469.0
2004-06-01,82.098,1377.0,1377.0,96.28800000000001,1463.0,1463.0
2004-07-01,30.477,511.0,511.0,140.704,2138.0,2138.0
2004-08-01,18.073,303.0,303.0,185.103,2813.0,2813.0
2004-09-01,0.8270000000000001,14.0,14.0,67.49,1026.0,1026.0
2004-10-01,10.277000000000001,172.0,172.0,3.8760000000000003,59.0,59.0
2004-11-01,20.613,346.0,346.0,13.475,205.0,205.0
2004-12-01,6.851,115.0,115.0,13.05,198.0,198.0
2005-01-01,0.0,0.0,0.0,68.209,1383.75,1383.75
2005-02-01,0.0,0.0,0.0,56.623000000000005,1148.71,1148.71
2005-03-01,0.0,0.0,0.0,70.123,1422.59,1422.59
2005-04-01,0.0,0.0,0.0,69.093,1401.69,1401.69
2005-05-01,0.0,0.0,0.0,81.449,1652.36,1652.36
2005-06-01,0.0,0.0,0.0,102.79100000000001,2085.33,2085.33
2005-07-01,0.0,0.0,0.0,128.828,2613.54,2613.54
2005-08-01,0.0,0.0,0.0,133.452,2707.34,2707.34
2005-09-01,0.0,0.0,0.0,101.549,2060.12,2060.12
2005-10-01,0.0,0.0,0.0,81.125,1645.78,1645.78
2005-11-01,0.0,0.0,0.0,69.21300000000001,1404.13,1404.13
2005-12-01,0.0,0.0,0.0,67.545,1370.28,1370.28
2006-01-01,12.499,95.0,95.0,243.756,3227.0,3227.0
2006-02-01,12.369,94.0,94.0,289.194,3829.0,3829.0
2006-03-01,10.845,82.0,82.0,329.85200000000003,4367.0,4367.0
2006-04-01,14.306000000000001,108.0,108.0,368.947,4884.0,4884.0
2006-05-01,12.929,98.0,98.0,427.333,5657.0,5657.0
2006-06-01,15.463000000000001,117.0,117.0,544.538,7209.0,7209.0
2006-07-01,15.0,114.0,114.0,684.6030000000001,9063.0,9063.0
2006-08-01,16.143,122.0,122.0,693.2370000000001,9178.0,9178.0
2006-09-01,11.468,87.0,87.0,471.68,6244.0,6244.0
