measured_on,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2019-01-01,1189.048,13523.0,87282.0
2019-02-01,1109.574,12620.0,81449.0
2019-03-01,1220.692,13883.0,89605.0
2019-04-01,935.601,10641.0,68677.0
2019-05-01,1078.555,12267.0,79171.0
2019-06-01,1435.492,16326.0,105373.0
2019-07-01,2171.96,24702.0,159433.0
2019-08-01,2226.437,25322.0,163432.0
2019-09-01,1614.89,18367.0,118541.0
2019-10-01,1198.847,13635.0,88002.0
2019-11-01,1123.498,12778.0,82471.0
2019-12-01,1487.406,16917.0,109183.0
2020-01-01,1444.314,16935.0,103202.0
2020-02-01,1715.748,20117.0,122596.0
2020-03-01,720.341,8446.0,51471.0
2020-04-01,899.601,10548.0,64279.0
2020-05-01,1337.701,15685.0,95583.0
2020-06-01,1490.471,17476.0,106499.0
2020-07-01,2441.228,28624.0,174434.0
2020-08-01,1375.406,16127.0,98278.0
2020-09-01,1070.366,12550.0,76482.0
2020-10-01,1112.897,13049.0,79520.0
2020-11-01,902.063,10577.0,64455.0
2020-12-01,1546.274,18130.0,110486.0
2021-01-01,909.146,10340.0,69977.0
2021-02-01,353.477,4020.0,27207.0
2021-03-01,728.482,8285.0,56072.0
2021-04-01,755.239,8590.0,58132.0
2021-05-01,485.97,5527.0,37406.0
2021-06-01,1783.866,20289.0,137306.0
2021-07-01,2128.005,24203.0,163795.0
2021-08-01,1887.64,21469.0,145293.0
2021-09-01,1248.996,14205.0,96137.0
2021-10-01,1462.973,16639.0,112606.0
2021-11-01,1344.235,15288.0,103468.0
2021-12-01,1449.971,16491.0,111606.0
2022-01-01,1091.556,12799.0,90702.0
2022-02-01,914.653,10724.0,76002.0
2022-03-01,788.22,9242.0,65496.0
2022-04-01,367.0,4303.0,30496.0
2022-05-01,1068.095,12524.0,88753.0
2022-06-01,1593.136,18680.0,132380.0
2022-07-01,1976.791,23178.0,164260.0
2022-08-01,1959.378,22974.0,162812.0
2022-09-01,1437.415,16854.0,119441.0
2022-10-01,967.329,11342.0,80380.0
2022-11-01,799.737,9377.0,66453.0
2022-12-01,1140.49,13372.0,94768.0
2023-01-01,1435.376,16830.0,114581.0
2023-02-01,947.812,11113.0,75660.0
2023-03-01,1347.733,15802.0,107584.0
2023-04-01,413.239,4845.0,32987.0
2023-05-01,1504.27,17638.0,120079.0
2023-06-01,1777.864,20846.0,141919.0
2023-07-01,2037.712,23892.0,162662.0
2023-08-01,1862.781,21841.0,148698.0
2023-09-01,1501.967,17611.0,119895.0
2023-10-01,955.765,11206.0,76294.0
2023-11-01,953.967,11185.0,76151.0
2023-12-01,1354.784,15885.0,108146.0
2024-01-01,1063.979,12101.0,103252.0
2024-02-01,968.108,11011.0,93950.0
2024-03-01,605.075,6882.0,58719.0
2024-04-01,384.529,4373.0,37316.0
2024-05-01,1145.069,13023.0,111123.0
2024-06-01,1160.215,13196.0,112594.0
2024-07-01,1640.467,18658.0,159199.0
2024-08-01,1661.602,18898.0,161250.0
2024-09-01,1159.7,13190.0,112544.0
2024-10-01,652.6,7422.0,63332.0
2024-11-01,752.8,8562.0,73056.0
2024-12-01,991.856,11281.0,96255.0
