measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,,,,,,,889.76,14601.0,14601.0,,,,,,
2001-02-01,,,,,,,770.677,12647.0,12647.0,,,,,,
2001-03-01,,,,,,,837.407,13742.0,13742.0,,,,,,
2001-04-01,,,,,,,711.397,11674.0,11674.0,,,,,,
2001-05-01,,,,,,,801.212,13148.0,13148.0,,,,,,
2001-06-01,,,,,,,847.815,13912.0,13912.0,,,,,,
2001-07-01,,,,,,,880.4010000000001,14447.0,14447.0,,,,,,
2001-08-01,,,,,,,904.993,14851.0,14851.0,,,,,,
2001-09-01,,,,,,,630.08,10339.0,10339.0,,,,,,
2001-10-01,,,,,,,713.259,11704.0,11704.0,,,,,,
2001-11-01,,,,,,,687.606,11283.0,11283.0,,,,,,
2001-12-01,,,,,,,769.392,12626.0,12626.0,,,,,,
2002-01-01,0.0,0.0,0.0,,,,393.37,7532.0,7532.0,,,,,,
2002-02-01,0.0,0.0,0.0,,,,354.715,6792.0,6792.0,,,,,,
2002-03-01,0.0,0.0,0.0,,,,404.33700000000005,7742.0,7742.0,,,,,,
2002-04-01,0.0,0.0,0.0,,,,389.764,7463.0,7463.0,,,,,,
2002-05-01,0.0,0.0,0.0,,,,361.879,6929.0,6929.0,,,,,,
2002-06-01,0.0,0.0,0.0,,,,433.707,8305.0,8305.0,,,,,,
2002-07-01,0.0,0.0,0.0,,,,498.834,9552.0,9552.0,,,,,,
2002-08-01,0.0,0.0,0.0,,,,489.87300000000005,9380.0,9380.0,,,,,,
2002-09-01,0.0,0.0,0.0,,,,439.029,8406.0,8406.0,,,,,,
2002-10-01,0.0,0.0,0.0,,,,422.32800000000003,8087.0,8087.0,,,,,,
2002-11-01,0.0,0.0,0.0,,,,431.225,8257.0,8257.0,,,,,,
2002-12-01,0.0,0.0,0.0,,,,443.94,8501.0,8501.0,,,,,,
2003-01-01,,,,,,,628.393,9910.0,9910.0,,,,,,
2003-02-01,,,,,,,533.9870000000001,8421.0,8421.0,,,,,,
2003-03-01,,,,,,,590.058,9305.0,9305.0,,,,,,
2003-04-01,,,,,,,511.77700000000004,8071.0,8071.0,,,,,,
2003-05-01,,,,,,,460.524,7262.0,7262.0,,,,,,
2003-06-01,,,,,,,550.721,8685.0,8685.0,,,,,,
