measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,,,,,,,3216.0,31063.0,152938.0,,,
2001-02-01,,,,,,,3071.0,29063.0,141563.0,,,
2001-03-01,,,,,,,3060.0,29138.0,146013.0,,,
2001-04-01,,,,,,,3349.0,31360.0,143860.0,,,
2001-05-01,,,,,,,2872.0,27974.0,141724.0,,,
2001-06-01,,,,,,,1000.0,9259.0,80509.0,,,
2001-07-01,,,,,,,1000.0,8958.0,96458.0,,,
2001-08-01,,,,,,,1000.0,9122.0,98185.0,,,
2001-09-01,,,,,,,3310.0,31514.0,129014.0,,,
2001-10-01,,,,,,,3431.0,32487.0,137487.0,,,
2001-11-01,,,,,,,3205.0,30790.0,132040.0,,,
2001-12-01,,,,,,,3435.0,32240.0,142240.0,,,
2002-01-01,,,,,,,3316.43,25478.0,140818.0,,,
2002-02-01,,,,,,,1456.94,10823.0,115667.0,,,
2002-03-01,,,,,,,3235.92,23135.0,136189.0,,,
2002-04-01,,,,,,,3044.83,21771.0,125752.0,,,
2002-05-01,,,,,,,2592.81,24293.0,106709.0,,,
2002-06-01,,,,,,,3039.01,26084.0,121475.0,,,
2002-07-01,,,,,,,3981.85,36891.0,129923.0,15.52,140.0,492.0
2002-08-01,,,,,,,3956.63,36714.0,133162.0,27.16,250.0,907.0
2002-09-01,,,,,,,3975.06,38753.0,133162.0,48.5,471.0,1620.0
2002-10-01,,,,,,,3710.25,33452.0,140061.0,0.0,0.0,0.0
2002-11-01,,,,,,,3761.66,34261.0,131736.0,0.0,0.0,0.0
2002-12-01,,,,,,,3815.01,32331.0,133250.0,0.0,0.0,0.0
2003-01-01,,,,,,,3287.0620000000004,30947.0,152228.0,,,
2003-02-01,,,,,,,2751.8160000000003,25908.0,127440.0,,,
2003-03-01,,,,,,,3082.86,29024.0,142771.0,,,
2003-04-01,,,,,,,2709.405,25508.0,125476.0,,,
2003-05-01,,,,,,,2675.9320000000002,25193.0,123926.0,,,
2003-06-01,,,,,,,3011.09,28349.0,139447.0,,,
2003-07-01,,,,,,,3277.531,30857.0,151786.0,,,
2003-08-01,,,,,,,3404.485,32052.0,157666.0,,,
2003-09-01,,,,,,,2964.634,27911.0,137296.0,,,
2003-10-01,,,,,,,3137.452,29538.0,145299.0,,,
2003-11-01,,,,,,,2651.3140000000003,24962.0,122786.0,,,
2003-12-01,,,,,,,2974.42,28003.0,137749.0,,,
2004-01-01,,,,0.0,0.0,36383.0,0.0,0.0,92100.8,,,
2004-02-01,,,,0.0,0.0,30680.0,0.0,0.0,82931.2,,,
2004-03-01,,,,0.0,0.0,0.0,3859.63,19032.61,147470.4,,,
2004-04-01,,,,0.0,0.0,0.0,3801.43,18745.62,141134.4,,,
2004-05-01,,,,0.0,0.0,0.0,3986.7,19659.22,141715.2,,,
2004-06-01,,,,0.0,0.0,0.0,3971.18,19582.69,131612.8,,,
2004-07-01,,,,0.0,0.0,0.0,2309.57,11388.96,96676.8,,,
2004-08-01,,,,0.0,0.0,0.0,4125.41,20343.23,126244.8,,,
2004-09-01,,,,0.0,0.0,0.0,4465.88,22022.16,139744.0,,,
2004-10-01,,,,0.0,0.0,0.0,4334.93,21376.41,151324.8,,,
2004-11-01,,,,0.0,0.0,0.0,4419.32,21792.56,158540.8,,,
2004-12-01,,,,0.0,0.0,0.0,4236.96,20893.3,157731.2,,,
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4400.89,21701.68,158100.8,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4315.53,21280.75,153560.0,,,
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4084.67,20142.33,157132.8,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4374.7,21572.53,150515.2,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4307.77,21242.48,152908.8,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4435.81,21873.87,144672.0,,,
2005-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2789.72,13756.67,107940.8,,,
2005-08-01,325.46376,1604.93,11576.38,0.0,0.0,0.0,3764.05624,18561.32,133883.2,,,
2005-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4343.66,21419.46,141204.8,,,
2005-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4444.54,21916.92,155848.0,,,
2005-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4401.86,21706.46,154915.2,,,
2005-12-01,0.0,0.0,0.0,0.0,0.0,0.0,4064.3,20041.88,160177.6,,,
2006-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4116.68,20300.18,160300.8,,,
2006-02-01,0.0,0.0,0.0,0.0,0.0,0.0,4197.19,20697.19,152099.2,,,
2006-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4661.82,22988.38,166672.0,,,
2006-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4321.35,21309.45,152011.2,,,
2006-05-01,0.0,0.0,0.0,0.0,0.0,0.0,4676.37,23060.12,154932.8,,,
2006-06-01,0.0,0.0,0.0,0.0,0.0,0.0,4596.83,22667.9,146027.2,,,
2006-07-01,0.0,0.0,0.0,0.0,0.0,0.0,4598.77,22677.46,150075.2,,,
2006-08-01,0.0,0.0,0.0,0.0,0.0,0.0,3071.99,15148.6,117286.4,,,
2006-09-01,0.0,0.0,0.0,0.0,0.0,0.0,4422.23,21806.91,155073.6,,,
2006-10-01,0.0,0.0,0.0,0.0,0.0,0.0,4560.94,22490.92,169136.0,,,
2006-11-01,0.0,0.0,0.0,0.0,0.0,0.0,4217.56,20797.64,165070.4,,,
2006-12-01,0.0,0.0,0.0,0.0,0.0,0.0,4571.61,22543.53,169998.4,,,
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0,4012.89,19782.0,171494.0,,,
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0,3542.44,17477.0,153050.0,,,
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4509.53,22229.0,167464.0,,,
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0,4147.72,20451.0,160283.0,,,
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0,3368.81,16614.0,151078.0,,,
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0,2092.29,10314.0,111162.0,,,
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2455.07,12109.0,131014.0,,,
