measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2001-01-01,414.0,3636.0,4761.0
2001-02-01,377.0,3311.0,4336.0
2001-03-01,414.0,3636.0,4761.0
2001-04-01,391.0,3434.0,4497.0
2001-05-01,432.0,3794.0,4968.0
2001-06-01,477.0,4189.0,5486.0
2001-07-01,549.0,4821.0,6314.0
2001-08-01,613.0,5383.0,7050.0
2001-09-01,492.0,4321.0,5658.0
2001-10-01,473.0,4154.0,5440.0
2001-11-01,380.0,3337.0,4370.0
2001-12-01,414.0,3636.0,4761.0
