measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,2.0,17.0,17.0,695.0,7235.0,7835.0,240.0,0.0,0.0,,,
2003-02-01,0.98,17.0,17.0,-95.06,0.0,0.0,0.0,0.0,0.0,,,
2003-03-01,1.96,17.0,17.0,667.36,7274.0,8015.0,233.77,0.0,0.0,,,
2003-04-01,6.86,103.0,103.0,305.55,2819.0,3289.0,106.7,0.0,0.0,,,
2003-05-01,0.98,11.0,11.0,653.78,7382.0,8049.0,239.59,0.0,0.0,,,
2003-06-01,4.9,51.0,51.0,2292.11,26159.0,28857.0,891.43,0.0,0.0,,,
2003-07-01,4.9,51.0,51.0,582.0,6746.0,7462.0,214.37,0.0,0.0,,,
2003-08-01,7.84,114.0,114.0,7496.16,87063.0,93896.0,3000.21,0.0,0.0,,,
2003-09-01,0.98,17.0,17.0,130.95,1376.0,1525.0,47.53,0.0,0.0,,,
2003-10-01,1.96,11.0,11.0,189.15,2082.0,2312.0,63.05,0.0,0.0,,,
2003-11-01,1.96,23.0,23.0,182.36,2015.0,2222.0,61.11,0.0,0.0,,,
2003-12-01,5.88,63.0,63.0,337.56,3750.0,4065.0,113.49,0.0,0.0,,,
2004-01-01,3.516,42.23,49.93,1833.03,19155.81,22555.68,664.5110000000001,0.0,0.0,,,
2004-02-01,2.291,27.53,32.55,1902.881,19441.05,23415.22,631.85,0.0,0.0,,,
2004-03-01,2.335,28.06,33.17,1812.9460000000001,18898.71,22308.56,651.073,0.0,0.0,,,
2004-04-01,3.1310000000000002,37.62,44.46,1715.577,17726.02,21110.41,595.547,0.0,0.0,,,
2004-05-01,2.965,35.62,42.07,2372.9190000000003,25491.52,29199.1,950.6740000000001,0.0,0.0,,,
2004-06-01,2.567,30.84,36.42,1962.3220000000001,21030.09,24146.65,779.5880000000001,0.0,0.0,,,
2004-07-01,3.2230000000000003,38.73,45.77,1859.948,20108.54,22886.92,761.81,0.0,0.0,,,
2004-08-01,3.451,41.47,49.02,2009.519,21730.83,24727.42,823.754,0.0,0.0,,,
2004-09-01,2.8520000000000003,34.27,40.53,2343.851,25829.23,28841.42,1023.772,0.0,0.0,,,
2004-10-01,2.3640000000000003,28.4,33.57,1480.914,15081.32,18222.85,485.394,0.0,0.0,,,
2004-11-01,2.608,31.33,37.05,1968.256,20264.34,24219.67,673.815,0.0,0.0,,,
2004-12-01,2.017,24.23,28.61,2062.456,20777.35,25378.82,646.5020000000001,0.0,0.0,,,
2005-01-01,6.664000000000001,80.06,97.9,2589.364,27592.44,32980.21,1008.148,0.0,0.0,,,
2005-02-01,1.534,18.43,22.56,2295.538,24461.41,29237.81,893.75,0.0,0.0,,,
2005-03-01,1.316,15.81,19.37,2739.322,29190.41,34890.21,1066.5330000000001,0.0,0.0,,,
2005-04-01,1.3170000000000002,15.82,19.37,2808.478,29927.34,35771.02,1093.458,0.0,0.0,,,
2005-05-01,1.328,15.95,19.49,2278.348,24278.23,29018.86,887.056,0.0,0.0,,,
2005-06-01,1.609,19.32,23.66,3876.1420000000003,41304.45,49369.65,1509.145,0.0,0.0,,,
2005-07-01,3.047,36.61,44.78,4994.955,53226.59,63619.74,1944.746,0.0,0.0,,,
2005-08-01,2.698,32.41,39.67,5340.354,56907.18,68019.03,2079.224,0.0,0.0,,,
2005-09-01,1.5010000000000001,18.04,22.04,3532.693,37644.63,44995.21,1375.4260000000002,0.0,0.0,,,
2005-10-01,2.105,25.29,30.91,2443.041,26033.22,31116.53,951.1790000000001,0.0,0.0,,,
2005-11-01,1.417,17.03,20.82,2192.905,23367.75,27930.59,853.79,0.0,0.0,,,
2005-12-01,3.883,46.65,57.07,2369.291,25247.33,30177.18,922.464,0.0,0.0,,,
2006-01-01,0.164,1.98,3.48,787.926,8781.8,10881.19,357.04900000000004,0.0,0.0,0.0,0.0,0.0
2006-02-01,0.20600000000000002,2.47,4.37,785.629,8756.2,10849.48,356.00800000000004,0.0,0.0,0.0,0.0,0.0
2006-03-01,0.375,4.51,7.91,857.0790000000001,9552.55,11836.2,388.385,0.0,0.0,0.0,0.0,0.0
2006-04-01,0.17800000000000002,2.13,3.78,720.601,8031.44,9951.45,326.54,0.0,0.0,0.0,0.0,0.0
2006-05-01,0.12300000000000001,1.47,2.6,699.033,7791.06,9653.6,316.767,0.0,0.0,0.0,0.0,0.0
2006-06-01,0.11800000000000001,1.42,2.48,894.1980000000001,9966.26,12348.82,405.206,0.0,0.0,0.0,0.0,0.0
2006-07-01,0.14700000000000002,1.77,3.07,1339.1180000000002,14925.1,18493.12,606.821,0.0,0.0,0.0,0.0,0.0
2006-08-01,0.156,1.87,3.3,1260.7440000000001,14051.58,17410.78,571.306,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.091,1.1,1.95,894.2460000000001,9966.79,12349.47,405.22700000000003,0.0,0.0,0.0,0.0,0.0
2006-10-01,0.091,1.1,1.89,997.3040000000001,11115.41,13772.69,451.928,0.0,0.0,0.0,0.0,0.0
2006-11-01,0.14700000000000002,1.77,3.13,857.815,9560.75,11846.36,388.719,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.164,1.98,3.48,838.207,9342.21,11575.57,379.833,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.603,6.0,6.0,713.3290000000001,9409.0,10728.0,513.4730000000001,0.0,0.0,,,
2007-02-01,1.0270000000000001,12.0,12.0,653.5310000000001,8845.0,9828.0,499.63100000000003,0.0,0.0,,,
2007-03-01,0.496,6.0,6.0,945.303,10954.0,14217.0,482.939,0.0,0.0,,,
2007-04-01,0.35800000000000004,6.0,6.0,773.49,9245.0,11632.0,431.808,0.0,0.0,,,
2007-05-01,0.17900000000000002,0.0,0.0,929.2510000000001,10762.0,13975.0,473.81100000000004,0.0,0.0,,,
2007-06-01,0.23900000000000002,0.0,0.0,1146.315,12702.0,17240.0,509.70700000000005,0.0,0.0,,,
2007-07-01,0.24300000000000002,0.0,0.0,1330.7540000000001,14375.0,20013.0,543.542,0.0,0.0,,,
2007-08-01,0.245,0.0,0.0,1559.717,16404.0,23456.0,579.128,0.0,0.0,,,
2007-09-01,0.164,0.0,0.0,1143.082,12436.0,17191.0,478.35,0.0,0.0,,,
2007-10-01,0.093,0.0,0.0,931.336,10555.0,14007.0,444.715,0.0,0.0,,,
2007-11-01,0.057,0.0,0.0,747.503,8805.0,11241.0,400.466,0.0,0.0,,,
2007-12-01,0.217,0.0,0.0,798.399,9744.0,12007.0,472.13,0.0,0.0,,,
2008-01-01,0.532,6.0,18.0,260.957,2758.0,3284.0,109.86500000000001,0.0,0.0,,,
2008-02-01,0.341,4.0,6.0,238.08100000000002,2517.0,2997.0,100.235,0.0,0.0,,,
2008-03-01,0.10600000000000001,0.0,0.0,276.15000000000003,2919.0,3475.0,116.262,0.0,0.0,,,
2008-04-01,0.045000000000000005,0.0,0.0,256.54,2713.0,3229.0,108.006,0.0,0.0,,,
2008-05-01,0.064,0.0,0.0,250.437,2647.0,3151.0,105.436,0.0,0.0,,,
2008-06-01,0.452,5.0,6.0,367.385,3884.0,4624.0,154.673,0.0,0.0,,,
2008-07-01,0.549,7.0,12.0,468.423,4952.0,5895.0,197.211,0.0,0.0,,,
2008-08-01,0.20800000000000002,2.0,6.0,377.30100000000004,3989.0,4748.0,158.847,0.0,0.0,,,
2008-09-01,0.14300000000000002,0.0,0.0,351.309,3714.0,4421.0,147.905,0.0,0.0,,,
2008-10-01,0.053000000000000005,0.0,0.0,320.343,3386.0,4032.0,134.868,0.0,0.0,,,
2008-11-01,0.374,4.0,6.0,277.776,2937.0,3496.0,116.94600000000001,0.0,0.0,,,
2008-12-01,1.0530000000000002,13.0,18.0,258.298,2731.0,3250.0,108.74600000000001,0.0,0.0,,,
2009-01-01,0.0,0.0,0.0,1552.409,16836.0,19241.0,665.3190000000001,0.0,0.0,,,
2009-02-01,0.0,0.0,0.0,1476.5130000000001,16013.0,18301.0,632.791,0.0,0.0,,,
2009-03-01,0.0,0.0,0.0,1758.009,19066.0,21791.0,753.432,0.0,0.0,,,
2009-04-01,0.0,0.0,0.0,1742.356,18896.0,21596.0,746.724,0.0,0.0,,,
2009-05-01,0.0,0.0,0.0,1650.6270000000002,17901.0,20460.0,707.4110000000001,0.0,0.0,,,
2009-06-01,0.0,0.0,0.0,1756.017,19044.0,21765.0,752.5790000000001,0.0,0.0,,,
2009-07-01,0.0,0.0,0.0,2126.005,23057.0,26351.0,911.145,0.0,0.0,,,
2009-08-01,0.0,0.0,0.0,2589.123,28079.0,32092.0,1109.624,0.0,0.0,,,
2009-09-01,0.0,0.0,0.0,1777.544,19277.0,22033.0,761.805,0.0,0.0,,,
2009-10-01,0.0,0.0,0.0,1592.3890000000001,17270.0,19737.0,682.452,0.0,0.0,,,
2009-11-01,0.0,0.0,0.0,1591.5620000000001,17260.0,19727.0,682.0980000000001,0.0,0.0,,,
2009-12-01,0.0,0.0,12.0,1660.4460000000001,18007.0,20581.0,711.62,0.0,0.0,,,
2010-01-01,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-05-01,0.0,0.0,0.0,1294.938,14131.0,16545.0,554.0,0.0,0.0,,,
2010-06-01,0.0,0.0,6.0,3615.7940000000003,39456.0,46197.0,1542.0,0.0,0.0,,,
2010-07-01,0.0,0.0,12.0,8350.979000000001,91128.0,106697.0,3564.0,0.0,0.0,,,
2010-08-01,0.0,0.0,6.0,7512.005,81973.0,95978.0,3202.0,0.0,0.0,,,
2010-09-01,0.0,0.0,0.0,2589.875,28262.0,33090.0,1104.0,0.0,0.0,,,
2010-10-01,0.0,0.0,0.0,891.409,9727.0,11389.0,381.0,0.0,0.0,,,
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2010-12-01,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-03-01,0.0,0.0,0.0,1513.092,16565.0,19468.0,648.0,0.0,0.0,,,
2011-04-01,0.0,0.0,0.0,1784.904,19541.0,22965.0,765.0,0.0,0.0,,,
2011-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-06-01,0.0,0.0,0.0,5730.719,62738.0,73733.0,2456.0,0.0,0.0,,,
2011-07-01,0.0,0.0,0.0,20046.192,219457.0,257921.0,8592.0,0.0,0.0,,,
2011-08-01,0.0,0.0,0.0,20816.328,227888.0,267829.0,8922.0,0.0,0.0,,,
2011-09-01,0.0,0.0,0.0,2192.623,24004.0,28211.0,939.0,0.0,0.0,,,
2011-10-01,0.0,0.0,0.0,56.628,620.0,728.0,24.0,0.0,0.0,,,
2011-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2011-12-01,0.0,0.0,34.0,1576.514,17259.0,20284.0,676.0,0.0,0.0,,,
2012-01-01,0.0,0.0,0.0,4510.363,41359.0,41359.0,1907.0,0.0,0.0,,,
2012-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-03-01,0.0,0.0,0.0,3078.683,28230.0,28230.0,1313.0,0.0,0.0,,,
2012-04-01,0.0,0.0,0.0,4521.816,41464.0,41464.0,1909.0,0.0,0.0,,,
2012-05-01,0.0,0.0,0.0,6553.655,60095.0,60095.0,2767.0,0.0,0.0,,,
2012-06-01,0.0,0.0,0.0,6155.076,56440.0,56440.0,2595.0,0.0,0.0,,,
2012-07-01,0.0,0.0,0.0,19686.164,180516.0,180516.0,8339.0,0.0,0.0,,,
2012-08-01,0.0,0.0,0.0,19168.468,175769.0,175769.0,8109.0,0.0,0.0,,,
2012-09-01,0.0,0.0,0.0,5884.775,53962.0,53962.0,2518.0,0.0,0.0,,,
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-01-01,0.0,0.0,0.0,293.0,3005.0,3870.0,100.0,0.0,0.0,,,
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-04-01,0.0,0.0,0.0,196.0,2023.0,2614.0,69.0,0.0,0.0,,,
2013-05-01,0.0,0.0,0.0,2353.0,25005.0,30484.0,929.0,0.0,0.0,,,
2013-06-01,0.0,0.0,0.0,4208.0,45651.0,54653.0,1789.0,0.0,0.0,,,
2013-07-01,0.0,0.0,0.0,16883.0,182453.0,222505.0,7039.0,0.0,0.0,,,
2013-08-01,0.0,0.0,0.0,4157.0,45160.0,55531.0,1722.0,0.0,0.0,,,
2013-09-01,0.0,0.0,0.0,373.0,4211.0,5294.0,162.0,0.0,0.0,,,
2013-10-01,0.0,0.0,0.0,455.0,4777.0,6198.0,176.0,0.0,0.0,,,
2013-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2013-12-01,0.0,0.0,0.0,384.0,4018.0,5187.0,143.0,0.0,0.0,,,
2014-01-01,4.505,53.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-02-01,1.604,19.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-03-01,1.267,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-04-01,0.033,0.0,0.0,241.0,2492.0,3197.0,84.0,0.0,0.0,,,
2014-05-01,0.029,0.0,0.0,517.0,5565.0,6864.0,211.0,0.0,0.0,,,
2014-06-01,0.069,0.0,0.0,1695.0,18183.0,23253.0,683.0,0.0,0.0,,,
2014-07-01,0.114,0.0,0.0,2030.0,21814.0,26851.0,822.0,0.0,0.0,,,
2014-08-01,0.085,0.0,0.0,755.0,8079.0,10160.0,302.0,0.0,0.0,,,
2014-09-01,0.062,0.0,0.0,2133.0,22981.0,28274.0,871.0,0.0,0.0,,,
2014-10-01,0.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-11-01,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2014-12-01,0.095,0.0,0.0,325.0,3348.0,4219.0,113.0,0.0,0.0,,,
2015-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2015-04-01,0.0,0.0,0.0,3241.0,41041.0,41041.0,1231.0,0.0,0.0,,,
2015-05-01,0.0,0.0,0.0,1210.0,16388.0,16388.0,483.0,0.0,0.0,,,
2015-06-01,0.0,0.0,0.0,905.0,12108.0,12108.0,359.0,0.0,0.0,,,
2015-07-01,0.0,0.0,0.0,5849.0,76936.0,76936.0,2395.0,0.0,0.0,,,
2015-08-01,0.0,0.0,0.0,5692.0,74575.0,74575.0,2337.0,0.0,0.0,,,
2015-09-01,0.0,0.0,0.0,5491.0,72020.0,72020.0,2256.0,0.0,0.0,,,
2015-10-01,0.0,0.0,0.0,1227.0,16025.0,16025.0,470.0,0.0,0.0,,,
2015-11-01,0.0,0.0,0.0,282.0,3524.0,3524.0,104.0,0.0,0.0,,,
2015-12-01,0.0,0.0,0.0,499.0,6382.0,6382.0,179.0,0.0,0.0,,,
2016-01-01,0.0,0.0,0.0,1807.0,22238.0,22238.0,608.0,0.0,0.0,,,
2016-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2016-03-01,0.0,0.0,0.0,367.0,4842.0,4842.0,121.0,0.0,0.0,,,
2016-04-01,0.0,0.0,0.0,3258.0,40495.0,40495.0,1180.0,0.0,0.0,,,
2016-05-01,0.0,0.0,0.0,1180.0,15183.0,15183.0,465.0,0.0,0.0,,,
2016-06-01,0.0,0.0,0.0,1256.0,16148.0,16148.0,492.0,0.0,0.0,,,
2016-07-01,0.0,0.0,0.0,9773.0,124226.0,124226.0,4046.0,0.0,0.0,,,
2016-08-01,0.0,0.0,0.0,13771.0,174265.0,174265.0,5652.0,0.0,0.0,,,
2016-09-01,0.0,0.0,0.0,2365.0,30204.0,30204.0,983.0,0.0,0.0,,,
2016-10-01,0.0,0.0,0.0,437.0,5659.0,5659.0,162.0,0.0,0.0,,,
2016-11-01,0.0,0.0,0.0,127.0,1910.0,1910.0,46.0,0.0,0.0,,,
2016-12-01,0.0,12.0,12.0,364.0,4580.0,4580.0,131.0,0.0,0.0,,,
2017-01-01,0.0,0.0,0.0,127.0,1682.0,1682.0,42.68,0.0,0.0,,,
2017-02-01,0.0,0.0,0.0,337.0,4219.0,4219.0,118.0,0.0,0.0,,,
2017-03-01,0.0,0.0,0.0,562.0,7100.0,7100.0,175.0,0.0,0.0,,,
2017-04-01,0.0,0.0,0.0,403.0,5318.0,5318.0,159.0,0.0,0.0,,,
2017-05-01,0.0,0.0,0.0,248.0,3188.0,3188.0,92.0,0.0,0.0,,,
2017-06-01,0.0,0.0,0.0,1178.0,14996.0,14996.0,470.0,0.0,0.0,,,
2017-07-01,0.0,0.0,0.0,2772.0,35846.0,35846.0,1115.0,0.0,0.0,,,
2017-08-01,0.0,0.0,0.0,4125.0,53016.0,53016.0,1671.0,0.0,0.0,,,
