measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2020-03-01,-0.107,0.0,0.0,132.95,1166.0,1166.0
2020-04-01,-0.095,0.0,0.0,167.557,1469.0,1469.0
2020-05-01,-0.092,0.0,0.0,219.29,1923.0,1923.0
2020-06-01,-0.082,0.0,0.0,218.369,1914.0,1914.0
2020-07-01,-0.097,0.0,0.0,246.651,2162.0,2162.0
2020-08-01,-0.097,0.0,0.0,204.344,1791.0,1791.0
2020-09-01,-0.105,0.0,0.0,160.45,1407.0,1407.0
2020-10-01,-0.112,0.0,0.0,148.308,1300.0,1300.0
2020-11-01,-0.11,0.0,0.0,117.249,1028.0,1028.0
2020-12-01,-0.103,0.0,0.0,92.832,814.0,814.0
2021-01-01,-0.367,0.0,0.0,101.609,899.0,899.0
2021-02-01,-0.394,0.0,0.0,133.104,1177.0,1177.0
2021-03-01,-0.443,0.0,0.0,171.86,1520.0,1520.0
2021-04-01,-0.43,0.0,0.0,215.124,1903.0,1903.0
2021-05-01,-0.364,0.0,0.0,234.481,2074.0,2074.0
2021-06-01,-0.42,0.0,0.0,227.773,2014.0,2014.0
2021-07-01,-0.421,0.0,0.0,218.163,1929.0,1929.0
2021-08-01,-0.422,0.0,0.0,214.586,1898.0,1898.0
2021-09-01,-0.469,0.0,0.0,185.028,1636.0,1636.0
2021-10-01,-0.405,0.0,0.0,154.004,1362.0,1362.0
2021-11-01,-0.434,0.0,0.0,122.539,1084.0,1084.0
2021-12-01,-0.431,0.0,0.0,83.729,740.0,740.0
2022-01-01,-0.545,0.0,0.0,111.32,380.0,380.0
2022-02-01,-0.571,0.0,0.0,132.783,453.0,453.0
2022-03-01,-0.528,0.0,0.0,176.042,601.0,601.0
2022-04-01,-0.553,0.0,0.0,198.582,678.0,678.0
2022-05-01,-0.586,0.0,0.0,232.744,794.0,794.0
2022-06-01,-0.592,0.0,0.0,242.344,827.0,827.0
2022-07-01,-0.616,0.0,0.0,233.738,798.0,798.0
2022-08-01,-0.632,0.0,0.0,217.024,740.0,740.0
2022-09-01,-0.567,0.0,0.0,183.15,625.0,625.0
2022-10-01,-0.633,0.0,0.0,168.734,576.0,576.0
2022-11-01,-0.586,0.0,0.0,125.088,427.0,427.0
2022-12-01,-0.591,0.0,0.0,87.451,298.0,298.0
2023-01-01,1.0,0.0,0.0,84.0,287.0,287.0
2023-02-01,1.0,0.0,0.0,115.0,392.0,392.0
2023-03-01,1.0,0.0,0.0,161.0,549.0,549.0
2023-04-01,2.0,0.0,0.0,238.0,812.0,812.0
2023-05-01,0.0,0.0,0.0,255.0,870.0,870.0
2023-06-01,3.0,0.0,0.0,241.0,822.0,822.0
2023-07-01,3.0,0.0,0.0,248.0,846.0,846.0
2023-08-01,3.0,0.0,0.0,234.0,798.0,798.0
2023-09-01,0.0,0.0,0.0,173.0,590.0,590.0
2023-10-01,1.0,0.0,0.0,138.0,471.0,471.0
2023-11-01,0.0,0.0,0.0,112.0,382.0,382.0
2023-12-01,0.0,0.0,0.0,76.0,259.0,259.0
2024-01-01,0.0,0.0,0.0,80.0,273.0,273.0
2024-02-01,0.0,0.0,0.0,116.0,396.0,396.0
2024-03-01,-1.0,0.0,0.0,176.0,601.0,601.0
2024-04-01,-1.0,0.0,0.0,218.0,744.0,744.0
2024-05-01,0.0,0.0,0.0,272.0,928.0,928.0
2024-06-01,-1.0,0.0,0.0,256.0,873.0,873.0
2024-07-01,-1.0,0.0,0.0,233.0,795.0,795.0
2024-08-01,-1.0,0.0,0.0,225.0,768.0,768.0
2024-09-01,0.0,0.0,0.0,173.0,590.0,590.0
2024-10-01,-1.0,0.0,0.0,119.0,406.0,406.0
2024-11-01,-1.0,0.0,0.0,90.0,307.0,307.0
2024-12-01,-1.0,0.0,0.0,72.0,246.0,246.0
