measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2013-01-01,7.867,92.0,92.0
2013-02-01,0.791,12.0,12.0
2013-03-01,2.103,23.0,23.0
2013-04-01,2.266,29.0,29.0
2013-05-01,7.871,92.0,92.0
2013-06-01,5.978,69.0,69.0
2013-07-01,6.861,81.0,81.0
2013-08-01,2.137,23.0,23.0
2013-09-01,17.135,196.0,196.0
2013-10-01,10.57,121.0,121.0
2013-11-01,7.944,92.0,92.0
2013-12-01,21.477,248.0,248.0
2014-01-01,31.946,340.0,340.0
2014-02-01,17.957,190.0,190.0
2014-03-01,34.289,368.0,368.0
2014-04-01,4.85,52.0,52.0
2014-05-01,4.647,52.0,52.0
2014-06-01,5.489,58.0,58.0
2014-07-01,4.38,46.0,46.0
2014-08-01,2.192,23.0,23.0
2014-09-01,1.346,17.0,17.0
2014-10-01,3.715,40.0,40.0
2014-11-01,2.55,29.0,29.0
2014-12-01,4.639,52.0,52.0
2015-01-01,2.829,29.0,29.0
2015-02-01,9.451,111.0,111.0
2015-03-01,14.553,176.0,176.0
2015-04-01,1.982,23.0,23.0
2015-05-01,9.077,111.0,111.0
2015-06-01,3.789,47.0,47.0
2015-07-01,3.983,47.0,47.0
2015-08-01,4.577,53.0,53.0
2015-09-01,6.781,82.0,82.0
2015-10-01,3.361,41.0,41.0
2015-11-01,4.411,53.0,53.0
2015-12-01,4.206,53.0,53.0
2016-01-01,4.729,64.0,64.0
2016-02-01,3.882,59.0,59.0
2016-03-01,1.72,23.0,23.0
2016-04-01,3.124,47.0,47.0
2016-05-01,3.723,53.0,53.0
2016-06-01,8.095,117.0,117.0
2016-07-01,12.266,176.0,176.0
2016-08-01,6.541,94.0,94.0
2016-09-01,2.337,35.0,35.0
2016-10-01,10.834,158.0,158.0
2016-11-01,3.474,53.0,53.0
2016-12-01,10.275,147.0,147.0
2017-01-01,3.461,53.0,53.0
2017-02-01,1.288,18.0,18.0
2017-03-01,0.451,6.0,6.0
2017-04-01,3.194,47.0,47.0
2017-05-01,2.241,35.0,35.0
2017-06-01,8.546,123.0,123.0
2017-07-01,5.812,88.0,88.0
2017-08-01,2.952,41.0,41.0
2017-09-01,2.516,35.0,35.0
2017-10-01,5.545,82.0,82.0
2017-11-01,2.683,41.0,41.0
2017-12-01,1.311,18.0,18.0
2018-01-01,0.958,12.0,12.0
2018-02-01,0.618,12.0,12.0
2018-03-01,0.684,12.0,12.0
2018-04-01,0.914,12.0,12.0
2018-05-01,2.409,35.0,35.0
2018-06-01,3.69,53.0,53.0
2018-07-01,0.804,12.0,12.0
2018-08-01,2.157,29.0,29.0
2018-09-01,1.737,23.0,23.0
2018-10-01,2.448,35.0,35.0
2018-11-01,1.038,18.0,18.0
2018-12-01,0.543,6.0,6.0
2019-01-01,2.473,35.0,35.0
2019-02-01,7.893,111.0,111.0
2019-03-01,1.861,29.0,29.0
2019-04-01,6.069,88.0,88.0
2019-05-01,10.267,147.0,147.0
2019-06-01,4.79,70.0,70.0
