measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Steam Part - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,,,,,,,5.557,74.0,74.0,,,,,,,,,
2003-02-01,,,,,,,,,,5.0120000000000005,67.0,67.0,,,,,,,,,
2003-03-01,,,,,,,,,,5.627000000000001,75.0,75.0,,,,,,,,,
2003-04-01,,,,,,,,,,5.078,68.0,68.0,,,,,,,,,
2003-05-01,,,,,,,,,,4.5760000000000005,61.0,61.0,,,,,,,,,
2003-06-01,,,,,,,,,,5.214,70.0,70.0,,,,,,,,,
2003-07-01,,,,,,,,,,4.985,67.0,67.0,,,,,,,,,
2003-08-01,,,,,,,,,,4.796,64.0,64.0,,,,,,,,,
2003-09-01,,,,,,,,,,4.761,64.0,64.0,,,,,,,,,
2003-10-01,,,,,,,,,,4.876,65.0,65.0,,,,,,,,,
2003-11-01,,,,,,,,,,5.098,68.0,68.0,,,,,,,,,
2003-12-01,,,,,,,,,,5.529,74.0,74.0,,,,,,,,,
2004-01-01,,,,,,,,,,0.49410000000000004,2.8,35.87,,,,,,,255.3889,1445.43,18541.43
2004-02-01,,,,,,,,,,0.55042,3.12,40.0,,,,,,,660.09258,3735.95,47972.33
2004-03-01,,,,,,,,,,0.03245,0.18,2.36,,,,,,,716.76755,4056.72,52129.55
2004-04-01,,,,,,,,,,0.06977,0.39,5.07,,,,,,,488.26523,2763.46,35507.72
2004-05-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,355.345,2011.16,25844.9
2004-06-01,,,,,,,,,,0.0,0.0,0.0,,,,,,,310.308,1756.26,22569.25
2004-07-01,,,,,,,,,,2.08884,11.82,151.28,,,,,,,452.80316,2562.74,32792.5
2004-08-01,,,,,,,,,,1.04788,5.93,76.05,,,,,,,455.42812,2577.61,33053.24
2004-09-01,,,,,,,,,,0.12900999999999999,0.73,9.38,,,,,,,455.35699,2577.21,33110.22
2004-10-01,,,,,,,,,,0.038939999999999995,0.22,2.83,,,,,,,518.69106,2935.65,37722.61
2004-11-01,,,,,,,,,,0.38156999999999996,2.16,27.73,,,,,,,446.25943,2525.72,32431.42
2004-12-01,,,,,,,,,,0.45375,2.57,32.98,,,,,,,657.32925,3720.31,47777.93
