measured_on,"Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,482.932,8425.0,14619.0
2003-02-01,334.421,5834.0,10123.0
2003-03-01,343.155,5986.0,10388.0
2003-04-01,347.067,6055.0,10506.0
2003-05-01,316.048,5513.0,9567.0
2003-06-01,327.779,5718.0,9922.0
2003-07-01,370.224,6458.0,11207.0
2003-08-01,374.701,6537.0,11343.0
2003-09-01,349.728,6101.0,10587.0
2003-10-01,406.19800000000004,7086.0,12296.0
2003-11-01,366.132,6387.0,11083.0
2003-12-01,387.355,6757.0,11726.0
2004-01-01,256.872,1985.07,9337.73
2004-02-01,283.988,2194.63,10323.46
2004-03-01,296.189,2288.9,10767.03
2004-04-01,205.47400000000002,1587.87,7469.36
2004-05-01,260.84700000000004,2015.79,9482.28
2004-06-01,230.115,1778.3,8365.12
2004-07-01,238.82600000000002,1845.61,8681.72
2004-08-01,292.016,2256.66,10615.33
2004-09-01,297.415,2298.38,10811.59
2004-10-01,285.446,2205.88,10376.44
2004-11-01,289.86,2240.0,10536.88
2004-12-01,381.321,2946.79,13861.73
2005-01-01,275.743,2130.91,7457.91
2005-02-01,255.906,1977.61,6921.3
2005-03-01,276.675,2138.11,7483.04
2005-04-01,237.87900000000002,1838.29,6433.77
2005-05-01,263.991,2040.09,7139.97
2005-06-01,255.58100000000002,1975.09,6912.53
2005-07-01,283.057,2187.42,7655.7
2005-08-01,291.428,2252.12,7882.07
2005-09-01,274.337,2120.04,7419.85
2005-10-01,261.491,2020.76,7072.35
2005-11-01,266.312,2058.03,7202.8
2005-12-01,287.699,2223.3,7781.18
2006-01-01,0.922,7.13,534.35
2006-02-01,0.8370000000000001,6.47,485.09
2006-03-01,0.907,7.01,525.4
2006-04-01,0.8380000000000001,6.48,485.63
2006-05-01,0.8360000000000001,6.46,484.45
2006-06-01,0.835,6.45,483.64
2006-07-01,0.897,6.93,519.71
2006-08-01,0.95,7.34,550.36
2006-09-01,0.889,6.87,515.01
2006-10-01,0.923,7.13,534.81
2006-11-01,0.902,6.97,522.96
2006-12-01,0.935,7.23,542.13
2007-01-01,58.481,441.0,1782.0
2007-02-01,55.513000000000005,414.0,1692.0
2007-03-01,57.931000000000004,432.0,1764.0
2007-04-01,45.602000000000004,342.0,1395.0
2007-05-01,55.881,423.0,1710.0
2007-06-01,61.301,459.0,1872.0
2007-07-01,61.21,459.0,1872.0
2007-08-01,63.275,477.0,1935.0
2007-09-01,60.142,450.0,1836.0
2007-10-01,51.536,387.0,1575.0
2007-11-01,57.572,432.0,1755.0
2007-12-01,61.557,459.0,1881.0
2008-01-01,0.0,0.0,801.0
2008-02-01,0.0,0.0,697.0
2008-03-01,0.0,0.0,728.0
2008-04-01,0.0,0.0,666.0
2008-05-01,0.0,0.0,655.0
2008-06-01,0.0,0.0,624.0
2008-07-01,0.0,0.0,738.0
2008-08-01,0.0,0.0,780.0
2008-09-01,0.0,0.0,655.0
2008-10-01,0.0,0.0,582.0
2008-11-01,0.0,0.0,707.0
2008-12-01,0.0,0.0,707.0
