measured_on,Bituminous Coal Generation,Bituminous Coal Quantity Consumed For Electricity,Bituminous Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2018-01-01,430.258,4893.0,110109.0,34.649,394.0,8867.0,,,
2018-02-01,362.402,4122.0,92753.0,30.825,351.0,7890.0,,,
2018-03-01,381.302,4337.0,97596.0,32.429,369.0,8300.0,,,
2018-04-01,299.979,3412.0,76776.0,35.993,409.0,9212.0,,,
2018-05-01,313.607,3567.0,80275.0,40.86,465.0,10458.0,,,
2018-06-01,372.593,4238.0,95369.0,52.034,592.0,13318.0,,,
2018-07-01,473.549,5386.0,121208.0,67.438,767.0,17261.0,,,
2018-08-01,477.072,5426.0,122110.0,67.188,764.0,17197.0,,,
2018-09-01,418.979,4765.0,107228.0,60.43,687.0,15467.0,,,
2018-10-01,418.152,4756.0,107016.0,48.951,557.0,12529.0,,,
2018-11-01,452.373,5145.0,115782.0,43.891,499.0,11234.0,,,
2018-12-01,481.683,5478.0,123294.0,46.363,527.0,11866.0,,,
2019-01-01,519.306,5906.0,99060.0,0.052,1.0,10.0,,,
2019-02-01,473.664,5387.0,90360.0,0.051,1.0,10.0,,,
2019-03-01,405.189,4608.0,77300.0,0.052,1.0,10.0,,,
2019-04-01,317.999,3617.0,60660.0,0.05,1.0,10.0,,,
2019-05-01,306.419,3485.0,58460.0,0.05,1.0,9.0,,,
2019-06-01,365.107,4152.0,69660.0,0.064,1.0,12.0,,,
2019-07-01,459.203,5223.0,87600.0,0.083,1.0,16.0,,,
2019-08-01,488.686,5558.0,93220.0,0.086,1.0,16.0,,,
2019-09-01,443.139,5040.0,84540.0,0.071,1.0,13.0,,,
2019-10-01,418.629,4761.0,79860.0,0.062,1.0,12.0,,,
2019-11-01,446.403,5077.0,85160.0,0.056,1.0,11.0,,,
2019-12-01,467.512,5317.0,89180.0,0.067,1.0,13.0,,,
2020-01-01,0.0,0.0,0.0,41.905,477.0,7240.0,463.999,5277.0,80168.0
2020-02-01,0.0,0.0,0.0,41.222,469.0,7120.0,386.313,4394.0,66722.0
2020-03-01,0.0,0.0,0.0,37.338,425.0,6450.0,381.331,4337.0,65859.0
2020-04-01,0.0,0.0,0.0,36.974,421.0,6386.0,334.788,3808.0,57834.0
2020-05-01,0.0,0.0,0.0,41.091,467.0,7097.0,329.255,3745.0,56866.0
2020-06-01,0.0,0.0,0.0,46.8,532.0,8083.0,380.587,4329.0,65736.0
2020-07-01,0.0,0.0,0.0,59.635,678.0,10301.0,479.444,5453.0,82808.0
2020-08-01,0.0,0.0,0.0,62.322,709.0,10765.0,513.632,5842.0,88722.0
2020-09-01,0.0,0.0,0.0,53.654,610.0,9267.0,456.565,5193.0,78866.0
2020-10-01,0.0,0.0,0.0,47.196,537.0,8152.0,419.401,4770.0,72442.0
2020-11-01,0.0,0.0,0.0,38.508,438.0,6651.0,398.452,4532.0,68816.0
2020-12-01,0.0,0.0,0.0,43.641,496.0,7538.0,449.947,5117.0,77722.0
2021-01-01,0.0,0.0,0.0,41.207,503.0,7984.0,415.917,5075.0,80573.0
2021-02-01,0.0,0.0,0.0,30.658,374.0,5942.0,399.65,4876.0,77454.0
2021-03-01,0.0,0.0,0.0,34.744,424.0,6734.0,369.065,4503.0,71520.0
2021-04-01,0.0,0.0,0.0,36.942,451.0,7159.0,284.135,3467.0,55070.0
2021-05-01,0.0,0.0,0.0,41.531,507.0,8049.0,318.349,3884.0,61700.0
2021-06-01,0.0,0.0,0.0,50.58,617.0,9802.0,441.605,5388.0,85581.0
2021-07-01,0.0,0.0,0.0,60.222,735.0,11670.0,496.162,6054.0,96150.0
2021-08-01,0.0,0.0,0.0,56.377,688.0,10926.0,502.228,6128.0,97326.0
2021-09-01,0.0,0.0,0.0,46.476,567.0,9006.0,473.786,5781.0,91819.0
2021-10-01,0.0,0.0,0.0,34.423,420.0,6670.0,450.311,5495.0,87274.0
2021-11-01,0.0,0.0,0.0,32.682,399.0,6333.0,398.023,4857.0,77134.0
2021-12-01,0.0,0.0,0.0,36.606,447.0,7094.0,384.321,4689.0,74478.0
