measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed,"Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Solar-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2008-01-01,,,,3.254,32.0,32.0
2008-02-01,,,,7.248,71.0,71.0
2008-03-01,,,,15.073,149.0,149.0
2008-04-01,,,,19.102,188.0,188.0
2008-05-01,,,,19.94,196.0,196.0
2008-06-01,,,,26.134,258.0,258.0
2008-07-01,,,,22.693,224.0,224.0
2008-08-01,,,,21.54,212.0,212.0
2008-09-01,,,,18.751,185.0,185.0
2008-10-01,,,,12.022,118.0,118.0
2008-11-01,0.0,0.0,0.0,5.707,56.0,56.0
2008-12-01,0.0,0.0,0.0,3.136,31.0,31.0
2009-01-01,23.028000000000002,225.0,225.0,0.0,0.0,0.0
2009-02-01,122.611,1197.0,1197.0,0.0,0.0,0.0
2009-03-01,312.743,3052.0,3052.0,0.0,0.0,0.0
2009-04-01,401.463,3918.0,3918.0,0.0,0.0,0.0
2009-05-01,443.69,4330.0,4330.0,0.0,0.0,0.0
2009-06-01,424.62800000000004,4144.0,4144.0,0.0,0.0,0.0
2009-07-01,490.523,4788.0,4788.0,0.0,0.0,0.0
2009-08-01,464.88100000000003,4537.0,4537.0,0.0,0.0,0.0
2009-09-01,375.038,3660.0,3660.0,0.0,0.0,0.0
2009-10-01,270.19800000000004,2637.0,2637.0,0.0,0.0,0.0
2009-11-01,157.135,1534.0,1534.0,0.0,0.0,0.0
2009-12-01,76.062,742.0,742.0,0.0,0.0,0.0
2010-01-01,33.425000000000004,326.0,326.0,,,
2010-02-01,114.95,1121.0,1121.0,,,
2010-03-01,265.742,2593.0,2593.0,,,
2010-04-01,386.87800000000004,3774.0,3774.0,,,
2010-05-01,532.898,5199.0,5199.0,,,
2010-06-01,604.08,5893.0,5893.0,,,
2010-07-01,559.687,5460.0,5460.0,,,
2010-08-01,531.679,5187.0,5187.0,,,
2010-09-01,450.303,4393.0,4393.0,,,
2010-10-01,236.565,2308.0,2308.0,,,
2010-11-01,219.889,2145.0,2145.0,,,
2010-12-01,116.90400000000001,1141.0,1141.0,,,
2011-01-01,82.917,806.0,806.0,,,
2011-02-01,205.37,1995.0,1995.0,,,
2011-03-01,290.069,2818.0,2818.0,,,
2011-04-01,394.235,3830.0,3830.0,,,
2011-05-01,462.188,4491.0,4491.0,,,
2011-06-01,538.513,5232.0,5232.0,,,
2011-07-01,458.209,4452.0,4452.0,,,
2011-08-01,479.883,4663.0,4663.0,,,
2011-09-01,356.982,3468.0,3468.0,,,
2011-10-01,294.695,2863.0,2863.0,,,
2011-11-01,164.175,1595.0,1595.0,,,
2011-12-01,139.764,1358.0,1358.0,,,
2012-01-01,257.457,2450.0,2450.0,,,
2012-02-01,303.585,2889.0,2889.0,,,
2012-03-01,364.287,3467.0,3467.0,,,
2012-04-01,443.995,4225.0,4225.0,,,
2012-05-01,352.492,3354.0,3354.0,,,
2012-06-01,421.458,4011.0,4011.0,,,
2012-07-01,411.466,3916.0,3916.0,,,
2012-08-01,408.911,3891.0,3891.0,,,
2012-09-01,357.375,3401.0,3401.0,,,
2012-10-01,258.058,2456.0,2456.0,,,
2012-11-01,253.175,2409.0,2409.0,,,
2012-12-01,158.741,1511.0,1511.0,,,
2013-01-01,213.652,2038.0,2038.0,,,
2013-02-01,218.795,2088.0,2088.0,,,
2013-03-01,334.079,3187.0,3187.0,,,
2013-04-01,454.878,4340.0,4340.0,,,
2013-05-01,408.302,3896.0,3896.0,,,
2013-06-01,420.897,4016.0,4016.0,,,
2013-07-01,405.843,3872.0,3872.0,,,
2013-08-01,352.039,3359.0,3359.0,,,
2013-09-01,386.021,3683.0,3683.0,,,
2013-10-01,310.754,2965.0,2965.0,,,
2013-11-01,232.507,2218.0,2218.0,,,
2013-12-01,162.233,1548.0,1548.0,,,
2014-01-01,162.294,1543.0,1543.0,,,
2014-02-01,232.505,2211.0,2211.0,,,
2014-03-01,326.526,3105.0,3105.0,,,
2014-04-01,398.386,3789.0,3789.0,,,
2014-05-01,381.676,3630.0,3630.0,,,
2014-06-01,400.681,3810.0,3810.0,,,
2014-07-01,414.307,3940.0,3940.0,,,
2014-08-01,409.0,3890.0,3890.0,,,
2014-09-01,340.797,3241.0,3241.0,,,
2014-10-01,250.65,2384.0,2384.0,,,
2014-11-01,229.493,2182.0,2182.0,,,
