measured_on,"Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Generation","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Internal Combustion Engine (diesel, piston, reciprocating) - Coal - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,,,,144066.0,1351265.0,1351265.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,35743.0,465120.0,465120.0
2003-02-01,,,,69680.0,521482.0,521482.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,23057.0,239400.0,239400.0
2003-03-01,,,,71338.0,704510.0,704510.0,0.0,0.0,0.0,253.0,2685.0,2685.0,,,,17980.0,246340.0,246340.0
2003-04-01,,,,78130.0,727856.0,727856.0,0.0,0.0,0.0,414.0,4222.0,4222.0,,,,32524.0,420360.0,420360.0
2003-05-01,,,,88521.0,853544.0,853544.0,21.0,269.0,269.0,416.0,4237.0,4237.0,,,,33377.0,446500.0,446500.0
2003-06-01,,,,74756.0,992194.0,992194.0,0.0,0.0,0.0,250.0,3431.0,3431.0,,,,16719.0,307850.0,307850.0
2003-07-01,,,,110016.0,1107590.0,1107590.0,0.0,0.0,0.0,314.0,3462.0,3462.0,,,,33679.0,470400.0,470400.0
2003-08-01,,,,131431.0,1317044.0,1317044.0,19.0,215.0,215.0,309.0,3492.0,3492.0,,,,38121.0,529980.0,529980.0
2003-09-01,,,,132668.0,1261062.0,1261062.0,0.0,0.0,0.0,59.0,621.0,621.0,,,,44375.0,585200.0,585200.0
2003-10-01,,,,117257.0,1063800.0,1063800.0,0.0,0.0,0.0,139.0,1414.0,1414.0,,,,41701.0,524880.0,524880.0
2003-11-01,,,,120393.0,1109489.0,1109489.0,0.0,0.0,0.0,87.0,889.0,889.0,,,,40922.0,523200.0,523200.0
2003-12-01,,,,115796.0,1083302.0,1083302.0,,,,231.0,2464.0,2464.0,,,,35935.0,466400.0,466400.0
2004-01-01,,,,185831.0,2143381.0,2143381.0,0.0,0.0,0.0,154.0,1602.0,1602.0,,,,,,
2004-02-01,,,,145125.0,1571666.0,1571666.0,0.0,0.0,0.0,58.0,570.0,570.0,,,,,,
2004-03-01,,,,85256.0,953137.0,953137.0,0.0,0.0,0.0,20.0,209.0,209.0,,,,,,
