measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed
2022-04-01,2192.327,18749.0,18749.0
2022-05-01,3359.979,28734.0,28734.0
2022-06-01,5048.158,43172.0,43172.0
2022-07-01,7048.522,60279.0,60279.0
2022-08-01,6786.286,58037.0,58037.0
2022-09-01,4991.126,42684.0,42684.0
2022-10-01,3641.182,31140.0,31140.0
2022-11-01,2855.164,24418.0,24418.0
2022-12-01,4002.256,34227.0,34227.0
2023-01-01,6521.602,56514.0,56514.0
2023-02-01,4477.587,38802.0,38802.0
2023-03-01,7157.641,62027.0,62027.0
2023-04-01,4708.56,40804.0,40804.0
2023-05-01,7100.186,61529.0,61529.0
2023-06-01,11118.183,96349.0,96349.0
2023-07-01,12713.521,110174.0,110174.0
2023-08-01,12088.592,104758.0,104758.0
2023-09-01,8731.054,75662.0,75662.0
2023-10-01,6304.138,54631.0,54631.0
2023-11-01,6706.353,58117.0,58117.0
2023-12-01,8758.583,75900.0,75900.0
2024-01-01,9709.935,80298.0,80298.0
2024-02-01,7832.916,64774.0,64774.0
2024-03-01,6563.048,54273.0,54273.0
2024-04-01,4978.913,41173.0,41173.0
2024-05-01,7963.686,65855.0,65855.0
2024-06-01,9111.364,75346.0,75346.0
2024-07-01,14040.391,116107.0,116107.0
2024-08-01,13421.067,110985.0,110985.0
2024-09-01,8834.736,73059.0,73059.0
2024-10-01,5835.093,48253.0,48253.0
2024-11-01,7436.79,61499.0,61499.0
2024-12-01,8378.061,69282.0,69282.0
