measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,-13.0,0.0,0.0
2003-02-01,-12.0,0.0,0.0
2003-03-01,-14.0,0.0,0.0
2003-04-01,-10.0,0.0,0.0
2003-05-01,-9.0,0.0,0.0
2003-06-01,-7.0,0.0,0.0
2003-07-01,-8.0,0.0,0.0
2003-10-01,-4.0,0.0,0.0
2003-11-01,-13.0,0.0,0.0
2003-12-01,-14.0,0.0,0.0
2004-01-01,-15.0,0.0,0.0
2004-02-01,1.0,296.0,296.0
2004-03-01,-15.0,0.0,0.0
2004-04-01,-10.0,0.0,0.0
2004-05-01,230.0,3793.0,3793.0
2004-06-01,21.0,603.0,603.0
2004-07-01,26.0,847.0,847.0
2004-08-01,-7.0,12.0,12.0
2004-09-01,-10.0,0.0,0.0
2004-10-01,47.0,899.0,899.0
2004-11-01,-14.0,0.0,0.0
2004-12-01,-15.0,0.0,0.0
