measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,1.79,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.871,246.0,246.0
2003-02-01,1.4460000000000002,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.207,199.0,199.0
2003-03-01,1.515,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.741000000000001,208.0,208.0
2003-04-01,1.455,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.276,200.0,200.0
2003-05-01,1.772,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.735,243.0,243.0
2003-06-01,1.774,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,13.745,244.0,244.0
2003-07-01,1.933,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,14.977,265.0,265.0
2003-08-01,2.005,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.536000000000001,275.0,275.0
2003-09-01,1.6720000000000002,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.96,230.0,230.0
2003-10-01,1.5790000000000002,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.237,217.0,217.0
2003-11-01,1.42,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,11.002,195.0,195.0
2003-12-01,1.64,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,12.713000000000001,225.0,225.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.288,44.0,44.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.268,44.0,44.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.141,42.0,42.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.749,38.0,38.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.779,49.0,49.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.386,65.0,65.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.024,72.0,72.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.61,78.0,78.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.573,67.0,67.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.023000000000001,72.0,72.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.488,46.0,46.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.674,48.0,48.0
2005-01-01,0.0,0.0,0.0,,,,37.349000000000004,649.11,649.11,33.045,552.69,552.69
2005-02-01,0.0,0.0,0.0,,,,31.005,538.85,538.85,27.432000000000002,458.81,458.81
2005-03-01,0.0,0.0,0.0,,,,38.397,667.33,667.33,33.972,568.2,568.2
