measured_on,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,,,,15.0,297.0,741.0
2001-02-01,,,,13.0,257.0,642.0
2001-03-01,,,,14.0,277.0,692.0
2001-04-01,,,,13.0,257.0,642.0
2001-05-01,,,,13.0,257.0,642.0
2001-06-01,,,,14.0,277.0,692.0
2001-07-01,,,,15.0,297.0,741.0
2001-08-01,,,,16.0,317.0,791.0
2001-09-01,,,,14.0,277.0,692.0
2001-10-01,,,,13.0,257.0,642.0
2001-11-01,,,,13.0,257.0,642.0
2001-12-01,0.0,0.0,0.0,14.0,277.0,692.0
2002-01-01,0.0,0.0,0.0,13.475,275.0,674.0
2002-02-01,0.0,0.0,0.0,11.588000000000001,236.0,580.0
2002-03-01,0.0,0.0,0.0,13.635,278.0,682.0
2002-04-01,0.0,0.0,0.0,11.783000000000001,240.0,590.0
2002-05-01,0.0,0.0,0.0,11.749,240.0,588.0
2002-06-01,0.0,0.0,0.0,11.809000000000001,241.0,591.0
2002-07-01,0.0,0.0,0.0,12.855,262.0,643.0
2002-08-01,0.0,0.0,0.0,12.779,261.0,639.0
2002-09-01,0.0,0.0,0.0,12.962,264.0,649.0
2002-10-01,0.0,0.0,0.0,13.071000000000002,267.0,654.0
2002-11-01,0.0,0.0,0.0,11.899000000000001,243.0,595.0
2002-12-01,0.0,0.0,0.0,12.389000000000001,253.0,620.0
