measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,,,,730.0,12072.0,12072.0
2003-02-01,0.0,0.0,0.0,,,,1505.0,20786.0,20786.0
2003-03-01,0.0,0.0,0.0,,,,-218.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,5906.0,70748.0,70748.0
2003-05-01,0.0,0.0,0.0,,,,313.0,5970.0,5970.0
2003-06-01,0.0,0.0,0.0,,,,993.0,14266.0,14266.0
2003-07-01,0.0,0.0,0.0,,,,2002.0,26880.0,26880.0
2003-08-01,0.0,0.0,0.0,,,,4179.0,53041.0,53041.0
2003-09-01,0.0,0.0,0.0,,,,-155.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,-118.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,201.0,5610.0,5610.0
2004-01-01,0.0,0.0,0.0,,,,683.0,11947.0,11947.0
2004-02-01,0.0,0.0,0.0,,,,-228.0,37.0,37.0
2004-03-01,0.0,0.0,0.0,,,,-199.0,28.0,28.0
2004-04-01,0.0,0.0,0.0,,,,-166.0,13.0,13.0
2004-05-01,0.0,0.0,0.0,,,,31.0,2693.0,2693.0
2004-06-01,0.0,0.0,0.0,,,,610.0,9711.0,9711.0
2004-07-01,0.0,0.0,0.0,,,,858.0,11933.0,11933.0
2004-08-01,0.0,0.0,0.0,,,,201.0,4387.0,4387.0
