measured_on,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2013-01-01,342.693,3505.0,3505.0
2013-02-01,295.618,3024.0,3024.0
2013-03-01,257.305,2632.0,2632.0
2013-04-01,238.617,2441.0,2441.0
2013-05-01,309.158,3163.0,3163.0
2013-06-01,224.412,2296.0,2296.0
2013-07-01,320.399,3277.0,3277.0
2013-08-01,343.25,3511.0,3511.0
2013-09-01,454.985,4654.0,4654.0
2013-10-01,229.889,2352.0,2352.0
2013-11-01,365.859,3742.0,3742.0
2013-12-01,352.815,3609.0,3609.0
2014-01-01,506.413,5642.0,5642.0
2014-02-01,438.473,4886.0,4886.0
2014-03-01,484.471,5399.0,5399.0
2014-04-01,466.13,5194.0,5194.0
2014-05-01,486.82,5425.0,5425.0
2014-06-01,436.571,4865.0,4865.0
2014-07-01,352.29,3926.0,3926.0
2014-08-01,375.818,4188.0,4188.0
2014-09-01,351.415,3916.0,3916.0
2014-10-01,49.174,548.0,548.0
2014-11-01,74.294,828.0,828.0
2014-12-01,384.131,4281.0,4281.0
2015-01-01,217.425,2590.0,2590.0
2015-02-01,183.35,2184.0,2184.0
2015-03-01,223.201,2658.0,2658.0
2015-04-01,248.197,2956.0,2956.0
2015-05-01,266.88,3178.0,3178.0
2015-06-01,245.635,2925.0,2925.0
2015-07-01,280.09,3336.0,3336.0
2015-08-01,253.285,3017.0,3017.0
2015-09-01,275.539,3282.0,3282.0
2015-10-01,256.226,3051.0,3051.0
2015-11-01,242.945,2894.0,2894.0
2015-12-01,231.227,2754.0,2754.0
2016-01-01,245.421,3214.0,3214.0
2016-02-01,247.93,3247.0,3247.0
2016-03-01,266.03,3484.0,3484.0
2016-04-01,262.061,3432.0,3432.0
2016-05-01,277.651,3637.0,3637.0
2016-06-01,234.554,3072.0,3072.0
2016-07-01,263.396,3450.0,3450.0
2016-08-01,242.983,3182.0,3182.0
2016-09-01,226.256,2963.0,2963.0
2016-10-01,214.76,2813.0,2813.0
2016-11-01,247.795,3246.0,3246.0
2016-12-01,249.163,3263.0,3263.0
2017-01-01,266.17,3495.0,3495.0
2017-02-01,240.369,3156.0,3156.0
2017-03-01,262.1,3441.0,3441.0
2017-04-01,249.625,3278.0,3278.0
2017-05-01,269.221,3535.0,3535.0
2017-06-01,247.436,3249.0,3249.0
2017-07-01,237.862,3123.0,3123.0
2017-08-01,239.392,3143.0,3143.0
2017-09-01,228.268,2998.0,2998.0
2017-10-01,246.12,3232.0,3232.0
2017-11-01,236.351,3104.0,3104.0
2017-12-01,255.086,3350.0,3350.0
2018-01-01,239.15,2532.0,2532.0
2018-02-01,210.786,2231.0,2231.0
2018-03-01,226.981,2403.0,2403.0
2018-04-01,225.935,2392.0,2392.0
2018-05-01,237.416,2514.0,2514.0
2018-06-01,213.037,2255.0,2255.0
2018-07-01,218.887,2317.0,2317.0
2018-08-01,208.63,2209.0,2209.0
2018-09-01,198.732,2104.0,2104.0
2018-10-01,230.22,2437.0,2437.0
2018-11-01,223.899,2370.0,2370.0
2018-12-01,231.327,2449.0,2449.0
2019-01-01,292.541,3399.0,3399.0
2019-02-01,263.238,3059.0,3059.0
2019-03-01,299.119,3475.0,3475.0
2019-04-01,276.796,3216.0,3216.0
2019-05-01,293.582,3411.0,3411.0
2019-06-01,271.086,3149.0,3149.0
2019-07-01,272.372,3164.0,3164.0
2019-08-01,265.323,3083.0,3083.0
2019-09-01,249.373,2897.0,2897.0
2019-10-01,258.855,3007.0,3007.0
2019-11-01,254.888,2961.0,2961.0
2019-12-01,282.827,3286.0,3286.0
2020-01-01,148.872,1766.0,1766.0
2020-02-01,133.349,1581.0,1581.0
2020-03-01,151.73,1799.0,1799.0
2020-04-01,145.761,1728.0,1728.0
2020-05-01,143.349,1700.0,1700.0
2020-06-01,134.005,1588.0,1588.0
2020-07-01,131.162,1555.0,1555.0
2020-08-01,129.804,1539.0,1539.0
