measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-01-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-02-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-03-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-04-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-05-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-06-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-07-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-08-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-09-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-10-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-11-01,,,,,,,3709.523,17835.75,77984.4,,,
2004-12-01,,,,,,,3709.523,17835.75,77984.4,,,
2005-01-01,2304.29788,11079.29,182738.64,,,,1085.85612,5220.9,86112.08,,,
2005-02-01,2067.19259,9939.27,165918.48,,,,957.09141,4601.79,76818.75,,,
2005-03-01,2313.07926,11121.51,177853.92,,,,1141.07174,5486.38,87737.63,,,
2005-04-01,2156.53854,10368.85,146317.44,,,,1290.47146,6204.71,87556.28,,,
2005-05-01,2239.04344,10765.54,139005.36,,,,1550.44356,7454.69,96255.38,,,
2005-06-01,2445.45522,11757.99,178175.52,,,,1308.83078,6292.99,95361.23,,,
2005-07-01,2597.27533,12487.95,198791.76,,,,1290.08767,6202.87,98741.48,,,
2005-08-01,2581.21605,12410.74,196900.32,,,,1288.57695,6195.6,98295.23,,,
2005-09-01,2395.06049,11515.69,177376.8,,,,1250.2585100000001,6011.37,92593.43,,,
2005-10-01,2354.70646,11321.66,166105.68,,,,1324.97254,6370.6,93466.2,,,
2005-11-01,2349.93341,11298.71,163122.0,,,,1356.12559,6520.38,94136.25,,,
2005-12-01,2473.87555,11894.64,188158.32,,,,1240.44845,5964.2,94346.18,,,
2006-01-01,1892.51829,9099.41,140973.12,,,,1203.51471,5786.62,89649.45,,,
2006-02-01,1726.80684,8302.66,132546.24,,,,1046.02516,5029.39,80290.8,,,
2006-03-01,1598.9246699999999,7687.79,129433.68,,,,890.46133,4281.42,72083.25,,,
2006-04-01,1502.98432,7226.5,129556.8,,,,760.27468,3655.48,65535.45,,,
2006-05-01,1688.70977,8119.48,136254.72,,,,945.27723,4544.98,76270.35,,,
2006-06-01,1305.55884,6277.25,139385.04,,,,485.87316,2336.13,51873.15,,,
2006-07-01,1616.34382,7771.54,146372.88,,,,759.77018,3653.05,68803.28,,,
2006-08-01,1597.25077,7679.74,146308.8,,,,738.30223,3549.83,67628.78,,,
2006-09-01,1471.49823,7075.11,132132.24,,,,700.36777,3367.44,62889.08,,,
2006-10-01,1598.3821,7685.18,129365.04,,,,890.4239,4281.24,72066.45,,,
2006-11-01,1704.76866,8196.7,131153.52,,,,1028.90134,4947.06,79156.8,,,
2006-12-01,1773.59092,8527.6,139790.64,,,,1029.98008,4952.25,81180.83,,,
2007-01-01,628.4540000000001,3024.0,15456.0,18.291,88.0,450.0,1076.714,5176.0,26496.0,,,
2007-02-01,505.60400000000004,2424.0,12432.0,27.369,132.0,674.0,878.394,4224.0,21616.0,,,
