measured_on,Natural Gas - Fuel Cell - Natural Gas - Generation,Natural Gas - Fuel Cell - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Fuel Cell - Natural Gas - Total Fuel Consumed
2011-01-01,53.262,322.0,322.0
2011-02-01,52.519,319.0,319.0
2011-03-01,41.775,253.0,253.0
2011-04-01,35.595,216.0,216.0
2011-05-01,31.759,193.0,193.0
2011-06-01,35.344,214.0,214.0
2011-07-01,56.665,344.0,344.0
2011-08-01,69.571,423.0,423.0
2011-09-01,70.625,429.0,429.0
2011-10-01,56.564,344.0,344.0
2011-11-01,55.766,339.0,339.0
2011-12-01,72.555,440.0,440.0
2012-01-01,719.252,5777.0,5777.0
2012-02-01,719.199,5778.0,5778.0
2012-03-01,684.044,5496.0,5496.0
2012-04-01,633.785,5092.0,5092.0
2012-05-01,629.361,5056.0,5056.0
2012-06-01,666.285,5354.0,5354.0
2012-07-01,788.003,6331.0,6331.0
2012-08-01,1037.626,8337.0,8337.0
2012-09-01,942.623,7574.0,7574.0
2012-10-01,872.246,7008.0,7008.0
2012-11-01,753.114,6051.0,6051.0
2012-12-01,710.462,5709.0,5709.0
2013-01-01,622.102,5320.0,5320.0
2013-02-01,573.057,4899.0,4899.0
2013-03-01,552.678,4725.0,4725.0
2013-04-01,475.582,4066.0,4066.0
2013-05-01,502.251,4294.0,4294.0
2013-06-01,594.199,5080.0,5080.0
2013-07-01,753.971,6446.0,6446.0
2013-08-01,768.947,6575.0,6575.0
2013-09-01,767.025,6558.0,6558.0
2013-10-01,665.532,5690.0,5690.0
2013-11-01,656.461,5612.0,5612.0
2013-12-01,764.455,6536.0,6536.0
2014-01-01,676.04,5563.0,5563.0
2014-02-01,631.303,5194.0,5194.0
2014-03-01,547.832,4507.0,4507.0
2014-04-01,520.914,4285.0,4285.0
2014-05-01,525.257,4322.0,4322.0
2014-06-01,517.812,4260.0,4260.0
2014-07-01,732.642,6028.0,6028.0
2014-08-01,756.27,6222.0,6222.0
2014-09-01,791.073,6508.0,6508.0
2014-10-01,780.385,6421.0,6421.0
2014-11-01,563.985,4640.0,4640.0
2014-12-01,613.487,5047.0,5047.0
2015-01-01,502.367,4348.0,4348.0
2015-02-01,371.99,3220.0,3220.0
2015-03-01,435.797,3772.0,3772.0
2015-04-01,418.199,3620.0,3620.0
2015-05-01,408.272,3534.0,3534.0
2015-06-01,574.101,4969.0,4969.0
2015-07-01,647.513,5604.0,5604.0
2015-08-01,683.007,5912.0,5912.0
2015-09-01,678.288,5870.0,5870.0
2015-10-01,653.394,5655.0,5655.0
2015-11-01,481.763,4170.0,4170.0
2015-12-01,515.309,4460.0,4460.0
2016-01-01,813.286,6250.0,6250.0
2016-02-01,645.445,4961.0,4961.0
2016-03-01,501.983,3858.0,3858.0
2016-04-01,480.06,3689.0,3689.0
2016-05-01,518.199,3982.0,3982.0
2016-06-01,788.351,6059.0,6059.0
2016-07-01,929.872,7146.0,7146.0
2016-08-01,1028.473,7904.0,7904.0
2016-09-01,851.415,6544.0,6544.0
2016-10-01,839.859,6454.0,6454.0
2016-11-01,645.78,4963.0,4963.0
2016-12-01,731.277,5620.0,5620.0
2017-01-01,760.812,5574.0,5574.0
2017-02-01,580.711,4255.0,4255.0
2017-03-01,480.908,3524.0,3524.0
2017-04-01,429.596,3148.0,3148.0
2017-05-01,532.954,3905.0,3905.0
2017-06-01,701.182,5138.0,5138.0
2017-07-01,956.182,7006.0,7006.0
2017-08-01,1079.396,7909.0,7909.0
2017-09-01,888.141,6508.0,6508.0
2017-10-01,841.129,6164.0,6164.0
2017-11-01,731.006,5356.0,5356.0
2017-12-01,774.983,5678.0,5678.0
2018-01-01,674.187,5933.0,5933.0
2018-02-01,591.95,5207.0,5207.0
2018-03-01,615.65,5416.0,5416.0
2018-04-01,463.328,4076.0,4076.0
2018-05-01,422.953,3721.0,3721.0
2018-06-01,578.582,5091.0,5091.0
2018-07-01,1009.623,8883.0,8883.0
2018-08-01,933.991,8218.0,8218.0
2018-09-01,751.678,6613.0,6613.0
2018-10-01,840.204,7392.0,7392.0
2018-11-01,751.11,6608.0,6608.0
2018-12-01,756.744,6658.0,6658.0
2019-01-01,756.419,6771.0,6771.0
2019-02-01,701.362,6279.0,6279.0
2019-03-01,611.622,5475.0,5475.0
2019-04-01,429.173,3842.0,3842.0
2019-05-01,369.825,3311.0,3311.0
2019-06-01,494.522,4426.0,4426.0
2019-07-01,779.567,6979.0,6979.0
2019-08-01,915.694,8197.0,8197.0
2019-09-01,805.743,7212.0,7212.0
2019-10-01,825.255,7387.0,7387.0
2019-11-01,809.359,7245.0,7245.0
2019-12-01,839.459,7514.0,7514.0
2020-01-01,390.126,3092.0,3092.0
2020-02-01,344.519,2730.0,2730.0
2020-03-01,382.439,3030.0,3030.0
2020-04-01,270.461,2143.0,2143.0
2020-05-01,254.306,2015.0,2015.0
2020-06-01,357.735,2835.0,2835.0
2020-07-01,500.434,3965.0,3965.0
2020-08-01,622.325,4931.0,4931.0
2020-09-01,541.948,4294.0,4294.0
2020-10-01,562.826,4459.0,4459.0
2020-11-01,449.566,3562.0,3562.0
2020-12-01,498.315,3948.0,3948.0
2022-01-01,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0
2022-03-01,0.0,0.0,0.0
2022-04-01,0.0,0.0,0.0
2022-05-01,0.0,0.0,0.0
2022-06-01,0.0,0.0,0.0
2022-07-01,0.0,0.0,0.0
2022-08-01,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0
2022-10-01,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0
2023-01-01,0.0,0.0,0.0
2023-02-01,0.0,0.0,0.0
2023-03-01,0.0,0.0,0.0
2023-04-01,0.0,0.0,0.0
2023-05-01,0.0,0.0,0.0
2023-06-01,0.0,0.0,0.0
2023-07-01,0.0,0.0,0.0
2023-08-01,0.0,0.0,0.0
2023-09-01,0.0,0.0,0.0
2023-10-01,0.0,0.0,0.0
2023-11-01,0.0,0.0,0.0
2023-12-01,0.0,0.0,0.0
