measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,98687.0,1095295.0,1095295.0,0.0,0.0,0.0
2003-02-01,4919.0,49190.0,49190.0,,,,82389.0,826496.0,826496.0,0.0,0.0,0.0
2003-03-01,9355.0,110403.0,110403.0,,,,18575.0,221201.0,221201.0,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,,,,97744.0,1047938.0,1047938.0,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,,,,105272.0,1193065.0,1193065.0,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,89138.0,1071850.0,1071850.0,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,108903.0,1134361.0,1134361.0,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,112089.0,1247477.0,1247477.0,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,102995.0,1143976.0,1143976.0,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,99788.0,1054751.0,1054751.0,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,,,,67682.0,792727.0,792727.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,,,,53770.0,580500.0,580500.0,0.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,,,,69413.0,836466.0,836466.0,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,,,,67853.0,783768.0,783768.0,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,77530.0,919757.0,919757.0,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,,,,51505.0,576819.0,576819.0,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,,,,71405.0,831776.0,831776.0,0.0,0.0,0.0
2004-06-01,0.0,0.0,0.0,,,,98337.0,1101585.0,1101585.0,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,,,,127373.0,1470064.0,1470064.0,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,,,,124757.0,1485816.0,1485816.0,0.0,0.0,0.0
2004-09-01,0.0,0.0,0.0,,,,97086.0,1179948.0,1179948.0,0.0,0.0,0.0
2004-10-01,0.0,0.0,0.0,,,,84239.0,930872.0,930872.0,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,,,,1779.0,17978.0,17978.0,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,,,,6212.0,91959.0,91959.0,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,,,,44982.0,540477.44,540477.44,,,
2005-02-01,0.0,0.0,0.0,,,,65019.0,765827.59,765827.59,,,
2005-03-01,0.0,0.0,0.0,,,,80666.0,910993.16,910993.16,,,
2005-04-01,0.0,0.0,0.0,,,,70962.0,804396.07,804396.07,,,
2005-05-01,0.0,0.0,0.0,,,,84744.0,978331.5,978331.5,,,
2005-06-01,0.0,0.0,0.0,,,,87453.0,975868.61,975868.61,,,
2005-07-01,0.0,0.0,0.0,,,,96222.0,1094910.6,1094910.6,,,
