measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Biomass Gas Generation,Other Biomass Gas Quantity Consumed For Electricity,Other Biomass Gas Total Fuel Consumed
2015-03-01,,,,23.806,246.0,246.0,300.301,3091.0,3091.0
2015-04-01,,,,22.844,235.0,235.0,265.173,2729.0,2729.0
2015-05-01,,,,22.302,230.0,230.0,289.626,2981.0,2981.0
2015-06-01,,,,31.36,322.0,322.0,325.511,3351.0,3351.0
2015-07-01,,,,35.37,364.0,364.0,331.753,3415.0,3415.0
2015-08-01,,,,37.309,384.0,384.0,319.569,3289.0,3289.0
2015-09-01,,,,37.052,381.0,381.0,312.776,3220.0,3220.0
2015-10-01,,,,35.692,368.0,368.0,301.137,3100.0,3100.0
2015-11-01,,,,26.316,271.0,271.0,279.055,2872.0,2872.0
2015-12-01,,,,28.149,289.0,289.0,317.899,3272.0,3272.0
2016-01-01,,,,0.0,0.0,0.0,463.539,6.0,6.0
2016-02-01,,,,0.0,0.0,0.0,438.454,5.0,5.0
2016-03-01,,,,0.0,0.0,0.0,403.602,5.0,5.0
2016-04-01,,,,0.0,0.0,0.0,398.882,5.0,5.0
2016-05-01,,,,0.0,0.0,0.0,467.665,5.0,5.0
2016-06-01,,,,0.0,0.0,0.0,461.32,5.0,5.0
2016-07-01,,,,0.0,0.0,0.0,445.5,5.0,5.0
2016-08-01,,,,0.0,0.0,0.0,430.978,5.0,5.0
2016-09-01,,,,0.0,0.0,0.0,455.269,5.0,5.0
2016-10-01,,,,0.0,0.0,0.0,443.249,5.0,5.0
2016-11-01,,,,0.0,0.0,0.0,452.211,5.0,5.0
2016-12-01,,,,614.703,7.0,7.0,448.628,5.0,5.0
2017-01-01,,,,63.286,366.0,676.0,573.47,3312.0,6119.0
2017-02-01,,,,48.306,279.0,516.0,518.789,2996.0,5537.0
2017-03-01,,,,40.004,231.0,427.0,580.957,3355.0,6201.0
2017-04-01,,,,35.735,206.0,381.0,522.222,3016.0,5574.0
2017-05-01,,,,44.333,256.0,473.0,569.176,3287.0,6075.0
2017-06-01,,,,58.327,337.0,622.0,582.511,3364.0,6217.0
2017-07-01,,,,79.539,459.0,849.0,577.578,3336.0,6165.0
2017-08-01,,,,89.788,519.0,958.0,579.364,3346.0,6183.0
2017-09-01,,,,73.879,427.0,789.0,543.293,3138.0,5798.0
2017-10-01,,,,69.968,404.0,747.0,458.38,2647.0,4892.0
2017-11-01,,,,60.808,351.0,649.0,547.202,3160.0,5840.0
2017-12-01,,,,64.466,372.0,688.0,602.619,3480.0,6432.0
2018-01-01,,,,41.62,240.0,495.0,598.272,3457.0,7146.0
2018-02-01,,,,36.544,211.0,437.0,559.102,3231.0,6679.0
2018-03-01,,,,38.007,220.0,454.0,555.216,3208.0,6632.0
2018-04-01,,,,28.603,165.0,342.0,527.411,3047.0,6300.0
2018-05-01,,,,26.111,151.0,312.0,539.516,3117.0,6445.0
2018-06-01,,,,35.719,206.0,426.0,540.135,3121.0,6452.0
2018-07-01,,,,62.329,360.0,745.0,579.795,3350.0,6926.0
2018-08-01,,,,57.66,333.0,689.0,604.191,3491.0,7217.0
2018-09-01,,,,46.404,268.0,554.0,584.015,3375.0,6976.0
2018-10-01,,,,51.87,300.0,620.0,588.551,3401.0,7031.0
2018-11-01,,,,46.369,268.0,554.0,577.076,3334.0,6894.0
2018-12-01,,,,46.717,270.0,558.0,613.767,3546.0,7332.0
2019-01-01,,,,39.504,229.0,503.0,517.573,2995.0,6584.0
2019-02-01,,,,36.626,212.0,466.0,473.584,2740.0,6025.0
2019-03-01,,,,31.94,185.0,406.0,524.706,3036.0,6675.0
2019-04-01,,,,22.412,130.0,285.0,486.789,2816.0,6193.0
2019-05-01,,,,19.313,112.0,246.0,452.902,2620.0,5761.0
2019-06-01,,,,25.825,149.0,329.0,460.112,2662.0,5854.0
2019-07-01,,,,40.71,236.0,518.0,507.706,2937.0,6459.0
2019-08-01,,,,47.819,277.0,609.0,529.671,3065.0,6738.0
2019-09-01,,,,42.077,243.0,536.0,487.639,2821.0,6203.0
2019-10-01,,,,43.096,249.0,548.0,434.166,2512.0,5523.0
2019-11-01,,,,42.266,245.0,538.0,472.195,2732.0,6007.0
2019-12-01,,,,43.838,254.0,557.0,509.531,2948.0,6482.0
2020-01-01,,,,27.614,159.0,336.0,511.14,2946.0,6231.0
2020-02-01,,,,24.386,141.0,298.0,459.779,2650.0,5606.0
2020-03-01,,,,27.07,156.0,330.0,484.472,2793.0,5907.0
2020-04-01,,,,19.144,110.0,234.0,453.422,2614.0,5528.0
2020-05-01,,,,18.0,104.0,219.0,481.66,2776.0,5873.0
2020-06-01,,,,25.321,146.0,309.0,443.935,2559.0,5413.0
2020-07-01,,,,35.422,204.0,432.0,498.592,2874.0,6079.0
2020-08-01,,,,44.049,254.0,537.0,476.033,2744.0,5804.0
2020-09-01,,,,38.36,221.0,468.0,472.17,2722.0,5757.0
2020-10-01,,,,39.838,230.0,486.0,454.42,2619.0,5541.0
2020-11-01,11.891,0.0,0.0,31.821,183.0,388.0,457.483,2637.0,5578.0
2020-12-01,11.109,0.0,0.0,35.272,203.0,431.0,408.597,2355.0,4982.0
2021-01-01,0.0,0.0,0.0,63.123,365.0,775.0,551.054,3186.0,6770.0
2021-02-01,0.0,0.0,0.0,53.531,310.0,658.0,511.821,2959.0,6288.0
2021-03-01,0.0,0.0,0.0,57.556,333.0,708.0,571.59,3305.0,7023.0
2021-04-01,0.0,0.0,0.0,51.072,295.0,627.0,474.274,2742.0,5827.0
2021-05-01,0.0,0.0,0.0,53.377,309.0,656.0,513.362,2968.0,6307.0
2021-06-01,0.0,0.0,0.0,72.99,422.0,897.0,527.469,3050.0,6481.0
2021-07-01,0.0,0.0,0.0,100.724,582.0,1237.0,512.589,2964.0,6297.0
2021-08-01,0.0,0.0,0.0,91.965,532.0,1130.0,509.304,2945.0,6258.0
2021-09-01,0.0,0.0,0.0,78.251,452.0,961.0,516.872,2989.0,6350.0
2021-10-01,0.0,0.0,0.0,74.597,431.0,917.0,506.354,2928.0,6221.0
2021-11-01,0.0,0.0,0.0,68.559,396.0,843.0,498.887,2885.0,6129.0
2021-12-01,0.0,0.0,0.0,70.762,409.0,869.0,499.917,2890.0,6142.0
2022-01-01,0.0,0.0,0.0,51.787,298.0,625.0,575.091,3314.0,6949.0
2022-02-01,0.0,0.0,0.0,42.997,248.0,519.0,509.295,2935.0,6154.0
2022-03-01,0.0,0.0,0.0,39.783,229.0,481.0,549.518,3167.0,6640.0
2022-04-01,0.0,0.0,0.0,40.751,235.0,492.0,427.671,2465.0,5168.0
2022-05-01,0.0,0.0,0.0,37.396,216.0,452.0,441.455,2544.0,5334.0
2022-06-01,0.0,0.0,0.0,50.861,293.0,615.0,490.279,2825.0,5924.0
2022-07-01,0.0,0.0,0.0,67.946,392.0,821.0,527.137,3038.0,6369.0
2022-08-01,0.0,0.0,0.0,81.986,472.0,991.0,554.535,3196.0,6700.0
2022-09-01,0.0,0.0,0.0,75.14,433.0,907.0,537.524,3098.0,6495.0
2022-10-01,0.0,0.0,0.0,69.004,398.0,834.0,541.088,3118.0,6538.0
2022-11-01,0.0,0.0,0.0,63.368,365.0,765.0,459.487,2648.0,5552.0
2022-12-01,0.0,0.0,0.0,70.042,404.0,847.0,523.859,3019.0,6330.0
2023-01-01,0.0,0.0,0.0,18.902,109.0,237.0,346.506,2006.0,4351.0
2023-02-01,0.0,0.0,0.0,16.102,93.0,202.0,336.511,1948.0,4225.0
2023-03-01,0.0,0.0,0.0,15.476,90.0,195.0,355.543,2058.0,4464.0
2023-04-01,0.0,0.0,0.0,12.09,70.0,151.0,338.918,1962.0,4255.0
2023-05-01,0.0,0.0,0.0,7.831,45.0,98.0,415.943,2408.0,5222.0
2023-06-01,0.0,0.0,0.0,10.301,60.0,130.0,371.854,2153.0,4668.0
2023-07-01,0.0,0.0,0.0,23.846,138.0,300.0,388.157,2247.0,4873.0
2023-08-01,0.0,0.0,0.0,24.061,139.0,302.0,416.825,2413.0,5233.0
2023-09-01,0.0,0.0,0.0,17.031,99.0,214.0,388.427,2248.0,4877.0
2023-10-01,0.0,0.0,0.0,20.798,120.0,262.0,366.137,2119.0,4597.0
2023-11-01,0.0,0.0,0.0,19.537,113.0,245.0,372.244,2155.0,4674.0
2023-12-01,0.0,0.0,0.0,21.996,127.0,276.0,419.964,2431.0,5272.0
2024-01-01,0.0,0.0,0.0,228.789,1310.0,3278.0,433.798,2484.0,6216.0
2024-02-01,0.0,0.0,0.0,155.192,889.0,2224.0,377.572,2162.0,5410.0
2024-03-01,0.0,0.0,0.0,111.082,636.0,1591.0,452.823,2593.0,6488.0
2024-04-01,0.0,0.0,0.0,94.56,541.0,1354.0,371.051,2125.0,5316.0
2024-05-01,0.0,0.0,0.0,85.081,487.0,1220.0,437.991,2508.0,6275.0
2024-06-01,0.0,0.0,0.0,130.895,749.0,1876.0,408.672,2340.0,5855.0
2024-07-01,0.0,0.0,0.0,251.476,1440.0,3603.0,423.594,2425.0,6070.0
2024-08-01,0.0,0.0,0.0,218.433,1251.0,3130.0,428.082,2451.0,6134.0
2024-09-01,0.0,0.0,0.0,192.399,1102.0,2756.0,410.464,2350.0,5881.0
2024-10-01,0.0,0.0,0.0,201.576,1154.0,2888.0,397.214,2274.0,5691.0
2024-11-01,0.0,0.0,0.0,162.322,929.0,2326.0,423.637,2426.0,6070.0
2024-12-01,0.0,0.0,0.0,178.147,1020.0,2552.0,443.15,2537.0,6349.0
