measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,1262357.0,12371704.0,12371704.0,2360.0,24374.0,24374.0
2003-02-01,1079349.361,11364587.0,11364587.0,1844.352,19419.0,19419.0
2003-03-01,1194222.0,11901480.0,11901480.0,694.0,6918.0,6918.0
2003-04-01,905784.0,8838240.0,8838240.0,723.0,7057.0,7057.0
2003-05-01,934680.0,9180562.0,9180562.0,1652.0,16230.0,16230.0
2003-06-01,1164449.0,11541226.0,11541226.0,1833.0,18167.0,18167.0
2003-07-01,1354582.0,13407373.0,13407373.0,475.0,4703.0,4703.0
2003-08-01,1338803.0,13331902.0,13331902.0,807.0,8040.0,8040.0
2003-09-01,1335708.0,13291877.0,13291877.0,440.0,4380.0,4380.0
2003-10-01,1155222.0,11431103.0,11431103.0,2216.0,21927.0,21927.0
2003-11-01,1212068.0,11759711.0,11759711.0,2058.0,19965.0,19965.0
2003-12-01,1327102.0,12891452.0,12891452.0,1647.0,16000.0,16000.0
2004-01-01,1286102.0,12664258.0,12664258.0,2239.0,21807.0,21807.0
2004-02-01,846959.0,8515765.0,8515765.0,2306.0,23188.0,23188.0
2004-03-01,865729.0,8368604.0,8368604.0,905.0,8751.0,8751.0
2004-04-01,918868.0,9097102.0,9097102.0,2274.0,22513.0,22513.0
