measured_on,"Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Municipal Solid Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,661.70225,8626.2,26827.9,541.39275,7057.8,21950.1,34.698,453.0,1409.0
2003-02-01,562.2925,7329.85,22797.5,460.0575,5997.15,18652.5,29.485,385.0,1197.0
2003-03-01,621.33555,8099.85,25191.1,508.36545,6627.15,20610.9,32.581,425.0,1323.0
2003-04-01,538.90485,7025.15,21849.3,440.92215,5747.85,17876.7,28.259,369.0,1147.0
2003-05-01,484.935,6321.7,19660.85,396.765,5172.3,16086.15,25.429000000000002,332.0,1032.0
2003-06-01,579.91395,7559.75,23511.95,474.47505,6185.25,19237.05,30.409000000000002,397.0,1234.0
2003-07-01,701.15705,9140.45,28427.3,573.67395,7478.55,23258.7,36.767,480.0,1493.0
2003-08-01,661.2067000000001,8619.6,26807.55,540.9873,7052.4,21933.45,34.672000000000004,453.0,1408.0
2003-09-01,614.4875,8010.2,24913.35,502.7625,6553.8,20383.65,32.222,421.0,1308.0
2003-10-01,600.91185,7833.65,24362.8,491.65515,6409.35,19933.2,31.51,411.0,1279.0
2003-11-01,572.7491,7466.25,23221.0,468.6129,6108.75,18999.0,30.033,392.0,1219.0
2003-12-01,647.20425,8437.0,26239.95,529.53075,6903.0,21469.05,33.937000000000005,443.0,1378.0
2004-01-01,358.71512,2004.34,14526.61,293.49022,1639.89,11885.25,54.14666,302.55,2192.74
2004-02-01,314.7115,1758.47,12746.67,257.48268,1438.7,10428.75,27.25782,152.3,1104.02
2004-03-01,407.69354,2278.01,16514.47,333.55748,1863.77,13511.44,18.72798,104.64,758.62
2004-04-01,551.06935,3079.13,22322.24,450.86509,2519.23,18263.25,25.21556,140.89,1021.41
2004-05-01,675.75851,3775.84,27370.12,552.87834,3089.24,22393.13,58.290139999999994,325.7,2360.91
2004-06-01,662.44569,3701.45,26832.99,541.98992,3028.4,21953.81,37.71739,210.75,1527.78
2004-07-01,702.95167,3927.78,28474.48,575.13168,3213.58,23296.88,33.48165,187.08,1356.24
2004-08-01,689.49623,3852.59,27927.94,564.12219,3152.06,22849.69,46.14559,257.84,1869.12
2004-09-01,697.22755,3895.79,28241.09,570.4457199999999,3187.39,23105.81,46.80473,261.52,1895.82
2004-10-01,597.0598,3336.1,24186.71,488.49428,2729.49,19788.75,14.16992,79.18,574.02
2004-11-01,522.98147,2922.19,21184.58,427.88557,2390.83,17332.5,23.10597,129.11,935.96
