measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,50775.0,668287.0,992688.0,286.0,3768.0,5597.0
2003-02-01,155311.0,1601914.0,1904333.0,42.0,430.0,511.0
2003-03-01,174335.0,1805418.0,2084240.0,298.0,3090.0,3567.0
2003-04-01,140501.0,1548314.0,1781805.0,201.0,2217.0,2551.0
2003-05-01,122806.0,1403337.0,1614485.0,291.0,3323.0,3823.0
2003-06-01,143655.0,1574508.0,1752931.0,209.0,2291.0,2551.0
2003-07-01,159565.0,1705497.0,1873247.0,326.0,3480.0,3823.0
2003-08-01,169997.0,1874452.0,2041433.0,250.0,2754.0,2999.0
2003-09-01,159569.0,1802463.0,1951924.0,125.0,1409.0,1525.0
2003-10-01,147257.0,1654289.0,1845243.0,204.0,2294.0,2559.0
2003-11-01,128914.0,1260478.0,1471638.0,178.0,1743.0,2036.0
2003-12-01,183090.0,2002745.0,2002745.0,326.0,3567.0,3567.0
2004-01-01,162670.6502,1532123.72,2061997.49,40.3348,379.9,511.28
2004-02-01,145884.88296,1374025.92,2075349.85,214.82304,2023.32,3056.06
2004-03-01,155572.86631,1465272.8,2036769.68,675.43369,6361.61,8842.82
2004-04-01,138105.71139,1300757.3,1776422.46,825.23961,7772.57,10614.87
2004-05-01,144199.50731,1358152.1,1752398.69,377.21069,3552.78,4584.09
2004-06-01,153378.72727,1444607.16,1869417.98,167.31772999999998,1575.89,2039.31
2004-07-01,169704.03066,1598368.05,2096906.55,62.067339999999994,584.59,766.92
2004-08-01,155277.06667,1462486.79,1990938.88,178.53433,1681.54,2289.14
2004-09-01,150282.4964,1415445.12,1921668.9,238.9966,2251.0,3056.06
2004-10-01,145483.42917,1370244.8,1865824.53,311.67883,2935.57,3997.28
2004-11-01,150387.38247,1416432.99,1892477.8,162.05553,1526.33,2039.31
2004-12-01,68943.09961,649344.9,1202538.7,219.17639,2064.33,3822.98
2005-01-01,160250.62057,1509330.51,2126778.12,192.18443,1810.1,2550.59
2005-02-01,142089.05555,1338274.67,1880257.24,327.53544999999997,3084.91,4334.26
2005-03-01,168602.70264,1587995.13,2153199.96,99.63235999999999,938.39,1272.39
2005-04-01,152677.08296,1437998.68,2011355.64,251.38304,2367.67,3311.7
2005-05-01,102049.94595,961163.82,1539228.0,202.61505,1908.34,3056.06
2005-06-01,153772.92531,1448319.94,1876806.0,83.30569,784.62,1016.75
2005-07-01,161902.48923,1524888.75,1939175.89,127.57577,1201.58,1528.03
2005-08-01,169889.98531,1600119.47,2107234.14,81.97269,772.06,1016.75
2005-09-01,126310.90656,1189667.2,1652026.25,409.12844,3853.4,5351.01
2005-10-01,167111.22709,1573947.58,2214523.74,57.87291,545.08,766.92
2005-11-01,138359.64728,1303149.02,1921056.75,232.24072,2187.37,3224.55
2005-12-01,160116.28709,1508065.29,2112532.74,96.43890999999999,908.32,1272.39
2006-01-01,184848.76653,1741009.7,2106452.16,156.52347,1474.23,1783.67
2006-02-01,156617.30373,1475109.89,1800004.86,377.12127,3551.94,4334.26
2006-03-01,139885.38445,1317519.27,1613718.68,66.48055,626.15,766.92
2006-04-01,172114.53016,1621071.49,1874462.52,351.02884,3306.19,3822.98
2006-05-01,190541.95498,1794631.35,2029110.82,239.51102,2255.85,2550.59
2006-06-01,160962.15962,1516032.19,1781344.68,391.64338,3688.72,4334.26
2006-07-01,180420.62874,1699303.0,1959782.73,492.62226,4639.79,5351.01
2006-08-01,192139.95012,1809682.17,2038516.7,72.28587999999999,680.83,766.92
2006-09-01,151939.05296,1431047.49,1633264.05,361.58904,3405.65,3886.89
2006-10-01,117927.80681,1110710.44,1397671.65,193.63519,1823.77,2294.95
2006-11-01,97305.69387,916479.78,1243666.2,618.2291299999999,5822.83,7901.6
2006-12-01,150796.162,1420283.1,1700594.06,180.83100000000002,1703.17,2039.31
2007-01-01,156472.932,1473756.0,1785098.0,156.348,1470.0,1784.0
2007-02-01,166037.355,1563840.0,1899055.0,72.641,686.0,831.0
2007-03-01,175917.891,1656901.0,2096544.0,214.01600000000002,2016.0,2551.0
2007-04-01,167312.34100000001,1575851.0,1915272.0,200.48,1888.0,2295.0
2007-05-01,164074.8,1545361.0,1805914.0,347.334,3271.0,3823.0
2007-06-01,176530.112,1662670.0,1993571.0,113.18400000000001,1063.0,1278.0
2007-07-01,186556.414,1757083.0,2056347.0,46.384,436.0,511.0
2007-08-01,190577.885,1794962.0,2130084.0,22.872,215.0,256.0
2007-09-01,170308.074,1604050.0,1847110.0,211.6,1993.0,2295.0
2007-10-01,145431.079,1369742.0,1666449.0,89.239,842.0,1023.0
2007-11-01,114456.695,1078018.0,1380067.0,633.676,5971.0,7641.0
2007-12-01,183566.182,1728942.0,2066285.0,78.2,734.0,880.0
2008-01-01,173736.917,1689285.0,2088858.0,191.083,1858.0,2297.0
2008-02-01,167752.229,1630345.0,2004686.0,148.77100000000002,1446.0,1778.0
2008-03-01,171211.912,1661330.0,1886080.0,255.08800000000002,2475.0,2810.0
2008-04-01,93203.841,929971.0,1195093.0,239.15900000000002,2386.0,3067.0
2008-05-01,135233.541,1339187.0,1604967.0,366.459,3629.0,4349.0
2008-06-01,177206.929,1721033.0,1984827.0,27.071,263.0,303.0
2008-07-01,180251.053,1751005.0,2057797.0,44.947,437.0,513.0
2008-08-01,178098.578,1728829.0,2022996.0,112.42200000000001,1091.0,1277.0
2008-09-01,177049.535,1714637.0,2028362.0,111.465,1079.0,1277.0
2008-10-01,175079.39,1698135.0,2016209.0,88.61,859.0,1020.0
2008-11-01,154895.197,1507655.0,1876343.0,287.803,2801.0,3486.0
2008-12-01,168448.623,1638725.0,2081682.0,186.377,1813.0,2303.0
