measured_on,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Bituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Generation,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Subbituminous Coal-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,-55.0,0.0,0.0,1805.0,18647.0,18647.0,,,,539293.0,5570836.0,5570836.0
2003-02-01,,,,,,,-39.0,0.0,0.0,1022.0,10225.0,10225.0,,,,518620.0,5196293.0,5196293.0
2003-03-01,,,,,,,-30.0,0.0,0.0,1414.0,14135.0,14135.0,,,,620422.0,6159296.0,6159296.0
2003-04-01,,,,,,,-21.0,0.0,0.0,1093.0,10927.0,10927.0,,,,535267.0,5436960.0,5436960.0
2003-05-01,,,,,,,-12.0,0.0,0.0,2793.0,27975.0,27975.0,,,,358407.0,3936121.0,3936121.0
2003-06-01,,,,,,,-7.0,0.0,0.0,1629.0,16292.0,16292.0,,,,409853.0,4037980.0,4037980.0
2003-07-01,,,,,,,,,,1924.0,19244.0,19244.0,,,,509352.0,4982780.0,4982780.0
2003-08-01,,,,,,,1152.0,17214.0,17214.0,2478.0,24783.0,24783.0,,,,573257.0,5170700.0,5170700.0
2003-09-01,,,,,,,-20.0,0.0,0.0,1410.0,14100.0,14100.0,,,,571581.0,5791660.0,5791660.0
2003-10-01,,,,,,,-19.0,0.0,0.0,1399.0,13995.0,13995.0,,,,647564.0,6136220.0,6136220.0
2003-11-01,,,,,,,-23.0,0.0,0.0,1044.0,10446.0,10446.0,,,,599973.0,5699600.0,5699600.0
2003-12-01,,,,,,,-53.0,0.0,0.0,589.0,5887.0,5887.0,,,,318273.0,3156620.0,3156620.0
2004-01-01,,,,,,,-18.0,1021.0,1021.0,840.0,8398.0,8398.0,,,,271298.0,3121705.0,3121705.0
2004-02-01,,,,,,,-23.0,412.0,412.0,2105.0,21048.0,21048.0,,,,250635.0,2658280.0,2658280.0
2004-03-01,,,,,,,-26.0,412.0,412.0,1445.0,14448.0,14448.0,,,,556130.0,5493390.0,5493390.0
2004-04-01,,,,,,,-21.0,412.0,412.0,1400.0,14001.0,14001.0,,,,496209.0,5029484.0,5029484.0
2004-05-01,,,,,,,-28.0,0.0,0.0,2593.0,25977.0,25977.0,,,,518303.0,5331588.0,5331588.0
2004-06-01,,,,,,,4.0,109.0,109.0,1365.0,13518.0,13518.0,,,,589753.0,5968639.0,5968639.0
2004-07-01,,,,,,,-12.0,407.0,407.0,946.0,9302.0,9302.0,,,,599187.0,6248005.0,6248005.0
2004-08-01,,,,,,,-22.0,166.0,166.0,991.0,9795.0,9795.0,,,,591333.0,6151027.0,6151027.0
2004-09-01,,,,,,,5.0,401.0,401.0,1183.0,11694.0,11694.0,,,,559388.0,5784940.0,5784940.0
2004-10-01,,,,,,,-6.0,97.0,97.0,1403.0,13863.0,13863.0,,,,637494.0,6466054.0,6466054.0
2004-11-01,,,,,,,-36.0,0.0,0.0,1329.0,13135.0,13135.0,,,,557215.0,5572724.0,5572724.0
2004-12-01,,,,,,,-33.0,9300.0,9300.0,1482.0,14659.0,14659.0,,,,658208.0,6511208.0,6511208.0
