measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2004-12-01,4636.99141,26444.73,200213.2,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,538.09659,3068.76,23233.61
2005-01-01,4054.24841,23121.36,188114.93,5747.62,57470.45,57470.45,0.0,0.0,0.0,0.0,0.0,0.0,351.75359,2006.05,16321.18
2005-02-01,3704.05488,21124.21,170799.67,5016.457,50159.56,50159.56,0.0,0.0,0.0,0.0,0.0,0.0,328.48612,1873.35,15147.0
2005-03-01,3980.27262,22699.47,183086.24,4865.749,48652.63,48652.63,0.0,0.0,0.0,0.0,0.0,0.0,356.01938,2030.38,16376.33
2005-04-01,3316.76027,18915.47,150621.98,5254.751,52542.25,52542.25,0.0,0.0,0.0,0.0,0.0,0.0,310.04673,1768.19,14079.96
2005-05-01,3304.68856,18846.62,143094.82,6148.541,61479.26,61479.26,0.0,0.0,0.0,0.0,0.0,0.0,360.86343999999997,2058.0,15625.58
2005-06-01,3897.64652,22228.26,183417.38,5661.646000000001,56610.8,56610.8,0.0,0.0,0.0,0.0,0.0,0.0,321.46748,1833.33,15127.78
2005-07-01,4339.85486,24750.17,204640.14,5276.3060000000005,52757.78,52757.78,0.0,0.0,0.0,0.0,0.0,0.0,355.30714,2026.31,16754.04
2005-08-01,4344.79337,24778.33,202693.11,3706.8320000000003,37064.61,37064.61,0.0,0.0,0.0,0.0,0.0,0.0,369.74963,2108.68,17249.54
2005-09-01,3962.99677,22600.94,182595.05,3158.107,31577.91,31577.91,0.0,0.0,0.0,0.0,0.0,0.0,352.42422999999997,2009.87,16237.94
2005-10-01,3730.11369,21272.82,170992.27,3668.876,36685.09,36685.09,0.0,0.0,0.0,0.0,0.0,0.0,337.63531,1925.53,15477.55
2005-11-01,3702.25337,21113.93,167920.83,3849.64,38492.55,38492.55,0.0,0.0,0.0,0.0,0.0,0.0,347.53562999999997,1981.99,15762.96
2005-12-01,4190.15817,23896.45,193693.72,4524.936000000001,45244.83,45244.83,0.0,0.0,0.0,0.0,0.0,0.0,368.38383,2100.89,17028.86
2006-01-01,4291.67161,24475.38,182688.12,6652.963000000001,65991.0,65991.0,,,,,,,436.98739,2492.14,18601.7
2006-02-01,4036.16897,23018.25,171767.8,5270.269,52276.0,52276.0,,,,,,,396.81503,2263.03,16887.31
2006-03-01,3938.30868,22460.16,167734.14,4027.693,39951.0,39951.0,,,,,,,429.44832,2449.14,18290.38
2006-04-01,3944.45477,22495.2,167893.93,3524.435,34959.0,34959.0,,,,,,,397.17223,2265.07,16905.46
2006-05-01,4149.95374,23667.16,176573.75,3465.4930000000004,34374.0,34374.0,,,,,,,396.37226,2260.51,16864.99
2006-06-01,4246.02334,24215.05,180630.54,3397.5260000000003,33700.0,33700.0,,,,,,,395.76966,2257.07,16836.48
2006-07-01,4458.17099,25424.92,189685.89,4035.9640000000004,40033.0,40033.0,,,,,,,425.21001,2424.97,18091.8
2006-08-01,4454.36318,25403.21,189602.77,3316.7630000000004,32899.0,32899.0,,,,,,,450.07582,2566.78,19157.76
2006-09-01,4021.68665,22935.65,171231.41,3693.282,36634.0,36634.0,,,,,,,421.05535,2401.28,17927.28
2006-10-01,3935.6537000000003,22445.01,167645.37,5085.147,50440.0,50440.0,,,,,,,437.0633,2492.57,18617.4
2006-11-01,3991.19609,22761.78,169963.08,6643.184,65894.0,65894.0,,,,,,,427.52291,2438.16,18205.85
2006-12-01,4254.94528,24265.93,181155.9,4973.953,49337.0,49337.0,,,,,,,443.26072,2527.91,18871.99
2007-01-01,4317.311000000001,23632.0,175563.0,4564.232,45113.0,45113.0,,,,,,,545.6890000000001,2988.0,22190.0
2007-02-01,4636.678,25384.0,180533.0,3880.6440000000002,38356.0,38356.0,,,,,,,523.322,2866.0,20376.0
2007-03-01,4695.298,25705.0,171883.0,4739.4130000000005,46844.0,46844.0,,,,,,,657.702,3600.0,24077.0
2007-04-01,3875.7580000000003,21221.0,150157.0,5049.7880000000005,49912.0,49912.0,,,,,,,393.242,2153.0,15235.0
2007-05-01,4019.929,22006.0,154810.0,4756.55,47014.0,47014.0,,,,,,,366.071,2002.0,14098.0
2007-06-01,3996.1890000000003,21897.0,126756.0,4032.976,39862.0,39862.0,,,,,,,371.81100000000004,2038.0,11794.0
2007-07-01,4540.463000000001,24856.0,152337.0,3117.083,30809.0,30809.0,,,,,,,269.53700000000003,1476.0,9043.0
2007-08-01,4141.534000000001,22673.0,143676.0,3096.137,30602.0,30602.0,,,,,,,425.466,2333.0,14760.0
2007-09-01,3536.701,19358.0,134504.0,2595.347,25652.0,25652.0,,,,,,,239.299,1310.0,9101.0
2007-10-01,4302.115,23556.0,151134.0,4459.504,44078.0,44078.0,,,,,,,582.885,3190.0,20477.0
2007-11-01,4688.939,25689.0,164809.0,3248.469,32108.0,32108.0,,,,,,,662.061,3629.0,23270.0
2007-12-01,3986.675,21829.0,170157.0,3518.857,34780.0,34780.0,,,,,,,471.325,2585.0,20117.0
2008-01-01,4383.475,24006.0,177815.0,3569.906,35178.0,35178.0,,,,,,,448.52500000000003,2456.0,18194.0
2008-02-01,4286.696,23476.0,174702.0,1724.362,16992.0,16992.0,,,,,,,429.30400000000003,2351.0,17496.0
2008-03-01,4802.962,26304.0,188051.0,865.681,8530.0,8530.0,,,,,,,406.038,2224.0,15898.0
2008-04-01,4327.012000000001,23697.0,163410.0,2843.438,28019.0,28019.0,,,,,,,399.988,2191.0,15106.0
2008-05-01,4134.531,22643.0,157618.0,2805.275,27643.0,27643.0,,,,,,,341.469,1870.0,13018.0
2008-06-01,3892.0660000000003,21315.0,128751.0,3581.757,35295.0,35295.0,,,,,,,235.934,1292.0,7805.0
2008-07-01,825.0,4518.0,30524.0,4239.869000000001,41780.0,41780.0,,,,,,,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,3261.795,32142.0,32142.0,,,,,,,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,2548.049,25108.0,25108.0,,,,,,,0.0,0.0,0.0
2008-10-01,0.0,0.0,10915.0,2371.745,23371.0,23371.0,,,,,,,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,3600.5570000000002,35480.0,35480.0,,,,,,,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,3227.5660000000003,31804.0,31804.0,,,,,,,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
