measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,5424.0,68711.0,208986.0,4681.0,47938.12,47938.12,0.0,0.0,0.0,0.0,0.0,0.0,477.0,6046.0,18389.0
2003-02-01,4129.0,51410.0,183089.0,4750.0,48644.75,48644.75,0.0,0.0,0.0,0.0,0.0,0.0,479.0,5962.0,21231.0
2003-03-01,5081.0,74329.0,203680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0,8385.0,22977.0
2003-04-01,4241.0,47650.0,156964.0,4915.0,50334.52,50334.52,4540.0,51007.0,168022.0,0.0,0.0,0.0,637.0,7161.0,23590.0
2003-05-01,4098.0,59395.0,148354.0,6195.0,63443.0,63443.0,,,,,,,276.0,3994.0,9976.0
2003-06-01,4869.0,72876.0,170766.0,5166.0,52905.01,52905.01,,,,,,,331.0,4957.0,11617.0
2003-07-01,4609.0,67000.0,161566.0,3021.0,30938.06,30938.06,,,,,,,289.0,4200.0,10129.0
2003-08-01,4643.0,61320.0,160124.0,4002.0,40984.48,40984.48,,,,,,,517.0,6829.0,17832.0
2003-09-01,4916.0,62348.0,167986.0,3333.0,34133.25,34133.25,,,,,,,518.0,6564.0,17686.0
2003-10-01,5846.0,71905.0,201975.0,2508.0,25684.43,25684.43,,,,,,,384.0,4718.0,13253.0
2003-11-01,5162.0,63145.0,206015.0,4569.0,46791.13,46791.13,,,,,,,334.0,4089.0,13341.0
2003-12-01,4903.0,40339.0,184789.0,3904.0,39980.86,39980.86,,,,,,,429.0,3527.0,16160.0
2004-01-01,5504.52351,31392.27,235061.88,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,398.23449,2271.13,17005.97
2004-02-01,5372.8184,30641.16,229291.57,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,375.6496,2142.33,16031.3
2004-03-01,5588.32954,31870.22,238918.0,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,429.20246,2447.74,18349.7
2004-04-01,3596.53663,20511.03,154582.2,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,351.08437,2002.23,15089.9
2004-05-01,3013.6102,17186.6,130833.26,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,418.3978,2386.12,18164.38
2004-06-01,2764.20558,15764.25,119636.67,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,348.02842,1984.8,15062.9
2004-07-01,5354.43,30536.29,232428.37,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,740.529,4223.23,32145.34
2004-08-01,5486.62536,31290.19,234820.32,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,444.03164,2532.31,19003.97
2004-09-01,4217.55819,24052.71,181545.41,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,436.91281,2491.71,18806.98
2004-10-01,4328.34335,24684.52,186422.65,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,458.53765,2615.04,19749.31
2004-11-01,4171.60896,23790.66,180002.96,4829.55,48401.75,48401.75,0.0,0.0,0.0,0.0,0.0,0.0,473.08604,2698.01,20413.44
