measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,23.0,354.0,354.0,,,,0.0,0.0,0.0,783.0,10716.0,10716.0,266.0,0.0,0.0,654.0,11083.0,11083.0,,,,1008.0,15030.0,15030.0
2003-02-01,20.0,365.0,365.0,,,,0.0,0.0,0.0,2744.0,35460.0,35460.0,1083.0,0.0,0.0,145.0,2813.0,2813.0,,,,1191.0,17104.0,17104.0
2003-03-01,18.0,296.0,296.0,,,,0.0,0.0,0.0,4982.0,64239.0,64239.0,1817.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,1.0,6.0,6.0,,,,0.0,0.0,0.0,256.0,3350.0,3350.0,62.0,0.0,0.0,193.0,4803.0,4803.0,,,,0.0,0.0,0.0
2003-05-01,29.0,422.0,422.0,,,,0.0,0.0,0.0,2917.0,38953.0,38953.0,1008.0,0.0,0.0,3183.0,47399.0,47399.0,,,,852.0,12133.0,12133.0
2003-06-01,1.0,12.0,12.0,,,,0.0,0.0,0.0,2627.0,36747.0,36747.0,845.0,0.0,0.0,313.0,5810.0,5810.0,,,,833.0,12633.0,12633.0
2003-07-01,1.0,6.0,6.0,,,,0.0,0.0,0.0,7097.0,96740.0,96740.0,2373.0,0.0,0.0,2492.0,37783.0,37783.0,,,,828.0,11529.0,11529.0
2003-08-01,1.0,17.0,17.0,,,,0.0,0.0,0.0,6302.0,86026.0,86026.0,2212.0,0.0,0.0,1682.0,26536.0,26536.0,,,,0.0,0.0,0.0
2003-09-01,1.0,12.0,12.0,,,,0.0,0.0,0.0,8805.0,119368.0,119368.0,3373.0,0.0,0.0,5412.0,79845.0,79845.0,,,,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,1399.0,20301.0,20301.0,387.0,0.0,0.0,-192.0,0.0,0.0,,,,0.0,0.0,0.0
