measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Other Generation,Other Quantity Consumed For Electricity,Other Total Fuel Consumed
2001-01-01,4756.0,67626.0,87912.0,7809.0,80690.4,80690.4,14649.0,220037.0,282514.0,,,
2001-02-01,0.0,0.0,0.0,5373.0,55519.21,55519.21,17036.0,116028.0,288763.0,,,
2001-03-01,0.0,0.0,0.0,9244.5,95523.41500000001,95523.41500000001,20864.0,138554.0,344834.0,,,
2001-04-01,16.0,1725.0,1725.0,9811.5,101382.23000000001,101382.23000000001,18699.0,123361.0,307074.0,,,
2001-05-01,860.0,9896.0,9896.0,7254.0,74955.585,74955.585,14204.0,108949.0,251595.0,,,
2001-06-01,0.0,0.0,0.0,11456.0,118374.85,118374.85,35436.0,303250.0,540750.0,,,
2001-07-01,35.0,3554.0,3554.0,9278.0,95869.575,95869.575,44275.0,326984.0,568635.0,,,
2001-08-01,0.0,4468.0,4468.0,9310.0,96200.23,96200.23,36384.0,286404.0,510352.0,,,
2001-09-01,3.0,2329.0,2329.0,5862.5,60577.21,60577.21,38197.0,272555.0,519590.0,,,
2001-10-01,134.0,858.0,1668.0,5706.5,58965.265,58965.265,25924.0,179393.0,337711.0,,,
2001-11-01,8.0,115.0,115.0,5785.0,59776.405,59776.405,34077.0,269787.0,474078.0,,,
2001-12-01,0.0,0.0,0.0,6040.0,62411.32,62411.32,32603.0,235708.0,452002.0,,,
2002-01-01,0.0,0.0,0.0,10590.0,107732.075,107732.075,34835.0,234381.0,475458.0,0.0,0.0,0.0
2002-02-01,0.0,0.0,0.0,7880.0,80163.23999999999,80163.23999999999,31824.0,233490.0,439830.0,0.0,0.0,0.0
2002-03-01,0.0,0.0,0.0,9232.0,93917.14,93917.14,31824.0,233490.0,439830.0,0.0,0.0,0.0
2002-04-01,0.0,0.0,0.0,9956.0,101282.39,101282.39,33570.0,249139.0,454580.0,0.0,0.0,0.0
2002-05-01,5.0,78.0,96.0,7955.5,80931.3,80931.3,31493.0,265597.0,395912.0,0.0,0.0,0.0
2002-06-01,29.0,451.0,556.0,7411.0,75392.105,75392.105,36091.0,258902.0,504504.0,,,
2002-07-01,47.0,731.0,902.0,6885.5,70046.195,70046.195,37974.0,240703.0,531432.0,0.0,0.0,0.0
2002-08-01,46.06,717.0,884.0,6809.5,69273.045,69273.045,37750.58,257824.0,550628.0,0.0,0.0,0.0
2002-09-01,8.0,124.0,153.0,7367.0,74944.495,74944.495,34700.0,222923.0,492650.0,0.0,0.0,0.0
2002-10-01,0.0,0.0,0.0,7206.0,73306.64,73306.64,33573.0,210391.0,472522.0,0.0,0.0,0.0
2002-11-01,0.0,0.0,0.0,11720.0,119227.56,119227.56,26713.0,182972.0,388568.0,,,
2002-12-01,5226.34,81318.0,100259.0,15882.5,161572.66999999998,161572.66999999998,30580.9,211929.0,448514.0,0.0,0.0,0.0
2003-01-01,1.0,5.5,5.5,10906.5,111693.47,111693.47,32506.0,208078.0,459410.0,,,
2003-02-01,0.0,0.0,0.0,11617.5,118974.815,118974.815,15072.5,103067.0,217211.5,,,
2003-03-01,0.0,0.0,0.0,16451.0,168474.695,168474.695,15729.5,96364.5,209450.0,,,
2003-04-01,2.5,14.5,14.5,10560.5,108150.08,108150.08,28360.0,150576.0,344947.0,,,
2003-05-01,2.5,23.5,23.5,16844.5,172504.525,172504.525,14251.5,73976.0,176252.5,,,
2003-06-01,41.0,379.0,379.0,9165.5,93863.88500000001,93863.88500000001,12132.666666666666,68625.33333333333,160229.66666666666,,,
2003-07-01,46.333333333333336,365.0,379.0,10978.0,112425.695,112425.695,12113.666666666666,71702.66666666667,163166.33333333334,,,
2003-08-01,67.66666666666667,588.3333333333334,615.6666666666666,4465.0,45726.065,45726.065,21677.0,120676.5,280325.0,,,
2003-09-01,2.0,46.5,46.5,5100.5,52234.22,52234.22,19133.5,109867.0,251597.0,,,
2003-10-01,1.0,14.5,14.5,5130.5,52541.450000000004,52541.450000000004,8065.333333333333,47866.333333333336,118161.33333333333,,,
2003-11-01,0.0,0.0,0.0,4669.0,47815.225,47815.225,10206.0,55086.333333333336,141939.0,,,
2003-12-01,8.5,50.0,107.5,10505.5,107586.825,107586.825,11690.333333333334,69855.33333333333,155536.66666666666,,,
2004-01-01,2095.524485,10331.484999999999,28897.57,11314.615,113395.07,113395.07,8084.665015,39674.3,113366.725,,,
2004-02-01,868.312685,4279.87,11975.289999999999,10692.945,107164.695,107164.695,6594.702315,32363.364999999998,92308.435,,,
2004-03-01,271.51489,1351.21,3723.3700000000003,9575.416000000001,95964.815,95964.815,4932.80411,24201.02,70301.42000000001,,,
2004-04-01,511.46425999999997,2531.665,7036.035,7117.6455000000005,71333.04500000001,71333.04500000001,15050.339240000001,73869.595,208681.55500000002,,,
2004-05-01,981.017965,4838.135,13524.295,5472.8235,54848.64,54848.64,39741.894535,195054.975,551977.42,,,
2004-06-01,368.8561,1834.855,5059.4,9305.947,93264.20000000001,93264.20000000001,21088.6474,103503.15,293064.125,,,
2004-07-01,197.67623,992.155,2697.0,9347.886999999999,93684.525,93684.525,38789.74627,190381.665,538768.77,,,
2004-08-01,191.42715499999997,957.5550000000001,2616.9900000000002,10325.968,103486.85,103486.85,33568.476845000005,164755.51499999998,466238.315,,,
2004-09-01,86.53246499999999,448.435,1157.62,14985.812,150187.805,150187.805,14579.733535,71554.365,203181.94,,,
