measured_on,Natural Gas-Combined Cycle Single Shaft Generation,Natural Gas-Combined Cycle Single Shaft Quantity Consumed For Electricity,Natural Gas-Combined Cycle Single Shaft Total Fuel Consumed
2003-01-01,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0
2003-03-01,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0
2003-05-01,0.0,0.0,0.0
2003-06-01,21762.0,179701.0,179701.0
2003-07-01,88519.0,705472.0,705472.0
2003-08-01,59323.0,501885.0,501885.0
2003-09-01,43796.0,350024.0,350024.0
2003-10-01,95469.0,747236.0,747236.0
2003-11-01,108781.0,840784.0,840784.0
2003-12-01,24852.0,195028.0,195028.0
2004-01-01,705.0,8395.0,8395.0
2004-02-01,90723.0,719206.0,719206.0
2004-03-01,114356.0,896333.0,896333.0
2004-04-01,75784.0,593866.0,593866.0
2004-05-01,86368.0,684522.0,684522.0
2004-06-01,35298.0,284076.0,284076.0
2004-07-01,50279.0,424577.0,424577.0
2004-08-01,84364.0,675404.0,675404.0
2004-09-01,83293.0,661013.0,661013.0
2004-10-01,0.0,0.0,0.0
2004-11-01,2721.0,22884.0,22884.0
2004-12-01,9052.0,73441.0,73441.0
2005-01-01,18297.0,148109.12,148109.12
2005-02-01,38577.0,305366.37,305366.37
2005-03-01,59025.0,464781.17,464781.17
2005-04-01,77624.0,614166.68,614166.68
2005-05-01,13566.0,106661.03,106661.03
2005-06-01,50324.0,411757.5,411757.5
2005-07-01,62964.0,509470.37,509470.37
2005-08-01,75052.0,612839.4,612839.4
2005-09-01,57747.0,464211.83,464211.83
2005-10-01,32602.0,269734.68,269734.68
2005-11-01,25672.0,204387.22,204387.22
2005-12-01,0.0,0.0,0.0
2006-01-01,2296.0,19730.0,19730.0
2006-02-01,62885.0,499320.0,499320.0
2006-03-01,18959.0,151905.0,151905.0
2006-04-01,0.0,0.0,0.0
2006-05-01,81591.0,625181.0,625181.0
2006-06-01,0.0,223.0,223.0
2006-07-01,52570.0,438974.0,438974.0
2006-08-01,13441.0,105756.0,105756.0
2006-09-01,2963.0,24674.0,24674.0
2006-10-01,19472.0,159868.0,159868.0
2006-11-01,0.0,0.0,0.0
2006-12-01,490.0,5015.0,5015.0
2007-01-01,0.0,0.0,0.0
2007-02-01,17030.0,138099.0,138099.0
2007-03-01,30193.0,246788.0,246788.0
2007-04-01,28396.0,230426.0,230426.0
2007-05-01,10046.0,82741.0,82741.0
2007-06-01,10821.0,89636.0,89636.0
2007-07-01,49433.0,420005.0,420005.0
2007-08-01,64368.0,521565.0,521565.0
2007-09-01,10470.0,86841.0,86841.0
2007-10-01,5909.0,54614.0,54614.0
2007-11-01,2305.0,19683.0,19683.0
2007-12-01,18708.0,160197.0,160197.0
2008-01-01,14490.0,121101.0,121101.0
2008-02-01,8079.0,68951.0,68951.0
2008-03-01,7902.0,65343.0,65343.0
2008-04-01,42263.0,342635.0,342635.0
2008-05-01,16561.0,134284.0,134284.0
2008-06-01,32660.0,279113.0,279113.0
2008-07-01,72857.0,596483.0,596483.0
2008-08-01,20630.0,165722.0,165722.0
2008-09-01,16438.0,134640.0,134640.0
2008-10-01,38101.0,309882.0,309882.0
2008-11-01,30834.0,252250.0,252250.0
2008-12-01,596.0,6581.0,6581.0
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,24438.0,202598.0,202598.0
2009-04-01,9662.0,78641.0,78641.0
2009-05-01,13364.0,110478.0,110478.0
2009-06-01,0.0,0.0,0.0
2009-07-01,20392.0,167524.0,167524.0
2009-08-01,73756.0,601872.0,601872.0
2009-09-01,36842.0,294875.0,294875.0
2009-10-01,54828.0,443838.0,443838.0
2009-11-01,15388.0,130398.0,130398.0
2009-12-01,8986.0,75882.0,75882.0
2010-01-01,25256.0,208537.0,208537.0
2010-02-01,11224.0,97663.0,97663.0
2010-03-01,0.0,0.0,0.0
