measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,,,,,,,97.0,1077.0,1077.0,176196.0,1954866.0,1954866.0
2003-02-01,0.0,0.0,0.0,,,,5888.0,51400.0,51400.0,67.0,728.0,728.0,159094.0,1723199.0,1723199.0
2003-03-01,0.0,0.0,0.0,0.0,0.0,0.0,4076.0,28172.0,28172.0,586.0,6541.0,6541.0,136433.0,1523180.0,1523180.0
2003-04-01,0.0,0.0,0.0,0.0,0.0,0.0,1929.0,34760.0,34760.0,754.0,8237.0,8237.0,157961.0,1726588.0,1726588.0
2003-05-01,0.0,0.0,0.0,0.0,0.0,0.0,634.0,17894.0,17894.0,817.0,11208.0,11208.0,8877.0,121724.0,121724.0
2003-06-01,0.0,0.0,0.0,0.0,0.0,0.0,869.0,22015.0,22015.0,69.0,786.0,786.0,126034.0,1428838.0,1428838.0
2003-07-01,6.0,112.0,112.0,0.0,0.0,0.0,3013.0,59172.0,59172.0,483.0,5312.0,5312.0,155293.0,1708201.0,1708201.0
2003-08-01,0.0,0.0,0.0,0.0,0.0,0.0,8291.0,160068.0,160068.0,311.0,3526.0,3526.0,147557.0,1672029.0,1672029.0
2003-09-01,0.0,0.0,0.0,0.0,0.0,0.0,631.0,13231.0,13231.0,107.0,1237.0,1237.0,119709.0,1385322.0,1385322.0
2003-10-01,0.0,0.0,0.0,0.0,0.0,0.0,1309.0,28480.0,28480.0,69.0,765.0,765.0,156591.0,1737836.0,1737836.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0,,,,337.0,3536.0,3536.0,149570.0,1568846.0,1568846.0
2003-12-01,0.0,0.0,0.0,0.0,0.0,0.0,3981.0,67645.0,67645.0,61.0,665.0,665.0,163851.0,1797968.0,1797968.0
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,10293.0,10293.0,130677.0,1435409.0,1435409.0
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,590.0,590.0,162896.0,1799688.0,1799688.0
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,570.0,570.0,114032.0,1290138.0,1290138.0
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.0,15559.0,15559.0,93913.0,1040204.0,1040204.0
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,1746.0,1746.0,142782.0,1590071.0,1590071.0
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.0,10476.0,10476.0,97941.0,1134151.0,1134151.0
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,708.0,708.0,154078.0,1720946.0,1720946.0
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,4784.0,4784.0,108466.0,1190928.0,1190928.0
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,869.0,869.0,146318.0,1603006.0,1603006.0
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,416.0,4495.0,4495.0,140652.0,1520205.0,1520205.0
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0,2576.0,2576.0,132034.0,1455533.0,1455533.0
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,1546.0,1546.0,164369.0,1786048.0,1786048.0
2005-01-01,,,,,,,,,,0.0,0.0,0.0,153178.0,1724317.2,1724317.2
