measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Generation","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Quantity Consumed For Electricity","Waste Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste/Other Combustible - Total Fuel Consumed"
2003-01-01,,,,,,,23165.925,321892.0,321892.0
2003-02-01,,,,,,,23380.393,324872.0,324872.0
2003-03-01,,,,,,,23055.774,320361.0,320361.0
2003-04-01,,,,,,,18848.488,261901.0,261901.0
2003-05-01,,,,,,,25990.52,361140.0,361140.0
2003-06-01,,,,,,,30232.739,420086.0,420086.0
2003-07-01,,,,,,,30008.516,416970.0,416970.0
2003-08-01,,,,,,,28201.905,391867.0,391867.0
2003-09-01,,,,,,,24347.916,338316.0,338316.0
2003-10-01,,,,,,,23662.065,328786.0,328786.0
2003-11-01,,,,,,,23396.296000000002,325093.0,325093.0
2003-12-01,,,,,,,28122.462,390763.0,390763.0
2004-01-01,0.684,10.0,10.0,,,,24851.583,346323.0,346323.0
2004-02-01,40.726,568.0,568.0,,,,24851.583,346323.0,346323.0
2004-03-01,4.841,67.0,67.0,,,,24851.583,346323.0,346323.0
2004-04-01,0.368,5.0,5.0,,,,24851.583,346323.0,346323.0
2004-05-01,105.28800000000001,1468.0,1468.0,,,,24851.583,346323.0,346323.0
2004-06-01,282.715,3941.0,3941.0,,,,24851.583,346323.0,346323.0
2004-07-01,73.45400000000001,1024.0,1024.0,,,,24851.583,346323.0,346323.0
2004-08-01,84.45100000000001,1177.0,1177.0,,,,24851.583,346323.0,346323.0
2004-09-01,102.973,1435.0,1435.0,,,,24851.583,346323.0,346323.0
2004-10-01,36.938,515.0,515.0,,,,24851.583,346323.0,346323.0
2004-11-01,16.89,235.0,235.0,,,,24851.583,346323.0,346323.0
2004-12-01,48.671,678.0,678.0,,,,24851.583,346323.0,346323.0
2005-01-01,194.39600000000002,2699.68,2699.68,,,,26710.268,370898.28,370898.28
2005-02-01,44.746,621.42,621.42,,,,24251.708,336758.76,336758.76
2005-03-01,38.397,533.25,533.25,,,,25996.271,360983.74,360983.74
2005-04-01,38.419000000000004,533.55,533.55,,,,21386.697,296975.27,296975.27
2005-05-01,38.736000000000004,537.95,537.95,,,,20317.922,282134.29,282134.29
