measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,24792.0,24792.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0,1737.0,34300.0,34300.0
2003-03-01,1.0,6.0,6.0,0.0,0.0,0.0,1405.0,28045.0,28045.0
2003-04-01,20.0,551.0,551.0,7.0,75.0,75.0,703.0,19723.0,19723.0
2003-05-01,1.0,6.0,6.0,0.0,0.0,0.0,625.0,14533.0,14533.0
2003-06-01,1.0,6.0,6.0,6.0,75.0,75.0,4387.0,77513.0,77513.0
2003-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2228.0,40653.0,40653.0
2003-08-01,1.0,6.0,6.0,2.0,29.0,29.0,358.0,9634.0,9634.0
2003-09-01,1.0,12.0,12.0,3.0,41.0,41.0,4223.0,74743.0,74743.0
2003-10-01,1.0,6.0,6.0,8.0,93.0,93.0,1139.0,20647.0,20647.0
2003-11-01,1.0,6.0,6.0,3.0,41.0,41.0,1479.0,26680.0,26680.0
2003-12-01,1.0,12.0,12.0,15.0,186.0,186.0,890.0,17106.0,17106.0
2004-01-01,0.194,3.0,3.0,12.614,181.0,181.0,5373.761,97416.0,97416.0
2004-02-01,0.188,3.0,3.0,16.317,234.0,234.0,4415.327,80041.0,80041.0
2004-03-01,0.333,6.0,6.0,14.644,210.0,210.0,2098.165,38036.0,38036.0
2004-04-01,0.35700000000000004,6.0,6.0,9.929,143.0,143.0,1973.7930000000001,35781.0,35781.0
2004-05-01,2.204,36.0,36.0,10.768,155.0,155.0,3661.043,66367.0,66367.0
2004-06-01,0.21200000000000002,4.0,4.0,10.343,148.0,148.0,5408.088000000001,98038.0,98038.0
2004-07-01,0.8290000000000001,14.0,14.0,16.472,236.0,236.0,5591.55,101364.0,101364.0
2004-08-01,0.097,2.0,2.0,17.438000000000002,250.0,250.0,3925.188,71156.0,71156.0
2004-09-01,0.109,2.0,2.0,14.201,204.0,204.0,3227.478,58508.0,58508.0
2004-10-01,1.1380000000000001,19.0,19.0,10.387,149.0,149.0,1787.563,32405.0,32405.0
2004-11-01,0.151,3.0,3.0,6.037,87.0,87.0,2514.7180000000003,45587.0,45587.0
2004-12-01,0.188,3.0,3.0,5.847,84.0,84.0,4604.326,83467.0,83467.0
2005-01-01,2.604,46.5,46.5,26.036,283.21,283.21,1806.4170000000001,34161.65,34161.65
2005-02-01,0.895,15.98,15.98,8.945,97.3,97.3,1445.145,27329.54,27329.54
2005-03-01,0.991,17.71,17.71,9.914,107.84,107.84,2005.4070000000002,37924.81,37924.81
2005-04-01,1.201,21.45,21.45,12.009,130.63,130.63,1903.645,36000.35,36000.35
2005-05-01,1.115,19.92,19.92,11.153,121.32,121.32,1820.337,34424.9,34424.9
2005-06-01,1.4480000000000002,25.85,25.85,14.476,157.47,157.47,3436.2760000000003,64984.36,64984.36
2005-07-01,1.473,26.31,26.31,14.735,160.28,160.28,4523.695000000001,85548.84,85548.84
2005-08-01,1.731,30.91,30.91,17.31,188.29,188.29,4493.839,84984.24,84984.24
2005-09-01,1.133,20.24,20.24,11.331000000000001,123.26,123.26,2720.731,51452.5,51452.5
2005-10-01,1.258,22.47,22.47,12.584000000000001,136.88,136.88,1929.16,36482.88,36482.88
2005-11-01,1.012,18.07,18.07,10.116,110.04,110.04,1690.755,31974.34,31974.34
2005-12-01,2.1390000000000002,38.2,38.2,21.39,232.67,232.67,2113.592,39970.73,39970.73
2006-01-01,11.635,192.0,192.0,0.0,43.0,43.0,1163.784,20306.0,20306.0
2006-02-01,6.088,100.0,100.0,0.0,22.0,22.0,1315.5520000000001,22954.0,22954.0
2006-03-01,5.114,84.0,84.0,0.0,19.0,19.0,1733.582,30248.0,30248.0
2006-04-01,9.796000000000001,162.0,162.0,0.0,36.0,36.0,1434.6,25032.0,25032.0
2006-05-01,9.157,151.0,151.0,0.0,34.0,34.0,1889.7340000000002,32973.0,32973.0
2006-06-01,8.323,137.0,137.0,0.0,31.0,31.0,2434.193,42473.0,42473.0
2006-07-01,12.056000000000001,199.0,199.0,0.0,44.0,44.0,4355.906,76004.0,76004.0
2006-08-01,11.695,193.0,193.0,0.0,43.0,43.0,3870.606,67536.0,67536.0
2006-09-01,5.373,89.0,89.0,0.0,20.0,20.0,2276.7690000000002,39726.0,39726.0
2006-10-01,5.675,94.0,94.0,0.0,21.0,21.0,2466.193,43031.0,43031.0
2006-11-01,6.683000000000001,110.0,110.0,0.0,25.0,25.0,1658.001,28930.0,28930.0
