measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,2480.516,13568.0,41070.0,1278.425,6992.0,21167.0,317.666,1738.0,5259.0,,,,0.0,0.0,0.0
2003-02-01,2107.86,11529.0,34900.0,1086.363,5942.0,17987.0,269.942,1476.0,4469.0,,,,0.0,0.0,0.0
2003-03-01,2329.194,12740.0,38565.0,1200.4360000000001,6566.0,19875.0,298.28700000000003,1632.0,4939.0,,,,0.0,0.0,0.0
2003-04-01,2020.1860000000001,11050.0,33448.0,1041.178,5695.0,17239.0,258.714,1415.0,4283.0,,,,0.0,0.0,0.0
2003-05-01,1817.871,9943.0,30099.0,936.907,5124.0,15512.0,232.805,1273.0,3854.0,,,,0.0,0.0,0.0
2003-06-01,2173.917,11891.0,35994.0,1120.4080000000001,6128.0,18550.0,278.402,1523.0,4609.0,,,,0.0,0.0,0.0
2003-07-01,2628.4190000000003,14377.0,43519.0,1354.653,7409.0,22429.0,336.607,1841.0,5573.0,,,,0.0,0.0,0.0
2003-08-01,2478.657,13558.0,41039.0,1277.468,6987.0,21151.0,317.428,1736.0,5255.0,,,,0.0,0.0,0.0
2003-09-01,2303.523,12600.0,38139.0,1187.2060000000001,6494.0,19656.0,295.0,1614.0,4884.0,,,,0.0,0.0,0.0
2003-10-01,2252.632,12321.0,37297.0,1160.977,6350.0,19222.0,288.482,1578.0,4776.0,,,,0.0,0.0,0.0
2003-11-01,2147.0570000000002,11744.0,35549.0,1106.565,6052.0,18321.0,274.962,1504.0,4552.0,,,,0.0,0.0,0.0
2003-12-01,2426.167,13270.0,40170.0,1250.415,6839.0,20703.0,310.706,1699.0,5144.0,,,,0.0,0.0,0.0
2004-01-01,2928.15976,13766.82,102139.92,38.754709999999996,182.21,1351.84,189.05595,888.85,6594.64,2.50743,11.79,87.46,1497.02815,7038.32,52219.26
2004-02-01,2414.76485,11353.08,88945.83,18.4785,86.88,680.64,179.03599,841.74,6594.64,2.37454,11.16,87.46,1455.17213,6841.53,53600.04
2004-03-01,2106.27863,9902.72,79584.39,12.37787,58.19,467.69,174.53359,820.57,6594.64,2.31482,10.88,87.46,1376.31708,6470.79,52003.26
2004-04-01,1625.6051,7642.82,65793.06,15.558779999999999,73.15,629.71,162.93938,766.06,6594.64,2.16105,10.16,87.46,1358.0087,6384.71,54962.64
2004-05-01,2183.39558,10265.29,76255.83,41.67547,195.94,1455.53,188.82108,887.75,6594.64,2.50431,11.77,87.46,1186.75156,5579.54,41447.7
2004-06-01,2442.88571,11485.29,84806.46,27.131539999999998,127.56,941.89,189.96138,893.11,6594.64,2.51944,11.85,87.46,1221.96394,5745.09,42421.32
2004-07-01,2302.25457,10824.11,89472.06,21.515179999999997,101.15,836.14,169.69029,797.8,6594.64,2.25058,10.58,87.46,1664.69938,7826.63,64694.88
2004-08-01,2532.37365,11906.03,95185.53,30.65729,144.14,1152.33,175.44781,824.87,6594.64,2.32695,10.94,87.46,1669.80732,7850.65,62763.84
2004-09-01,2259.25885,10621.96,86234.22,30.62124,143.97,1168.79,172.77362,812.3,6594.64,2.29148,10.77,87.46,1586.7568,7460.18,60565.32
2004-10-01,2270.98951,10677.12,88409.07,9.09048,42.74,353.89,169.39844,796.43,6594.64,2.2467099999999998,10.56,87.46,1601.55687,7529.76,62348.22
2004-11-01,2522.34281,11858.86,93965.67,15.48935,72.82,577.03,177.02149,832.27,6594.64,2.34782,11.04,87.46,1558.49153,7327.29,58059.0
2004-12-01,2575.52312,12108.89,97347.96,18.69258,87.88,706.53,174.47359,820.29,6594.64,2.3140199999999997,10.88,87.46,1676.85069,7883.76,63380.52
2005-01-01,1944.79347,9143.5,80814.34,998.07168,4692.46,41474.07,236.25131,1110.74,9817.23,,,,609.12853,2863.83,25311.85
2005-02-01,1765.78416,8301.88,73375.74,884.81651,4159.99,36767.84,210.75616,990.88,8757.8,,,,565.30716,2657.81,23490.89
2005-03-01,1892.80682,8899.08,78654.21,1055.87148,4964.21,43875.97,240.70925,1131.7,10002.5,,,,611.18745,2873.51,25397.45
2005-04-01,1557.17198,7321.09,64707.33,1082.5242,5089.52,44983.63,240.2132,1129.37,9981.91,,,,525.48062,2470.56,21836.03
2005-05-01,1479.35537,6955.23,61473.79,878.18499,4128.81,36492.49,264.07729,1241.57,10973.59,,,,583.16435,2741.76,24233.07
2005-06-01,1896.22107,8915.13,78796.29,1494.05459,7024.34,62084.51,261.62563,1230.04,10871.69,,,,564.58571,2654.41,23461.01
2005-07-01,2115.63041,9946.69,87913.73,1925.29917,9051.84,80004.63,270.89725,1273.63,11256.97,,,,625.28017,2939.77,25983.14
2005-08-01,2095.49511,9852.03,87077.12,2058.43048,9677.77,85536.92,269.67502,1267.88,11206.19,,,,643.7734,3026.72,26751.64
2005-09-01,1887.72271,8875.18,78443.01,1361.67499,6401.95,56583.46,254.03040000000001,1194.33,10556.06,,,,606.0199,2849.22,25182.74
2005-10-01,1767.77145,8311.22,73458.43,941.67027,4427.29,39130.41,256.42499,1205.59,10655.55,,,,577.6433000000001,2715.8,24003.54
2005-11-01,1736.01814,8161.93,72139.01,845.2544,3973.98,35123.95,258.2659,1214.24,10732.06,,,,588.29356,2765.88,24446.12
2005-12-01,2002.46979,9414.66,83211.01,913.24463,4293.64,37949.14,258.84036,1216.94,10755.9,,,,635.54022,2988.01,26409.36
2006-01-01,1940.04155,9121.16,81537.28,1030.57926,4845.29,43313.83,180.12085,846.84,7570.23,,,,631.41733,2968.62,26537.6
2006-02-01,1824.06817,8575.9,76663.04,1027.57611,4831.18,43187.59,161.31744,758.44,6779.95,,,,573.22629,2695.04,24091.9
2006-03-01,1781.23171,8374.5,74862.85,1121.02737,5270.54,47115.32,144.82783999999998,680.91,6086.93,,,,620.84908,2918.94,26093.48
2006-04-01,1782.93151,8382.5,74934.27,942.51955,4431.28,39612.86,131.6732,619.07,5534.05,,,,573.84074,2697.93,24117.77
2006-05-01,1875.10752,8815.87,78808.06,914.31237,4298.66,38427.23,153.24031,720.46,6440.47,,,,572.46779,2691.47,24060.0
2006-06-01,1918.18297,9018.39,80618.75,1169.57747,5498.8,49155.83,104.221,490.0,4380.27,,,,571.49957,2686.92,24019.39
2006-07-01,2014.3359,9470.45,84660.22,1751.50992,8234.77,73613.95,138.23570999999998,649.92,5809.89,,,,614.10846,2887.25,25810.27
2006-08-01,2013.45701,9466.32,84623.36,1648.99817,7752.81,69305.56,135.8765,638.83,5710.74,,,,650.29232,3057.37,27331.06
2006-09-01,1818.3670000000002,8549.1,76423.68,1169.63859,5499.09,49158.44,126.35484,594.06,5310.54,,,,608.52557,2861.0,25575.56
2006-10-01,1780.28536,8370.06,74823.17,1304.43471,6132.83,54823.76,144.79092,680.74,6085.38,,,,631.951,2971.13,26560.11
2006-11-01,1804.90127,8485.79,75857.66,1121.98935,5275.06,47155.76,159.03958,747.73,6684.23,,,,617.98081,2905.45,25972.93
2006-12-01,1923.76598,9044.63,80853.25,1096.34481,5154.49,46077.87,163.10504,766.84,6855.08,,,,640.59317,3011.76,26923.25
2007-01-01,3012.8250000000003,13747.0,83635.0,240.583,1097.0,6680.0,26.305,112.0,736.0,,,,366.473,1671.0,10175.0
2007-02-01,2797.9120000000003,12749.0,77670.0,386.34,1762.0,10726.0,24.995,112.0,688.0,,,,380.115,1729.0,10558.0
2007-03-01,2531.714,11546.0,70298.0,259.13100000000003,1181.0,7195.0,30.579,144.0,848.0,,,,345.192,1578.0,9583.0
2007-04-01,2687.511,12262.0,74624.0,254.29100000000003,1160.0,7060.0,38.609,176.0,1072.0,,,,322.48400000000004,1473.0,8957.0
2007-05-01,2747.402,12518.0,76288.0,325.25600000000003,1483.0,9030.0,51.045,240.0,1424.0,,,,343.577,1566.0,9537.0
2007-06-01,2876.396,13107.0,79846.0,421.05600000000004,1920.0,11689.0,47.546,224.0,1328.0,,,,373.439,1705.0,10372.0
2007-07-01,3231.036,14746.0,89702.0,387.24600000000004,1766.0,10751.0,50.166000000000004,224.0,1392.0,,,,347.45300000000003,1589.0,9641.0
2007-08-01,3244.3,14797.0,90061.0,645.6,2944.0,17924.0,48.01,224.0,1328.0,,,,369.401,1682.0,10256.0
2007-09-01,3062.9660000000003,13978.0,85043.0,307.82,1404.0,8546.0,49.533,224.0,1376.0,,,,397.882,1810.0,11045.0
2007-10-01,3183.944,14515.0,88397.0,320.303,1461.0,8893.0,52.425,240.0,1456.0,,,,356.333,1624.0,9897.0
2007-11-01,2957.317,13491.0,82099.0,206.919,943.0,5744.0,34.476,160.0,960.0,,,,383.927,1752.0,10662.0
2007-12-01,2887.2160000000003,13158.0,80154.0,308.22200000000004,1406.0,8557.0,29.824,144.0,832.0,,,,381.906,1740.0,10604.0
2008-01-01,2453.069,11187.0,97782.0,347.233,1584.0,13843.0,103.236,471.0,4103.0,,,,1501.0130000000001,6845.0,59849.0
2008-02-01,2037.709,9293.0,81227.0,261.83,1194.0,10438.0,90.974,415.0,3630.0,,,,1365.039,6225.0,54421.0
2008-03-01,2141.579,9767.0,85377.0,318.725,1454.0,12707.0,99.02,452.0,3949.0,,,,1487.853,6785.0,59319.0
2008-04-01,2109.563,9621.0,84108.0,154.72400000000002,706.0,6168.0,114.71600000000001,523.0,4576.0,,,,1337.421,6099.0,53321.0
2008-05-01,2072.26,9451.0,82625.0,127.09,580.0,5067.0,124.42,567.0,4961.0,,,,1340.68,6114.0,53446.0
2008-06-01,2287.5820000000003,10432.0,91203.0,347.833,1586.0,13867.0,129.487,591.0,5159.0,,,,1389.393,6336.0,55388.0
2008-07-01,2377.763,10844.0,94794.0,418.889,1910.0,16700.0,101.905,465.0,4059.0,,,,1421.71,6484.0,56683.0
2008-08-01,2254.324,10281.0,89870.0,386.434,1762.0,15406.0,120.477,549.0,4807.0,,,,1443.6000000000001,6584.0,57548.0
2008-09-01,2052.404,9360.0,81829.0,207.49200000000002,946.0,8272.0,122.769,560.0,4895.0,,,,1205.8890000000001,5499.0,48071.0
2008-10-01,1983.9050000000002,9048.0,79099.0,131.72400000000002,601.0,5251.0,119.962,547.0,4785.0,,,,1376.827,6279.0,54889.0
2008-11-01,2149.14,9801.0,85678.0,138.856,633.0,5536.0,89.94800000000001,410.0,3586.0,,,,1366.285,6231.0,54467.0
2008-12-01,2258.677,10301.0,90042.0,205.692,938.0,8200.0,90.114,411.0,3597.0,,,,1372.765,6260.0,54725.0
2009-01-01,1794.6490000000001,8184.0,102284.0,307.223,1401.0,17509.0,33.977000000000004,155.0,1935.0,,,,1803.96,8227.0,102800.0
2009-02-01,1468.116,6695.0,83668.0,222.655,1015.0,12689.0,33.597,153.0,1917.0,,,,1648.882,7520.0,93970.0
2009-03-01,1484.707,6771.0,84604.0,251.526,1147.0,14335.0,41.24,188.0,2349.0,,,,1632.066,7443.0,93010.0
2009-04-01,1561.885,7123.0,89024.0,152.031,693.0,8664.0,39.224000000000004,179.0,2232.0,,,,1292.603,5895.0,73670.0
2009-05-01,1322.0510000000002,6029.0,75348.0,124.50200000000001,568.0,7096.0,53.85,246.0,3069.0,,,,1574.295,7180.0,89720.0
2009-06-01,1703.5980000000002,7769.0,97084.0,241.608,1102.0,13770.0,47.031,214.0,2682.0,,,,1683.7720000000002,7679.0,95960.0
2009-07-01,1844.433,8411.0,105118.0,177.108,808.0,10094.0,50.056000000000004,228.0,2853.0,,,,1694.205,7726.0,96560.0
2009-08-01,1721.328,7850.0,98098.0,437.17900000000003,1994.0,24915.0,49.009,224.0,2790.0,,,,1733.113,7904.0,98770.0
2009-09-01,1532.38,6988.0,87334.0,332.774,1518.0,18965.0,33.28,152.0,1899.0,,,,1619.3010000000002,7385.0,92290.0
2009-10-01,1530.106,6978.0,87204.0,281.122,1282.0,16022.0,46.769000000000005,213.0,2664.0,,,,1766.326,8055.0,100670.0
2009-11-01,1510.2430000000002,6887.0,86060.0,170.643,778.0,9725.0,52.731,240.0,3006.0,,,,1805.144,8232.0,102880.0
