measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,109857.0,1586008.0,1586008.0,287.0,4142.0,4142.0
2003-02-01,103093.0,1478647.0,1478647.0,153.0,2198.0,2198.0
2003-03-01,101741.0,1489574.0,1489574.0,73.0,1072.0,1072.0
2003-04-01,82600.0,1223165.0,1223165.0,159.0,2370.0,2370.0
2003-05-01,85380.0,1285327.0,1285327.0,291.0,4393.0,4393.0
2003-06-01,76415.0,1138927.0,1138927.0,472.0,7043.0,7043.0
2003-07-01,114701.0,1669512.0,1669512.0,387.0,5642.0,5642.0
2003-08-01,112358.0,1645845.0,1645845.0,508.0,7441.0,7441.0
2003-09-01,85562.0,1281483.0,1281483.0,272.0,4081.0,4081.0
2003-10-01,84512.0,1255300.0,1255300.0,265.0,3861.0,3861.0
2003-11-01,102812.0,1475520.0,1475520.0,214.0,3078.0,3078.0
2003-12-01,123227.0,1711269.0,1711269.0,176.0,2444.0,2444.0
2004-01-01,130936.0,1846117.0,1846117.0,306.0,4326.0,4326.0
2004-02-01,106572.0,1581638.0,1581638.0,197.0,2919.0,2919.0
2004-03-01,117844.0,1702609.0,1702609.0,246.0,3563.0,3563.0
2004-04-01,115582.0,1677528.0,1677528.0,375.0,5445.0,5445.0
2004-05-01,113821.0,1644891.0,1644891.0,193.0,2793.0,2793.0
2004-06-01,69368.0,1044357.0,1044357.0,452.0,6802.0,6802.0
2004-07-01,99859.0,1460586.0,1460586.0,434.0,6346.0,6346.0
2004-08-01,103160.0,1496084.0,1496084.0,323.0,4683.0,4683.0
2004-09-01,93790.0,1357661.0,1357661.0,585.0,5721.0,5721.0
