measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Waste heat not directly attributed to a fuel source-Combined Cycle Combustion Turbine Part Generation,Waste heat not directly attributed to a fuel source-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Generation,Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Quantity Consumed For Electricity,Waste heat not directly attributed to a fuel source-Combined Cycle Steam Part Total Fuel Consumed
2003-01-01,,,,,,,12539.794,124834.0,141125.0,3466.998,0.0,0.0,,,,,,
2003-02-01,,,,,,,11569.776,115178.0,130208.0,3198.808,0.0,0.0,,,,,,
2003-03-01,,,,,,,12754.280999999999,126970.0,143539.0,3526.299,0.0,0.0,,,,,,
2003-04-01,,,,,,,12061.539,120073.0,135743.0,3334.77,0.0,0.0,,,,,,
2003-05-01,,,,,,,13810.256000000001,137482.0,155423.0,3818.255,0.0,0.0,,,,,,
2003-06-01,,,,,,,14388.905999999999,143242.0,161935.0,3978.24,0.0,0.0,,,,,,
2003-07-01,,,,,,,18474.049,183910.0,207910.0,5107.6990000000005,0.0,0.0,,,,,,
2003-08-01,,,,,,,17355.721,172777.0,195324.0,4798.504,0.0,0.0,,,,,,
2003-09-01,,,,,,,15859.841,157886.0,178489.0,4384.923,0.0,0.0,,,,,,
2003-10-01,,,,,,,14925.508,148584.0,167974.0,4126.599,0.0,0.0,,,,,,
2003-11-01,,,,,,,12634.441,125777.0,142190.0,3493.166,0.0,0.0,,,,,,
2003-12-01,,,,,,,13414.687,133544.0,150971.0,3708.8880000000004,0.0,0.0,,,,,,
2004-01-01,0.0,0.0,0.0,0.0,0.0,0.0,13437.295,122198.46,154061.83,3630.925,0.0,0.0,,,,,,
2004-02-01,0.0,0.0,0.0,0.0,0.0,0.0,13547.817,121689.99,155328.99,3449.3810000000003,0.0,0.0,,,,,,
2004-03-01,0.0,0.0,0.0,0.0,0.0,0.0,13262.657,121304.57,152059.56,3680.7070000000003,0.0,0.0,,,,,,
2004-04-01,0.0,0.0,0.0,0.0,0.0,0.0,13469.823,123328.43,154434.77,3756.226,0.0,0.0,,,,,,
2004-05-01,0.0,0.0,0.0,0.0,0.0,0.0,11670.865,108562.85,133809.28,3492.7850000000003,0.0,0.0,,,,,,
2004-06-01,0.0,0.0,0.0,0.0,0.0,0.0,12741.36,115474.97,146082.76,3387.75,0.0,0.0,,,,,,
2004-07-01,0.0,0.0,0.0,0.0,0.0,0.0,18000.118000000002,165328.16,206375.69,5092.296,0.0,0.0,,,,,,
2004-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18567.191,170506.69,212877.33,5248.54,0.0,0.0,,,,,,
2004-09-01,0.0,0.0,0.0,0.0,0.0,0.0,17198.086,157377.64,197180.2,4783.828,0.0,0.0,,,,,,
2004-10-01,0.0,0.0,0.0,0.0,0.0,0.0,16411.781,150476.1,188165.03,4606.153,0.0,0.0,,,,,,
2004-11-01,0.0,0.0,0.0,0.0,0.0,0.0,15476.369,141207.31,177440.3,4246.936000000001,0.0,0.0,,,,,,
2004-12-01,0.0,0.0,0.0,0.0,0.0,0.0,16875.256,154332.48,193478.88,4681.323,0.0,0.0,,,,,,
2005-01-01,0.0,0.0,0.0,0.0,0.0,0.0,11991.022,124622.19,141505.54,5415.736,0.0,0.0,,,,,,
2005-02-01,0.0,0.0,0.0,0.0,0.0,0.0,10823.148,94643.05,127723.51,2396.2360000000003,0.0,0.0,,,,,,
2005-03-01,0.0,0.0,0.0,0.0,0.0,0.0,11680.37,104450.47,137839.54,2908.8790000000004,0.0,0.0,,,,,,
2005-04-01,0.0,0.0,0.0,0.0,0.0,0.0,11736.467,103219.86,138501.54,2680.893,0.0,0.0,,,,,,
2005-05-01,0.0,0.0,0.0,0.0,0.0,0.0,12890.231,112868.8,152117.06,2874.858,0.0,0.0,,,,,,
2005-06-01,0.0,0.0,0.0,0.0,0.0,0.0,16556.752,141685.74,195385.51,3233.378,0.0,0.0,,,,,,
