measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,7858.0,133176.0,133176.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,246.0,4062.0,4062.0
2003-02-01,6887.0,130966.0,130966.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,176.0,2933.0,2933.0
2003-03-01,7167.0,118519.0,118519.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,155.0,2511.0,2511.0
2003-04-01,2822.0,48347.0,48347.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,77.0,1239.0,1239.0
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,30.0,620.0,620.0,0.0,0.0,0.0
2003-06-01,5080.0,86583.0,86583.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,209.0,3520.0,3520.0
2003-07-01,7051.0,117396.0,117396.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,132.0,1994.0,1994.0
2003-08-01,6355.0,103784.0,103784.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,133.0,2166.0,2166.0
2003-09-01,5823.0,97914.0,97914.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,116.0,1780.0,1780.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-11-01,5905.0,96892.0,96892.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1642.0,1642.0
2003-12-01,6209.0,101023.0,101023.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,110.0,1676.0,1676.0
2004-01-01,7699.643,125225.0,125225.0,,,,0.625,7.0,7.0,0.0,0.0,0.0,108.081,1670.0,1670.0
2004-02-01,6205.576,100926.0,100926.0,,,,2.055,23.0,23.0,0.0,0.0,0.0,112.194,1733.0,1733.0
2004-03-01,5984.494000000001,97331.0,97331.0,,,,1.1620000000000001,13.0,13.0,0.0,0.0,0.0,76.271,1178.0,1178.0
2004-04-01,5566.763,90537.0,90537.0,,,,1.072,12.0,12.0,0.0,0.0,0.0,76.873,1188.0,1188.0
2004-05-01,6496.7,105661.0,105661.0,,,,2.234,26.0,26.0,0.0,0.0,0.0,62.457,965.0,965.0
2004-06-01,6641.023,108008.0,108008.0,,,,1.474,17.0,17.0,0.0,0.0,0.0,61.821000000000005,955.0,955.0
2004-07-01,6885.496,111984.0,111984.0,,,,0.67,8.0,8.0,0.0,0.0,0.0,62.96,973.0,973.0
2004-08-01,6442.167,104774.0,104774.0,,,,2.011,23.0,23.0,0.0,0.0,0.0,57.701,891.0,891.0
2004-09-01,6276.863,102086.0,102086.0,,,,8.221,94.0,94.0,0.0,0.0,0.0,90.09400000000001,1392.0,1392.0
2004-10-01,6026.046,98006.0,98006.0,,,,0.536,6.0,6.0,0.0,0.0,0.0,16.084,248.0,248.0
2004-11-01,5811.8240000000005,94522.0,94522.0,,,,12.733,146.0,146.0,0.0,0.0,0.0,60.958000000000006,942.0,942.0
2004-12-01,6907.404,112341.0,112341.0,,,,1.206,14.0,14.0,0.0,0.0,0.0,91.505,1414.0,1414.0
2005-01-01,6195.191000000001,93577.65,93577.65,,,,5.667000000000001,83.5,83.5,0.0,0.0,0.0,119.968,2801.01,2801.01
2005-02-01,5393.942,81474.9,81474.9,,,,1.947,28.69,28.69,0.0,0.0,0.0,95.976,2240.82,2240.82
2005-03-01,5596.2,84529.98,84529.98,,,,2.158,31.8,31.8,0.0,0.0,0.0,133.184,3109.56,3109.56
2005-04-01,4987.3150000000005,75332.83,75332.83,,,,2.6140000000000003,38.51,38.51,0.0,0.0,0.0,126.426,2951.76,2951.76
2005-05-01,5475.069,82700.3,82700.3,,,,2.428,35.77,35.77,0.0,0.0,0.0,120.893,2822.59,2822.59
2005-06-01,6098.092000000001,92111.0,92111.0,,,,3.1510000000000002,46.42,46.42,0.0,0.0,0.0,228.211,5328.24,5328.24
2005-07-01,6446.328,97371.06,97371.06,,,,3.2070000000000003,47.26,47.26,0.0,0.0,0.0,300.42900000000003,7014.38,7014.38
2005-08-01,6518.05,98454.42,98454.42,,,,3.7670000000000003,55.51,55.51,0.0,0.0,0.0,298.447,6968.08,6968.08
2005-09-01,5973.249000000001,90225.27,90225.27,,,,2.466,36.34,36.34,0.0,0.0,0.0,180.69,4218.73,4218.73
2005-10-01,5640.615000000001,85200.86,85200.86,,,,2.7390000000000003,40.36,40.36,0.0,0.0,0.0,128.12,2991.33,2991.33
2005-11-01,5499.338000000001,83066.9,83066.9,,,,2.202,32.45,32.45,0.0,0.0,0.0,112.287,2621.66,2621.66
2005-12-01,6141.609,92768.33,92768.33,,,,4.656000000000001,68.6,68.6,0.0,0.0,0.0,140.369,3277.31,3277.31
2006-01-01,6883.117,116026.0,116026.0,,,,1.41,16.0,16.0,0.0,0.0,0.0,51.056000000000004,867.0,867.0
2006-02-01,6555.4130000000005,110502.0,110502.0,,,,0.738,9.0,9.0,0.0,0.0,0.0,57.714000000000006,980.0,980.0
2006-03-01,6698.42,112912.0,112912.0,,,,0.62,7.0,7.0,0.0,0.0,0.0,76.053,1292.0,1292.0
2006-04-01,5698.8640000000005,96063.0,96063.0,,,,1.187,14.0,14.0,0.0,0.0,0.0,62.936,1069.0,1069.0
2006-05-01,6090.261,102661.0,102661.0,,,,1.11,13.0,13.0,0.0,0.0,0.0,82.903,1408.0,1408.0
2006-06-01,6597.884,111218.0,111218.0,,,,1.0090000000000001,12.0,12.0,0.0,0.0,0.0,106.789,1814.0,1814.0
2006-07-01,7505.081,126510.0,126510.0,,,,1.461,17.0,17.0,0.0,0.0,0.0,191.095,3245.0,3245.0
2006-08-01,7559.234,127423.0,127423.0,,,,1.4180000000000001,16.0,16.0,0.0,0.0,0.0,169.805,2884.0,2884.0
2006-09-01,6280.811000000001,105873.0,105873.0,,,,0.651,8.0,8.0,0.0,0.0,0.0,99.88300000000001,1696.0,1696.0
2006-10-01,6496.51,109509.0,109509.0,,,,0.6880000000000001,8.0,8.0,0.0,0.0,0.0,108.19300000000001,1837.0,1837.0
2006-11-01,6423.467000000001,108278.0,108278.0,,,,0.81,9.0,9.0,0.0,0.0,0.0,72.73700000000001,1235.0,1235.0
2006-12-01,6953.939,117220.0,117220.0,,,,0.898,10.0,10.0,0.0,0.0,0.0,73.837,1254.0,1254.0
2007-01-01,7142.438,111360.0,111360.0,0.0,0.0,0.0,0.739,6.0,6.0,0.0,0.0,0.0,11.562000000000001,180.0,180.0
2007-02-01,7709.151000000001,126168.0,126168.0,0.0,0.0,0.0,0.8410000000000001,6.0,6.0,0.0,0.0,0.0,2.849,47.0,47.0
2007-03-01,3994.0260000000003,72200.0,72200.0,0.0,0.0,0.0,0.7010000000000001,6.0,6.0,0.0,0.0,0.0,0.9740000000000001,18.0,18.0
