measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed"
2020-01-01,-5.546,0.0,0.0
2020-02-01,-4.287,0.0,0.0
2020-03-01,-6.578,0.0,0.0
2020-04-01,-5.833,0.0,0.0
2020-05-01,-5.651,0.0,0.0
2020-06-01,-5.019,0.0,0.0
2020-07-01,-5.934,0.0,0.0
2020-08-01,-5.914,0.0,0.0
2020-09-01,-6.393,0.0,0.0
2020-10-01,-6.828,0.0,0.0
2020-11-01,-6.73,0.0,0.0
2020-12-01,-6.287,0.0,0.0
2024-01-01,-3.0,0.0,0.0
2024-02-01,-5.0,0.0,0.0
2024-03-01,-5.0,0.0,0.0
2024-04-01,-11.0,0.0,0.0
2024-05-01,-11.0,0.0,0.0
2024-06-01,-11.0,0.0,0.0
2024-07-01,-11.0,0.0,0.0
2024-08-01,-11.0,0.0,0.0
2024-09-01,-11.0,0.0,0.0
2024-10-01,-16.0,0.0,0.0
2024-11-01,-8.0,0.0,0.0
2024-12-01,-6.0,0.0,0.0
