measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,4.0,92.0,96.0,32210.0,757568.0,783870.0
2003-02-01,,,,110.0,1338.0,1428.0,28527.0,632078.0,655520.0
2003-03-01,,,,126.0,2884.0,2986.0,29813.0,684648.0,709019.0
2003-04-01,,,,4.8020000000000005,97.0,99.0,33710.371,709244.0,716499.0
2003-05-01,,,,1.921,41.0,41.0,33713.252,759097.0,765102.0
2003-06-01,,,,88.348,1693.0,1708.0,33454.931,639046.0,644810.0
2003-07-01,,,,162.291,3473.0,3505.0,30975.437,662630.0,668610.0
2003-08-01,,,,6.722,138.0,139.0,35608.0,743627.0,749547.0
2003-09-01,,,,34.571000000000005,893.0,899.0,32712.62,842131.0,847518.0
2003-10-01,,,,0.0,0.0,0.0,34254.861,732085.0,738412.0
2003-11-01,,,,214.14700000000002,4485.0,4553.0,25434.0,512017.0,519673.0
2003-12-01,,,,272.725,5863.0,5928.0,35208.0,725993.0,733975.0
2004-01-01,,,,65.05499,1334.44,1334.44,31401.46001,644121.44,644121.44
2004-02-01,,,,37.75062,774.36,774.36,28452.59038,583632.8,583632.8
2004-03-01,,,,30.07817,616.98,616.98,28950.80583,593852.48,593852.48
2004-04-01,,,,26.14719,536.34,536.34,27838.37881,571033.76,571033.76
2004-05-01,,,,37.91428,777.72,777.72,24999.12272,512793.76,512793.76
2004-06-01,,,,31.872809999999998,653.79,653.79,19710.14319,404303.68,404303.68
2004-07-01,,,,22.64405,464.49,464.49,28449.20995,583563.52,583563.52
2004-08-01,,,,15.568869999999999,319.36,319.36,24760.03213,507889.28,507889.28
2004-09-01,,,,28.81475,591.06,591.06,26236.59725,538177.28,538177.28
2004-10-01,,,,25.44082,521.85,521.85,27847.18218,571214.4,571214.4
2004-11-01,,,,19.835800000000003,406.88,406.88,52332.3272,1073465.12,1073465.12
2004-12-01,,,,34.45709,706.8,706.8,65797.27691,1349664.48,1349664.48
2005-01-01,,,,129.1654,1712.33,1712.33,34880.9196,462413.18,462413.18
2005-02-01,,,,29.73303,394.17,394.17,31670.28397,419850.06,419850.06
2005-03-01,,,,25.51108,338.2,338.2,33948.51292,450052.26,450052.26
2005-04-01,,,,25.528579999999998,338.43,338.43,27928.87042,370250.48,370250.48
2005-05-01,,,,25.73858,341.21,341.21,26533.15842,351747.69,351747.69
2005-06-01,,,,31.1768,413.31,413.31,34009.8942,450866.01,450866.01
2005-07-01,,,,59.046049999999994,782.77,782.77,37945.11495,503034.84,503034.84
2005-08-01,,,,52.29967,693.33,693.33,37584.04933,498248.31,498248.31
2005-09-01,,,,29.09864,385.76,385.76,33857.43636,448844.87,448844.87
2005-10-01,,,,40.7976,540.85,540.85,31706.0164,420323.72,420323.72
2005-11-01,,,,27.47111,364.18,364.18,31136.49389,412773.59,412773.59
2005-12-01,,,,75.25134,997.6,997.6,35915.38266,476126.91,476126.91
2006-01-01,,,,92.55381,1246.3,1246.3,32968.64119,443946.62,443946.62
2006-02-01,,,,116.01960000000001,1562.29,1562.29,30997.8864,417409.02,417409.02
2006-03-01,,,,211.24795,2844.61,2844.61,30269.94205,407607.17,407607.17
2006-04-01,,,,100.16468,1348.79,1348.79,30298.80332,407995.35,407995.35
2006-05-01,,,,69.17848,931.54,931.54,31865.18552,429087.65,429087.65
2006-06-01,,,,66.60276,896.85,896.85,32597.28524,438945.89,438945.89
2006-07-01,,,,82.56535,1111.8,1111.8,34231.46365,460951.37,460951.37
2006-08-01,,,,87.85463999999999,1183.03,1183.03,34216.48036,460749.56,460749.56
2006-09-01,,,,51.363769999999995,691.65,691.65,30901.08923,416105.34,416105.34
2006-10-01,,,,51.13979,688.63,688.63,30253.96021,407391.29,407391.29
2006-11-01,,,,83.10376,1119.05,1119.05,30672.19924,413023.28,413023.28
2006-12-01,,,,92.58395999999999,1246.71,1246.71,32692.11604,440223.0,440223.0
2007-01-01,,,,0.0,0.0,0.0,31969.0,487799.0,487799.0
2007-02-01,,,,0.0,0.0,0.0,28527.0,443835.0,443835.0
2007-03-01,,,,0.0,0.0,0.0,31685.0,500777.0,500777.0
2007-04-01,,,,0.0,0.0,0.0,30434.0,473613.0,473613.0
2007-05-01,,,,0.0,0.0,0.0,22321.0,330414.0,330414.0
2007-06-01,,,,0.0,0.0,0.0,31041.0,454608.0,454608.0
2007-07-01,,,,0.0,0.0,0.0,31740.0,476091.0,476091.0
2007-08-01,,,,0.0,0.0,0.0,31803.0,273578.0,273578.0
2007-09-01,,,,0.0,0.0,0.0,31051.0,437105.0,437105.0
2007-10-01,,,,0.0,0.0,0.0,31974.0,471587.0,471587.0
2007-11-01,,,,0.0,0.0,0.0,31124.0,496577.0,496577.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0,32078.0,468867.0,468867.0
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,29227.0,274833.0,274833.0
2008-02-01,0.0,0.0,0.0,0.0,0.0,0.0,29633.0,285454.0,285454.0
2008-03-01,0.0,0.0,0.0,0.0,0.0,0.0,32077.0,324545.0,324545.0
2008-04-01,0.0,0.0,0.0,0.0,0.0,0.0,30878.0,309511.0,309511.0
2008-05-01,0.0,0.0,0.0,0.0,0.0,0.0,27381.0,271323.0,271323.0
2008-06-01,0.0,0.0,0.0,0.0,0.0,0.0,30821.0,299624.0,299624.0
2008-07-01,0.0,0.0,0.0,0.0,0.0,0.0,31823.0,311526.0,311526.0
2008-08-01,0.0,0.0,0.0,0.0,0.0,0.0,31938.0,301620.0,301620.0
2008-09-01,0.0,0.0,0.0,0.0,0.0,0.0,30933.0,285090.0,285090.0
2008-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,0.0,0.0,0.0,17842.0,42289.0,42289.0
2008-12-01,0.0,0.0,0.0,0.0,0.0,0.0,31534.0,302237.0,302237.0
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,32092.0,311812.0,311812.0
2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,29306.0,278070.0,278070.0
2009-03-01,0.0,0.0,0.0,0.0,0.0,0.0,32299.0,306079.0,306079.0
2009-04-01,0.0,0.0,0.0,0.0,0.0,0.0,31172.0,301769.0,301769.0
2009-05-01,0.0,0.0,0.0,0.0,0.0,0.0,31722.0,290453.0,290453.0
2009-06-01,0.0,0.0,0.0,0.0,0.0,0.0,26808.0,247715.0,247715.0
2009-07-01,0.0,0.0,0.0,0.0,0.0,0.0,31845.0,293293.0,293293.0
2009-08-01,0.0,0.0,0.0,0.0,0.0,0.0,31709.0,289660.0,289660.0
2009-09-01,0.0,0.0,0.0,0.0,0.0,0.0,30890.0,274274.0,274274.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0,31927.0,296751.0,296751.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0,31114.0,284993.0,284993.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0,31480.0,291200.0,291200.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,31792.0,442393.0,442393.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,28476.0,399979.0,399979.0
