measured_on,Black Liquor Generation,Black Liquor Quantity Consumed For Electricity,Black Liquor Total Fuel Consumed,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Lignite Coal Generation,Lignite Coal Quantity Consumed For Electricity,Lignite Coal Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Tire-Derived Fuels Generation,Tire-Derived Fuels Quantity Consumed For Electricity,Tire-Derived Fuels Total Fuel Consumed,Wood Waste Solids Generation,Wood Waste Solids Quantity Consumed For Electricity,Wood Waste Solids Total Fuel Consumed
2001-01-01,17060.0,183156.0,666680.0,,,,,,,10084.0,83432.0,369248.0,,,,13651.0,114007.0,500916.0
2001-02-01,14405.0,170271.0,615429.0,,,,,,,8370.0,76398.0,335041.0,,,,11094.0,102213.0,445050.0
2001-03-01,16987.0,195224.0,709016.0,,,,,,,9084.0,80509.0,355274.0,,,,11333.0,101376.0,444138.0
2001-04-01,14960.0,167786.0,679101.0,,,,,,,5797.0,48435.0,246574.0,,,,12707.0,107315.0,541611.0
2001-05-01,15781.0,178318.0,701826.0,,,,,,,6046.0,51378.0,251956.0,,,,13969.0,119940.0,583355.0
2001-06-01,5166.0,62165.0,339898.0,,,,,,,4497.0,35466.0,277204.0,,,,5102.0,40910.0,315190.0
2001-07-01,16420.0,179311.0,690827.0,,,,,,,9258.0,76554.0,364955.0,,,,10435.0,87167.0,412250.0
2001-08-01,16587.0,188874.0,689058.0,,,,,,,8590.0,75330.0,334376.0,,,,10215.0,90426.0,398472.0
2001-09-01,17138.0,186104.0,677477.0,,,,,,,6299.0,52710.0,233310.0,,,,13352.0,112779.0,495584.0
2001-10-01,15841.0,192133.0,692093.0,,,,,,,6150.0,57658.0,251750.0,,,,17440.0,165035.0,715468.0
2001-11-01,14243.0,172611.0,662738.0,,,,,,,6710.0,61648.0,292566.0,,,,12647.0,117361.0,552567.0
2001-12-01,15376.0,188560.0,677622.0,,,,,,,10065.0,95476.0,415603.0,,,,13914.0,133216.0,575787.0
2002-01-01,14744.0,164068.0,620005.0,,,,,,,10338.0,87652.0,411020.0,,,,13999.0,120252.0,556750.0
2002-02-01,16317.0,181572.0,686152.0,,,,,,,7979.0,67651.0,317231.0,,,,15655.0,134477.0,622611.0
2002-03-01,11909.0,132521.0,500790.0,,,,,,,7435.0,63038.0,295602.0,,,,7717.0,66289.0,306911.0
2002-04-01,7021.0,78128.0,295243.0,,,,,,,14969.0,126916.0,595141.0,,,,17420.0,149638.0,692806.0
2002-05-01,17161.0,190964.0,721643.0,,,,,,,8604.0,72950.0,342080.0,,,,16394.0,140825.0,652001.0
2002-06-01,16796.0,186902.0,706295.0,,,,,,,8645.0,73298.0,343710.0,,,,14025.0,120475.0,557784.0
2002-07-01,17036.0,189573.0,716387.0,,,,,,,8888.0,75358.0,353371.0,,,,14126.0,121343.0,561801.0
2002-08-01,16898.0,188037.0,710584.0,,,,,,,9083.0,77011.0,361124.0,,,,13909.0,119479.0,553171.0
2002-09-01,16578.0,184476.0,697127.0,,,,,,,8892.0,75392.0,353530.0,,,,13830.0,118800.0,550029.0
2002-10-01,15687.0,174561.0,659660.0,,,,,,,10618.0,90026.0,422153.0,,,,13804.0,118577.0,548995.0
2002-11-01,15658.0,174239.0,658440.0,,,,,,,10958.0,92909.0,435670.0,,,,15415.0,132415.0,613066.0
2002-12-01,15412.0,171501.0,648096.0,,,,,,,13929.0,118098.0,553792.0,,,,14278.0,122648.0,567846.0
2004-01-01,8031.58417,41483.35,323400.0,,,,,,,6489.57365,33518.82,261309.36,,,,15435.59218,79725.25,621530.0
2004-02-01,11136.55104,57520.58,462560.0,,,,,,,6508.82293,33618.24,270345.92,,,,15198.99903,78503.24,631295.0
2004-03-01,15186.21476,78437.21,636764.8,,,,,,,5840.90291,30168.42,244911.68,,,,14872.54533,76817.09,623612.5
2004-04-01,14968.56264,77313.03,616255.8,,,,,,,5473.70348,28271.82,225352.4,,,,14768.09388,76277.6,608002.5
2004-05-01,13176.79255,68058.49,677084.8,,,,,,,5081.9182,26248.24,261132.56,,,,10356.69325,53492.6,532175.0
2004-06-01,14928.33215,77105.24,610054.47,,,,,,,6124.83458,31634.94,250294.72,,,,12899.68027,66627.19,527152.5
2004-07-01,15328.47475,79171.98,632096.21,,,,,,,4878.72532,25198.75,201182.69,,,,13382.36493,69120.27,551845.0
2004-08-01,16776.8808,86653.04,683198.2,,,,,,,5214.91805,26935.19,212365.02,,,,12203.23615,63030.04,496947.5
2004-09-01,14503.20524,74909.44,638427.43,,,,,,,3701.04851,19116.01,162919.22,,,,13624.79425,70372.43,599760.0
2004-10-01,13496.87367,69711.71,550496.27,,,,,,,4030.1293,20815.73,164376.67,,,,12616.04603,65162.21,514570.0
2004-11-01,16536.41319,85411.02,699257.88,,,,,,,5119.90008,26444.42,216499.82,,,,15091.00673,77945.45,638137.5
2004-12-01,15046.58251,77716.0,674418.32,,,,,,,5115.1826,26420.06,229272.85,,,,14349.975900000001,74118.01,643195.0
2005-01-01,10685.72091,53536.27,448894.74,,,,,,,7171.71719,35930.85,301275.52,,,,13851.66789,69397.91,581892.5
2005-02-01,13838.89788,69333.93,597596.29,,,,,,,5130.231000000001,25702.85,221535.49,,,,13709.88011,68687.54,592025.0
2005-03-01,15249.81162,76402.72,666212.51,,,,,,,4617.46836,23133.87,201721.52,,,,14540.26902,72847.85,635215.0
2005-04-01,13981.10265,70046.39,619211.17,,,,,,,6404.64857,32087.78,283656.45,,,,9479.57878,47493.41,419842.5
2005-05-01,15264.99782,76478.8,624184.8,,,,,,,4296.74029,21527.0,175693.44,,,,13875.90789,69519.35,567385.0
2005-06-01,14077.89895,70531.34,572331.14,,,,,,,4553.99554,22815.86,185140.8,,,,13701.40651,68645.09,557025.0
2005-07-01,16981.78005,85080.01,654611.05,,,,,,,3872.33304,19400.68,149270.1,,,,11315.93691,56693.7,436205.0
2005-08-01,15709.55224,78706.05,655129.37,,,,,,,2428.8982,12168.96,101291.4,,,,14146.83556,70876.72,589960.0
2005-09-01,11332.25062,56775.44,477280.81,,,,,,,3405.33576,17060.99,143422.65,,,,9029.83762,45240.17,380310.0
2005-10-01,17440.76023,87379.53,666995.5,,,,,,,3323.45422,16650.76,127100.48,,,,13883.40955,69556.94,530950.0
2005-11-01,15122.77304,75766.24,641818.57,,,,,,,2618.59096,13119.34,111134.4,,,,15091.292000000001,75608.52,640482.5
2005-12-01,14961.38639,74957.68,625453.02,,,,,,,4491.70968,22503.81,187773.6,,,,16010.78294,80215.24,669322.5
2006-01-01,15990.79702,82592.89,682896.78,,,,,,,3878.78526,20034.03,165645.9,673.12628,3476.72,28746.27,14499.98244,74892.8,619230.63
2006-02-01,12770.76719,65961.35,620677.68,,,,,,,2659.29464,13735.33,129245.55,685.67927,3541.55,33325.0,15573.58289,80437.97,756898.56
2006-03-01,10076.31502,52044.43,481953.36,,,,,,,4559.73126,23551.13,218093.4,1066.81288,5510.12,51026.0,17206.71784,88873.15,823002.8
2006-04-01,15043.12875,77698.16,640785.9,,,,,,,2215.85138,11444.93,94387.7,1112.38286,5745.49,47383.71,13150.292000000001,67921.61,560157.52
2006-05-01,13855.23212,71562.64,685774.85,,,,,,,2501.06112,12918.05,123791.85,1110.19109,5734.17,54949.72,14874.88267,76829.17,736243.2
