measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Other Biomass Liquids Generation,Other Biomass Liquids Quantity Consumed For Electricity,Other Biomass Liquids Total Fuel Consumed
2017-06-01,25.945,260.0,260.0,73.351,720.0,720.0
2017-07-01,26.08,254.0,254.0,75.193,736.0,736.0
2017-08-01,27.003,265.0,265.0,75.544,741.0,741.0
2017-09-01,27.122,265.0,265.0,69.894,687.0,687.0
2017-10-01,27.726,271.0,271.0,71.549,704.0,704.0
2017-11-01,24.146,238.0,238.0,74.509,731.0,731.0
2017-12-01,24.419,238.0,238.0,77.519,763.0,763.0
2018-01-01,0.0,0.0,0.0,51.526,485.0,485.0
2018-02-01,0.0,0.0,0.0,48.498,459.0,459.0
2018-03-01,0.0,0.0,0.0,52.343,490.0,490.0
2018-04-01,0.0,0.0,0.0,48.904,459.0,459.0
2018-05-01,0.0,0.0,0.0,49.2,464.0,464.0
2018-06-01,0.0,0.0,0.0,49.832,469.0,469.0
2018-07-01,0.0,0.0,0.0,51.276,485.0,485.0
2018-08-01,0.0,0.0,0.0,51.483,485.0,485.0
2018-09-01,0.0,0.0,0.0,46.558,437.0,437.0
2018-10-01,0.0,0.0,0.0,50.911,480.0,480.0
2018-11-01,0.0,0.0,0.0,50.567,474.0,474.0
2018-12-01,0.0,0.0,0.0,52.902,495.0,495.0
2019-01-01,0.0,0.0,0.0,58.996,555.0,555.0
2019-02-01,0.0,0.0,0.0,53.123,502.0,502.0
2019-03-01,0.0,0.0,0.0,57.1,539.0,539.0
2019-04-01,0.0,0.0,0.0,53.855,512.0,512.0
2019-05-01,0.0,0.0,0.0,55.686,528.0,528.0
2019-06-01,0.0,0.0,0.0,56.177,533.0,533.0
2019-07-01,0.0,0.0,0.0,57.864,549.0,549.0
2019-08-01,0.0,0.0,0.0,58.726,555.0,555.0
2019-09-01,0.0,0.0,0.0,55.101,523.0,523.0
2019-10-01,0.0,0.0,0.0,56.585,533.0,533.0
2019-11-01,0.0,0.0,0.0,55.655,528.0,528.0
2019-12-01,0.0,0.0,0.0,59.132,560.0,560.0
2020-01-01,0.0,0.0,0.0,116.119,1109.0,1109.0
2020-02-01,0.0,0.0,0.0,106.295,1014.0,1014.0
2020-03-01,0.0,0.0,0.0,116.944,1114.0,1114.0
2020-04-01,0.0,0.0,0.0,109.969,1046.0,1046.0
2020-05-01,0.0,0.0,0.0,113.368,1077.0,1077.0
2020-06-01,0.0,0.0,0.0,103.929,988.0,988.0
2020-07-01,0.0,0.0,0.0,111.53,1061.0,1061.0
2020-08-01,0.0,0.0,0.0,112.937,1077.0,1077.0
2020-09-01,0.0,0.0,0.0,106.045,1009.0,1009.0
2020-10-01,0.0,0.0,0.0,107.401,1025.0,1025.0
2020-11-01,0.0,0.0,0.0,105.282,1003.0,1003.0
2020-12-01,0.0,0.0,0.0,112.181,1067.0,1067.0
2021-01-01,0.0,0.0,0.0,147.874,1401.0,1401.0
2021-02-01,0.0,0.0,0.0,130.046,1227.0,1227.0
2021-03-01,0.0,0.0,0.0,147.776,1395.0,1395.0
2021-04-01,0.0,0.0,0.0,138.355,1306.0,1306.0
2021-05-01,0.0,0.0,0.0,142.003,1343.0,1343.0
2021-06-01,0.0,0.0,0.0,136.975,1295.0,1295.0
2021-07-01,0.0,0.0,0.0,140.3,1327.0,1327.0
2021-08-01,0.0,0.0,0.0,138.942,1311.0,1311.0
2021-09-01,0.0,0.0,0.0,135.746,1285.0,1285.0
2021-10-01,0.0,0.0,0.0,136.379,1290.0,1290.0
2021-11-01,0.0,0.0,0.0,131.41,1243.0,1243.0
2021-12-01,0.0,0.0,0.0,146.194,1380.0,1380.0
2022-01-01,0.0,0.0,0.0,117.248,1106.0,1106.0
2022-02-01,0.0,0.0,0.0,106.844,1006.0,1006.0
2022-03-01,0.0,0.0,0.0,117.374,1106.0,1106.0
2022-04-01,0.0,0.0,0.0,110.564,1043.0,1043.0
2022-05-01,0.0,0.0,0.0,111.461,1054.0,1054.0
2022-06-01,0.0,0.0,0.0,112.526,1064.0,1064.0
2022-07-01,0.0,0.0,0.0,115.854,1096.0,1096.0
2022-08-01,0.0,0.0,0.0,113.937,1075.0,1075.0
2022-09-01,0.0,0.0,0.0,107.267,1011.0,1011.0
2022-10-01,0.0,0.0,0.0,111.417,1054.0,1054.0
2022-11-01,0.0,0.0,0.0,108.766,1027.0,1027.0
2022-12-01,0.0,0.0,0.0,112.742,1064.0,1064.0
2023-01-01,0.0,0.0,0.0,212.255,2012.0,2012.0
2023-02-01,0.0,0.0,0.0,188.767,1785.0,1785.0
2023-03-01,0.0,0.0,0.0,204.294,1928.0,1928.0
2023-04-01,0.0,0.0,0.0,189.542,1791.0,1791.0
2023-05-01,0.0,0.0,0.0,213.588,2018.0,2018.0
2023-06-01,0.0,0.0,0.0,206.946,1954.0,1954.0
2023-07-01,0.0,0.0,0.0,211.034,1991.0,1991.0
2023-08-01,0.0,0.0,0.0,210.896,1991.0,1991.0
2023-09-01,0.0,0.0,0.0,195.417,1843.0,1843.0
2023-10-01,0.0,0.0,0.0,209.74,1981.0,1981.0
2023-11-01,0.0,0.0,0.0,209.521,1981.0,1981.0
2023-12-01,0.0,0.0,0.0,225.0,2123.0,2123.0
2024-01-01,0.0,0.0,0.0,505.545,4871.0,4871.0
2024-02-01,0.0,0.0,0.0,470.301,4533.0,4533.0
2024-03-01,0.0,0.0,0.0,489.088,4712.0,4712.0
2024-04-01,0.0,0.0,0.0,455.512,4390.0,4390.0
2024-05-01,0.0,0.0,0.0,500.335,4818.0,4818.0
2024-06-01,0.0,0.0,0.0,465.124,4480.0,4480.0
2024-07-01,0.0,0.0,0.0,490.34,4723.0,4723.0
2024-08-01,0.0,0.0,0.0,503.281,4850.0,4850.0
2024-09-01,0.0,0.0,0.0,474.411,4570.0,4570.0
2024-10-01,0.0,0.0,0.0,484.723,4670.0,4670.0
2024-11-01,0.0,0.0,0.0,476.582,4591.0,4591.0
2024-12-01,0.0,0.0,0.0,485.758,4681.0,4681.0
