measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-04-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-05-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-07-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,,,
2003-12-01,0.0,0.0,0.0,7921.0,143506.0,557329.0,0.0,0.0,0.0,4545.0,82343.0,319793.0,1265.0,22911.0,88981.0
2004-01-01,,,,7898.33903,92608.7,560700.45,,,,5673.60156,66523.47,402767.08,602.66941,7066.35,42783.3
2004-02-01,,,,4281.18413,50197.25,317124.0,,,,8356.84134,97984.68,619023.82,33.08453,387.92,2450.7
2004-03-01,,,,8063.93971,94550.39,590147.82,,,,6646.09014,77925.98,486384.54,176.56014,2070.18,12921.3
2004-04-01,,,,6014.81419,70524.21,424238.13,,,,6298.39952,73849.28,444240.03,356.9263,4184.99,25174.8
2004-05-01,,,,7045.64633,82610.81,457388.01,,,,5773.87367,67699.16,374827.3,0.0,0.0,0.0
