measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Blast Furnace Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-06-01,,,,6515.1592,76390.8,441895.32,,,,4566.120800000001,53538.16,309700.4,0.0,0.0,0.0
2004-07-01,,,,7790.64775,91346.01,456987.06,,,,4928.96225,57792.51,289125.12,0.0,0.0,0.0
2004-08-01,,,,5768.58197,67637.12,341859.06,,,,6135.48174,71939.06,363602.36,265.55529,3113.66,15737.4
2004-09-01,,,,10750.24871,126047.58,674383.77,,,,3893.17559,45647.82,244226.39,280.99568999999997,3294.7,17627.4
2004-10-01,,,,8830.43987,103537.66,554549.4,,,,4894.30737,57386.17,307361.27,1356.81277,15908.75,85207.5
2004-11-01,,,,7136.96349,83681.52,386993.97,,,,7135.76107,83667.42,386928.77,2153.25544,25247.11,116757.9
2004-12-01,,,,5471.13082,64149.48,329067.54,,,,9900.5151,116084.39,595478.02,895.25408,10496.93,53846.1
2005-01-01,,,,5891.57795,69079.26,368701.34,983.43931,11530.91,61544.7,9190.19579,107755.84,575132.43,194.89595,2285.17,12196.8
2005-02-01,,,,6624.679,77674.93,399258.99,1827.32988,21425.6,110130.3,6308.98715,73973.42,380232.74,200.28397,2348.35,12070.8
2005-03-01,,,,6672.82785,78239.49,452541.23,1524.31397,17872.71,103376.7,6068.41598,71152.7,411550.92,317.42220000000003,3721.8,21527.1
2005-04-01,,,,6839.3298,80191.74,434201.06,1825.81778,21407.87,115913.7,4504.40292,52814.52,285966.11,238.7585,2799.46,15157.8
2005-05-01,,,,3440.3626000000004,40338.55,243141.98,1924.58664,22565.94,136017.0,4701.80605,55129.08,332292.42,179.35472,2102.95,12675.6
2005-06-01,,,,834.46108,9784.12,59691.81,1522.6685,17853.41,108921.6,3107.33493,36433.76,222278.12,149.89649,1757.55,10722.6
2005-07-01,,,,0.0,0.0,0.0,1310.70052,15368.08,103161.8,1708.74987,20035.25,134491.22,311.52861,3652.7,24519.6
2005-08-01,,,,0.0,0.0,0.0,1764.30276,20686.6,136697.6,1586.15087,18597.76,122894.45,138.63636,1625.52,10741.5
2005-09-01,,,,0.0,0.0,0.0,1206.9767000000002,14151.91,85795.6,2126.05852,24928.22,151126.75,239.47477,2807.86,17022.6
2005-10-01,,,,0.0,0.0,0.0,3101.15494,36361.31,227236.2,1563.37138,18330.66,114555.57,133.09368999999998,1560.53,9752.4
2005-11-01,,,,0.0,0.0,0.0,3345.8924,39230.88,231799.4,1826.51252,21416.02,126538.59,182.96507,2145.28,12675.6
2005-12-01,,,,0.0,0.0,0.0,3105.43136,36411.46,261330.0,1990.41597,23337.8,167498.6,92.68167,1086.7,7799.4
2006-01-01,,,,0.0,0.0,0.0,2414.51459,28310.39,177915.2,2135.53306,25039.31,157358.25,1984.84235,23272.45,146254.5
2006-02-01,,,,0.0,0.0,0.0,3490.53934,40926.87,262222.8,1792.63159,21018.76,134669.41,116.81907,1369.71,8775.9
2006-03-01,,,,0.0,0.0,0.0,4250.12792,49833.13,264888.8,2619.5838000000003,30714.85,163265.3,219.04728,2568.35,13652.1
2006-04-01,,,,0.0,0.0,0.0,3485.01464,40862.1,230875.6,2062.36011,24181.35,136627.44,176.59525,2070.59,11699.1
2006-05-01,,,,0.0,0.0,0.0,2913.26877,34158.33,186043.4,1873.30188,21964.63,119630.38,213.77935,2506.58,13652.1
2006-06-01,,,,0.0,0.0,0.0,2268.99511,26604.16,163339.0,1205.16689,14130.69,86756.8,216.68800000000002,2540.69,15598.8
2006-07-01,,,,0.0,0.0,0.0,2304.96324,27025.89,168739.2,1279.9603299999999,15007.64,93701.92,183.52643,2151.86,13435.4
2006-08-01,,,,0.0,0.0,0.0,2080.43843,24393.32,153710.4,1261.98626,14796.9,93240.16,207.77531,2436.18,15351.2
2006-09-01,,,,0.0,0.0,0.0,2221.05562,26042.07,157232.0,2207.9422,25888.31,156303.68,137.76218,1615.27,9752.4
2006-10-01,,,,0.0,0.0,0.0,2668.13068,31284.06,165236.2,2629.60757,30832.37,162850.48,236.11174,2768.43,14622.3
2006-11-01,,,,0.0,0.0,0.0,3323.09819,38963.61,191499.4,2587.67534,30340.72,149119.36,249.69647,2927.71,14389.2
2006-12-01,,,,0.0,0.0,0.0,3754.48194,44021.62,222790.8,2828.63026,33165.93,167850.8,180.6978,2118.7,10722.6
2007-01-01,,,,0.0,0.0,0.0,4462.057,52316.0,261187.0,3072.089,36020.0,179825.0,266.593,3125.0,15605.0
2007-02-01,,,,0.0,0.0,0.0,4753.559,55738.0,255682.0,3229.315,37864.0,173697.0,217.506,2552.0,11699.0
2007-03-01,,,,0.0,0.0,0.0,4536.175,53190.0,245036.0,3170.561,37175.0,171268.0,234.65400000000002,2753.0,12676.0
2007-04-01,,,,0.0,0.0,0.0,2766.022,32432.0,210025.0,1603.261,18798.0,121736.0,141.216,1657.0,10723.0
2007-05-01,,,,0.0,0.0,0.0,0.0,0.0,135197.0,0.0,0.0,81957.0,0.0,0.0,9752.0
2007-06-01,,,,0.0,0.0,0.0,0.0,0.0,147882.0,0.0,0.0,79310.0,0.0,0.0,14188.0
2007-07-01,,,,0.0,0.0,0.0,0.0,0.0,132072.0,0.0,0.0,86844.0,0.0,0.0,10723.0
2007-08-01,,,,0.0,0.0,0.0,0.0,0.0,125953.0,0.0,0.0,63634.0,0.0,0.0,10723.0
2007-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191525.0,0.0,0.0,0.0
2007-10-01,,,,0.0,0.0,0.0,0.0,0.0,115921.0,0.0,0.0,59133.0,0.0,0.0,25950.0
2007-11-01,,,,0.0,0.0,0.0,0.0,0.0,153989.0,0.0,0.0,96334.0,0.0,0.0,12833.0
2007-12-01,,,,0.0,0.0,0.0,0.0,0.0,59929.0,0.0,0.0,302907.0,0.0,0.0,9752.0
