measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,1778.0,24482.0,24482.0,10807.0,148846.0,148846.0
2003-02-01,,,,1726.6190000000001,25454.0,25454.0,9497.367,140030.0,140030.0
2003-03-01,,,,2204.0,31203.0,31203.0,10569.0,149635.0,149635.0
2003-04-01,,,,2039.0,28886.0,28886.0,10241.0,145122.0,145122.0
2003-05-01,,,,2143.0,29201.0,29201.0,10361.0,141208.0,141208.0
2003-06-01,,,,1459.0,19877.0,19877.0,7742.0,105450.0,105450.0
2003-07-01,,,,2254.0,30287.0,30287.0,10221.0,137370.0,137370.0
2003-08-01,,,,2165.0,28600.0,28600.0,10291.0,135964.0,135964.0
2003-09-01,,,,2270.0,29630.0,29630.0,9934.0,129647.0,129647.0
2003-10-01,,,,2301.0,29887.0,29887.0,10532.0,136829.0,136829.0
2003-11-01,,,,2163.0,29372.0,29372.0,10256.0,139299.0,139299.0
2003-12-01,,,,2429.0,32776.0,32776.0,10588.0,142852.0,142852.0
2004-01-01,,,,2212.547,30086.0,30086.0,9163.882,124612.0,124612.0
2004-02-01,,,,3545.6420000000003,48213.0,48213.0,9406.185000000001,127907.0,127907.0
2004-03-01,,,,2583.09,35125.0,35125.0,9125.952000000001,124096.0,124096.0
2004-04-01,,,,2029.2240000000002,27593.0,27593.0,9645.29,131158.0,131158.0
2004-05-01,,,,2310.3140000000003,31415.0,31415.0,7273.5960000000005,98908.0,98908.0
2004-06-01,,,,2792.23,37968.0,37968.0,7444.445000000001,101231.0,101231.0
2004-07-01,,,,2155.928,29316.0,29316.0,11353.192,154383.0,154383.0
2004-08-01,,,,1980.611,26932.0,26932.0,11014.317,149774.0,149774.0
2004-09-01,,,,2661.164,36186.0,36186.0,10628.523,144528.0,144528.0
2004-10-01,,,,2432.605,33078.0,33078.0,10941.392,148783.0,148783.0
2004-11-01,,,,623.86,8483.0,8483.0,10188.676,138547.0,138547.0
2004-12-01,,,,2656.786,36127.0,36127.0,11122.551,151246.0,151246.0
2005-01-01,,,,2341.73,31351.17,31351.17,9765.71,130493.66,130493.66
2005-02-01,,,,2089.0080000000003,27967.69,27967.69,9063.147,121105.7,121105.7
2005-03-01,,,,2385.936,31942.97,31942.97,9798.72,130934.75,130934.75
2005-04-01,,,,2381.003,31876.96,31876.96,8424.701000000001,112574.52,112574.52
2005-05-01,,,,2617.567,35044.08,35044.08,9349.498,124932.05,124932.05
2005-06-01,,,,2593.253,34718.54,34718.54,9051.625,120951.75,120951.75
2005-07-01,,,,2685.174,35949.19,35949.19,10024.721,133954.68,133954.68
2005-08-01,,,,2673.038,35786.71,35786.71,10321.208,137916.47,137916.47
2005-09-01,,,,2517.984,33710.84,33710.84,9715.915,129828.27,129828.27
2005-10-01,,,,2541.7180000000003,34028.61,34028.61,9260.93,123748.57,123748.57
2005-11-01,,,,2559.94,34272.56,34272.56,9431.698,126030.44,126030.44
2005-12-01,,,,2565.6490000000003,34348.99,34348.99,10189.128,136151.55,136151.55
2006-01-01,2.568,38.0,38.0,2743.3230000000003,38923.0,38923.0,10815.403,147976.0,147976.0
2006-02-01,2.903,43.0,43.0,2468.21,35020.0,35020.0,9892.906,135354.0,135354.0
2006-03-01,3.826,57.0,57.0,2891.871,41031.0,41031.0,9948.836000000001,136119.0,136119.0
2006-04-01,3.1660000000000004,47.0,47.0,2384.1040000000003,33826.0,33826.0,6558.536,89734.0,89734.0
2006-05-01,4.17,62.0,62.0,1924.23,27302.0,27302.0,8688.986,118882.0,118882.0
2006-06-01,5.372,79.0,79.0,2619.165,37162.0,37162.0,8726.238000000001,119392.0,119392.0
2006-07-01,9.613000000000001,142.0,142.0,2639.1420000000003,37445.0,37445.0,9981.325,136564.0,136564.0
2006-08-01,8.542,126.0,126.0,2933.384,41620.0,41620.0,11104.401,151930.0,151930.0
2006-09-01,5.024,74.0,74.0,2428.2470000000003,34453.0,34453.0,9475.952000000001,129649.0,129649.0
2006-10-01,5.442,80.0,80.0,2450.516,34769.0,34769.0,10198.566,139536.0,139536.0
2006-11-01,3.6590000000000003,54.0,54.0,1625.4460000000001,23062.0,23062.0,9592.467,131244.0,131244.0
2006-12-01,3.714,55.0,55.0,2598.362,36866.0,36866.0,10444.385,142900.0,142900.0
2007-01-01,0.0,0.0,0.0,2557.904,26856.0,26856.0,10264.096,107765.0,107765.0
2007-02-01,0.0,0.0,0.0,2369.666,24552.0,24552.0,9263.334,95977.0,95977.0
2007-03-01,0.0,0.0,0.0,2765.05,30048.0,30048.0,9850.95,107051.0,107051.0
2007-04-01,0.0,0.0,0.0,1736.1380000000001,17784.0,17784.0,7428.862,76097.0,76097.0
2007-05-01,765.105,8340.0,8340.0,2054.224,22392.0,22392.0,7699.671,83930.0,83930.0
2007-06-01,0.0,0.0,0.0,2651.741,27024.0,27024.0,9649.259,98336.0,98336.0
2007-07-01,0.0,0.0,0.0,2776.6420000000003,28176.0,28176.0,9880.358,100261.0,100261.0
2007-08-01,0.0,0.0,0.0,2793.02,28488.0,28488.0,9789.98,99855.0,99855.0
2007-09-01,0.0,0.0,0.0,2445.11,25488.0,25488.0,9802.89,102186.0,102186.0
2007-10-01,31.639000000000003,326.0,326.0,2736.8720000000003,28200.0,28200.0,9923.489,102249.0,102249.0
2007-11-01,0.0,0.0,0.0,2481.8230000000003,24456.0,24456.0,10070.177,99232.0,99232.0
2007-12-01,109.944,1155.0,1155.0,2730.047,28680.0,28680.0,9859.009,103572.0,103572.0
2008-01-01,0.0,0.0,0.0,2471.2490000000003,25608.0,25608.0,10407.751,107849.0,107849.0
2008-02-01,0.0,0.0,0.0,2377.6310000000003,25488.0,25488.0,9547.369,102347.0,102347.0
2008-03-01,13.496,146.0,146.0,2560.186,27696.0,27696.0,9984.318000000001,108010.0,108010.0
2008-04-01,34.032000000000004,364.0,364.0,2064.3450000000003,22080.0,22080.0,7095.624000000001,75894.0,75894.0
