measured_on,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,319.75300000000004,5122.0,5122.0,17194.866,275417.0,275417.0
2004-02-01,185.55200000000002,2972.0,2972.0,15580.118,249553.0,249553.0
2004-03-01,147.836,2368.0,2368.0,15852.933,253923.0,253923.0
2004-04-01,128.512,2058.0,2058.0,15243.788,244166.0,244166.0
2004-05-01,186.34900000000002,2985.0,2985.0,13689.064,219263.0,219263.0
2004-06-01,156.662,2509.0,2509.0,10792.914,172874.0,172874.0
2004-07-01,111.293,1783.0,1783.0,15578.269,249523.0,249523.0
2004-08-01,76.522,1226.0,1226.0,13558.142,217166.0,217166.0
2004-09-01,141.62,2268.0,2268.0,14366.682,230117.0,230117.0
2004-10-01,125.048,2003.0,2003.0,15248.608,244243.0,244243.0
2004-11-01,97.488,1562.0,1562.0,28656.228000000003,458998.0,458998.0
2004-12-01,169.365,2713.0,2713.0,36029.388,577097.0,577097.0
2005-01-01,328.526,4928.88,4928.88,20415.708,306198.77,306198.77
2005-02-01,75.62,1134.53,1134.53,18536.534,278014.55,278014.55
2005-03-01,64.891,973.57,973.57,19869.972,298013.72,298013.72
2005-04-01,64.928,974.12,974.12,16346.693,245170.9,245170.9
2005-05-01,65.46300000000001,982.15,982.15,15529.786,232918.77,232918.77
2005-06-01,79.3,1189.74,1189.74,19905.899,298552.56,298552.56
2005-07-01,150.185,2253.23,2253.23,22209.173,333097.51,333097.51
2005-08-01,133.02,1995.71,1995.71,21997.844,329927.95,329927.95
2005-09-01,74.016,1110.46,1110.46,19816.665,297214.21,297214.21
2005-10-01,103.771,1556.88,1556.88,18557.446,278328.19,278328.19
2005-11-01,69.875,1048.34,1048.34,18224.105,273328.69,273328.69
2005-12-01,191.404,2871.63,2871.63,21021.175,315279.69,315279.69
2006-01-01,195.678,3161.0,3161.0,18211.434999999998,294204.0,294204.0
2006-02-01,102.39200000000001,1654.0,1654.0,17344.393,280197.0,280197.0
2006-03-01,86.01,1390.0,1390.0,17722.761,286309.0,286309.0
2006-04-01,164.756,2662.0,2662.0,15078.123,243585.0,243585.0
2006-05-01,154.006,2488.0,2488.0,16113.686000000002,260315.0,260315.0
2006-06-01,139.981,2262.0,2262.0,17456.761,282012.0,282012.0
2006-07-01,202.765,3276.0,3276.0,19857.034,320788.0,320788.0
2006-08-01,196.681,3178.0,3178.0,20000.313,323103.0,323103.0
2006-09-01,90.358,1460.0,1460.0,16617.846,268460.0,268460.0
2006-10-01,95.44800000000001,1542.0,1542.0,17188.545,277679.0,277679.0
2006-11-01,112.393,1816.0,1816.0,16995.288,274557.0,274557.0
2006-12-01,124.533,2012.0,2012.0,18398.817000000003,297231.0,297231.0
2007-01-01,107.23,1566.0,1566.0,19446.77,284002.0,284002.0
2007-02-01,367.31600000000003,5153.0,5153.0,17202.684,241323.0,241323.0
2007-03-01,106.876,1499.0,1499.0,19097.124,267867.0,267867.0
2007-04-01,204.053,3067.0,3067.0,15071.947,226508.0,226508.0
2007-05-01,221.041,2604.0,2604.0,19486.959000000003,229586.0,229586.0
2007-06-01,151.624,2645.0,2645.0,3018.376,52650.0,52650.0
2007-07-01,172.675,2256.0,2256.0,19994.325,261249.0,261249.0
2007-08-01,86.085,1230.0,1230.0,20746.915,296339.0,296339.0
2007-09-01,225.484,2970.0,2970.0,17132.516,225634.0,225634.0
2007-10-01,0.0,0.0,0.0,1009.0,17966.0,17966.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,147.144,2146.0,2146.0,3442.856,50212.0,50212.0
2008-01-01,53.323,717.0,717.0,22697.677,305386.0,305386.0
2008-02-01,207.883,3235.0,3235.0,17297.117,269134.0,269134.0
2008-03-01,188.775,3004.0,3004.0,19396.225,308604.0,308604.0
2008-04-01,354.993,5733.0,5733.0,8404.007,135732.0,135732.0
2008-05-01,0.0,0.0,0.0,23203.0,342332.0,342332.0
2008-06-01,44.664,657.0,657.0,20933.336,307757.0,307757.0
2008-07-01,101.10000000000001,1569.0,1569.0,20865.9,323749.0,323749.0
2008-08-01,145.088,2085.0,2085.0,19827.912,284999.0,284999.0
2008-09-01,4.37,61.0,61.0,21091.63,293460.0,293460.0
2008-10-01,2.412,30.0,30.0,16725.588,210835.0,210835.0
2008-11-01,174.465,2499.0,2499.0,1317.535,18871.0,18871.0
2008-12-01,142.485,2067.0,2067.0,19452.515,282220.0,282220.0
