measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Distillate Fuel Oil-Other Generation,Distillate Fuel Oil-Other Quantity Consumed For Electricity,Distillate Fuel Oil-Other Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,229063.0,2238849.0,2238849.0,342.0,5338.0,5338.0,,,,915.0,8946.0,8946.0,525.0,5129.0,5129.0,,,
2003-02-01,198123.0,1906847.0,1906847.0,200.0,3080.0,3080.0,,,,880.0,8474.0,8474.0,642.0,6177.0,6177.0,,,
2003-03-01,229000.0,2281823.0,2281823.0,191.0,2807.0,2807.0,,,,615.0,6130.0,6130.0,469.0,4676.0,4676.0,,,
2003-04-01,229706.0,2257536.0,2257536.0,45.0,1121.0,1121.0,,,,279.0,2746.0,2746.0,229.0,2248.0,2248.0,,,
2003-05-01,76658.0,788751.0,788751.0,0.0,0.0,0.0,,,,111.0,1140.0,1140.0,420.0,4322.0,4322.0,,,
2003-06-01,133310.0,1436853.0,1436853.0,64.0,990.0,990.0,,,,84.0,903.0,903.0,1133.0,12210.0,12210.0,,,
2003-07-01,185075.0,1880946.0,1880946.0,113.0,2000.0,2000.0,,,,4.0,41.0,41.0,251.0,2548.0,2548.0,,,
2003-08-01,227006.0,2324348.0,2324348.0,153.0,2620.0,2620.0,,,,22.0,222.0,222.0,199.0,2033.0,2033.0,,,
2003-09-01,208459.0,2163746.0,2163746.0,10.0,189.0,189.0,,,,37.0,384.0,384.0,214.0,2225.0,2225.0,,,
2003-10-01,200974.0,1957446.0,1957446.0,0.0,0.0,0.0,,,,43.0,418.0,418.0,402.0,3913.0,3913.0,,,
2003-11-01,208774.0,2032708.0,2032708.0,0.0,0.0,0.0,,,,260.0,2529.0,2529.0,232.0,2261.0,2261.0,,,
2003-12-01,210563.0,2133956.0,2133956.0,0.0,0.0,0.0,,,,922.0,9342.0,9342.0,373.0,3777.0,3777.0,,,
2004-01-01,190875.0,1964371.0,1964371.0,173.0,1641.0,1641.0,,,,1108.0,11403.0,11403.0,857.0,8821.0,8821.0,,,
2004-02-01,204346.0,2090718.0,2090718.0,90.0,1863.0,1863.0,,,,768.0,7861.0,7861.0,324.0,3253.0,3253.0,,,
2004-03-01,206720.0,2109661.0,2109661.0,296.0,3464.0,3464.0,,,,434.0,4424.0,4424.0,551.0,5531.0,5531.0,,,
2004-04-01,205994.0,2168880.0,2168880.0,0.0,0.0,0.0,,,,338.0,3555.0,3555.0,432.0,4546.0,4546.0,,,
2004-05-01,157043.0,1701428.0,1701428.0,146.0,2368.0,2368.0,,,,10.0,106.0,106.0,434.0,4690.0,4690.0,,,
2004-06-01,138162.0,1506835.0,1506835.0,10.0,151.0,151.0,,,,38.0,417.0,417.0,280.0,3048.0,3048.0,,,
2004-07-01,161764.0,1703461.0,1703461.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,617.0,6496.0,6496.0,,,
2004-08-01,175944.0,1942112.0,1942112.0,54.0,234.0,234.0,,,,48.0,533.0,533.0,478.0,5277.0,5277.0,,,
2004-09-01,120207.0,1271589.0,1271589.0,0.0,0.0,0.0,,,,99.0,1042.0,1042.0,324.0,3424.0,3424.0,,,
2004-10-01,78248.0,858682.0,858682.0,0.0,0.0,0.0,,,,91.0,997.0,997.0,937.0,10278.0,10278.0,,,
2004-11-01,133571.0,1409307.0,1409307.0,0.0,0.0,0.0,,,,311.0,3280.0,3280.0,861.0,9081.0,9081.0,,,
2004-12-01,168145.0,1757025.0,1757025.0,23.0,438.0,438.0,,,,478.0,5034.0,5034.0,124.0,1189.0,1189.0,,,
2005-01-01,146629.0,1548818.7,1548818.7,61.0,1150.52,1150.52,,,,712.0,7524.24,7524.24,678.0,7161.0,7161.0,,,
2005-02-01,162883.0,1695728.59,1695728.59,0.0,0.0,0.0,,,,634.0,6598.36,6598.36,412.0,4231.7,4231.7,,,
2005-03-01,200029.0,2102019.12,2102019.12,0.0,0.0,0.0,,,,693.0,7278.12,7278.12,408.0,4292.2,4292.2,,,
2005-04-01,120061.0,1294297.29,1294297.29,0.0,0.0,0.0,,,,0.0,0.0,0.0,809.0,8724.1,8724.1,,,
2005-05-01,49480.0,579371.78,579371.78,37.0,727.88,727.88,,,,622.0,7278.12,7278.12,733.0,8582.43,8582.43,,,
2005-06-01,164425.0,1712316.1,1712316.1,15.0,428.51,428.51,,,,0.0,0.0,0.0,977.0,10170.55,10170.55,,,
2005-07-01,222676.0,2401020.62,2401020.62,86.0,1267.92,1267.92,,,,0.0,0.0,0.0,270.0,2850.25,2850.25,,,
2005-08-01,227745.0,2402747.96,2402747.96,371.0,7043.72,7043.72,,,,0.0,0.0,0.0,639.0,6740.8,6740.8,,,
2005-09-01,205812.0,2177476.0,2177476.0,84.0,1863.48,1863.48,,,,0.0,0.0,0.0,296.0,3130.37,3130.37,,,
2005-10-01,210929.0,2189126.06,2189126.06,383.0,6797.76,6797.76,,,,0.0,0.0,0.0,443.0,4600.98,4600.98,,,
2005-11-01,206138.0,2174088.4,2174088.4,79.0,1553.44,1553.44,,,,239.0,2520.06,2520.06,60.0,630.57,630.57,,,
2005-12-01,202376.0,2166638.6,2166638.6,483.0,9396.56,9396.56,,,,464.0,4970.28,4970.28,103.0,1098.55,1098.55,,,
2006-01-01,210187.0,2347767.0,2347767.0,163.0,3054.0,3054.0,,,,452.0,5052.0,5052.0,132.0,1471.0,1471.0,,,
2006-02-01,176716.0,1915469.0,1915469.0,164.0,3329.0,3329.0,,,,475.0,5145.0,5145.0,447.0,4843.0,4843.0,,,
2006-03-01,203315.0,2262878.0,2262878.0,0.0,122.0,122.0,,,,391.0,4348.0,4348.0,501.0,5573.0,5573.0,,,
2006-04-01,193317.0,2034904.0,2034904.0,0.0,0.0,0.0,,,,3.0,128.0,128.0,188.0,7692.0,7692.0,,,
