measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2023-08-01,48.36,397.0,397.0
2023-09-01,59.327,484.0,484.0
2023-10-01,98.546,806.0,806.0
2023-11-01,63.683,519.0,519.0
2023-12-01,103.084,846.0,846.0
2024-01-01,44.388,385.0,385.0
2024-02-01,26.939,239.0,239.0
2024-03-01,42.533,373.0,373.0
2024-04-01,71.441,630.0,630.0
2024-05-01,47.198,414.0,414.0
2024-06-01,49.435,432.0,432.0
2024-07-01,38.393,338.0,338.0
2024-08-01,55.722,490.0,490.0
2024-09-01,55.776,490.0,490.0
2024-10-01,38.012,333.0,333.0
2024-11-01,60.037,525.0,525.0
2024-12-01,76.126,671.0,671.0
